time,Brooklyn,pts.away,score,pts.home,Sacramento
1:31.0,,,96-92,,Shooting foul by B. Lopez (drawn by D. Cousins)
1:31.0,Official timeout,,96-92,,
1:31.0,,,96-93,1,D. Cousins makes free throw 1 of 2
1:31.0,,,96-94,1,D. Cousins makes free throw 2 of 2
1:11.0,J. Johnson makes 3-pt shot from 25 ft (assist by B. Lopez),3,99-94,,
1:02.0,Personal foul by B. Lopez (drawn by D. Cousins),,99-94,,
1:02.0,,,99-95,1,D. Cousins makes free throw 1 of 2
1:02.0,,,99-96,1,D. Cousins makes free throw 2 of 2
0:42.0,B. Bogdanovic misses 3-pt shot from 23 ft,,99-96,,
0:41.0,Offensive rebound by J. Johnson,,99-96,,
0:34.0,,,99-96,,Personal take foul by R. Gay (drawn by J. Johnson)
0:24.0,Shooting foul by R. Gay (drawn by J. Johnson),,99-96,,
0:24.0,J. Johnson makes free throw 1 of 2,1,100-96,,
0:24.0,K. Garnett enters the game for B. Lopez,,100-96,,
0:24.0,J. Johnson makes free throw 2 of 2,1,101-96,,
0:24.0,,,101-96,,Sacramento full timeout
0:24.0,D. Morris enters the game for B. Bogdanovic,,101-96,,
0:19.0,,,101-98,2,D. Cousins makes 2-pt shot at rim
0:19.0,Brooklyn full timeout,,101-98,,
0:19.0,,,101-98,,R. McCallum enters the game for D. Collison
0:19.0,B. Bogdanovic enters the game for K. Garnett,,101-98,,
0:19.0,B. Lopez enters the game for D. Morris,,101-98,,
0:17.0,,,101-98,,Personal take foul by R. Gay (drawn by J. Johnson)
0:17.0,J. Johnson makes free throw 1 of 2,1,102-98,,
0:17.0,,,102-98,,J. Thompson enters the game for R. McCallum
0:17.0,J. Johnson misses free throw 2 of 2,,102-98,,
0:17.0,,,102-98,,Defensive rebound by D. Cousins
0:17.0,,,102-98,,Sacramento full timeout
0:16.0,,,102-98,,D. Collison enters the game for J. Thompson
0:16.0,K. Garnett enters the game for B. Bogdanovic,,102-98,,
0:16.0,D. Morris enters the game for B. Lopez,,102-98,,
0:13.0,,,102-98,,B. McLemore misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by A. Anderson,,102-98,,
0:09.0,,,102-98,,Personal take foul by B. McLemore (drawn by J. Jack)
0:09.0,J. Jack makes free throw 1 of 2,1,103-98,,
0:09.0,J. Jack misses free throw 2 of 2,,103-98,,
0:08.0,,,103-98,,Defensive rebound by B. McLemore
0:08.0,,,103-98,,Sacramento full timeout
0:06.0,,,103-98,,R. Gay misses 3-pt shot from 24 ft
0:04.0,,,103-98,,Offensive rebound by D. Cousins
0:00.0,,,103-100,2,D. Cousins makes 2-pt shot from 4 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
