time,Miami,pts.away,score,pts.home,Boston
1:25.0,,,80-74,,Turnover by A. Bradley (step out of bounds)
1:25.0,M. Chalmers enters the game for J. Ennis,,80-74,,
1:07.0,N. Cole makes 2-pt shot from 20 ft,2,82-74,,
1:07.0,,,82-74,,Boston full timeout
1:00.0,,,82-74,,A. Bradley misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by C. Bosh,,82-74,,
0:55.0,,,82-74,,Violation by M. Smart (kicked ball)
0:55.0,Miami full timeout,,82-74,,
0:55.0,,,82-74,,J. Young enters the game for T. Zeller
0:51.0,,,82-74,,Personal take foul by J. Crowder (drawn by T. Johnson)
0:51.0,T. Johnson misses free throw 1 of 2,,82-74,,
0:51.0,Offensive rebound by Team,,82-74,,
0:51.0,T. Johnson makes free throw 2 of 2,1,83-74,,
0:45.0,Personal foul by M. Chalmers (drawn by J. Young),,83-74,,
0:45.0,,,83-75,1,J. Young makes free throw 1 of 2
0:45.0,,,83-75,,J. Young misses free throw 2 of 2
0:42.0,Defensive rebound by T. Johnson,,83-75,,
0:41.0,Jump ball: J. Crowder vs. T. Johnson (M. Chalmers gains possession),,,,Jump ball: J. Crowder vs. T. Johnson (M. Chalmers gains possession)
0:35.0,Turnover by M. Chalmers (bad pass; steal by J. Crowder),,83-75,,
0:34.0,,,83-75,,Turnover by J. Crowder (bad pass; steal by M. Chalmers)
0:34.0,,,83-75,,Personal take foul by M. Smart (drawn by M. Chalmers)
0:34.0,M. Chalmers misses free throw 1 of 2,,83-75,,
0:34.0,Offensive rebound by Team,,83-75,,
0:34.0,M. Chalmers misses free throw 2 of 2,,83-75,,
0:33.0,,,83-75,,Defensive rebound by J. Young
0:28.0,,,83-75,,M. Smart misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by H. Whiteside,,83-75,,
0:02.0,Turnover by Team (shot clock),,83-75,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
