time,LA Lakers,pts.away,score,pts.home,Toronto
1:53.0,Turnover by J. Lin (bad pass; steal by J. Johnson),,78-91,,
1:34.0,,,78-94,3,L. Williams makes 3-pt shot from 25 ft
1:25.0,J. Clarkson misses 2-pt shot from 20 ft,,78-94,,
1:25.0,Offensive rebound by Team,,78-94,,
1:25.0,,,78-94,,Loose ball foul by J. Johnson (drawn by T. Black)
1:25.0,T. Black misses free throw 1 of 2,,78-94,,
1:25.0,Offensive rebound by Team,,78-94,,
1:25.0,,,78-94,,B. Caboclo enters the game for D. DeRozan
1:25.0,T. Black makes free throw 2 of 2,1,79-94,,
1:09.0,Personal foul by J. Lin (drawn by J. Valanciunas),,79-94,,
1:00.0,,,79-94,,Turnover by B. Caboclo (lost ball; steal by J. Clarkson)
0:57.0,Shooting foul by B. Caboclo (drawn by J. Clarkson),,79-94,,
0:57.0,J. Clarkson makes free throw 1 of 2,1,80-94,,
0:57.0,J. Clarkson makes free throw 2 of 2,1,81-94,,
0:45.0,,,81-94,,Turnover by B. Caboclo (lost ball)
0:39.0,W. Johnson misses 3-pt shot from 23 ft,,81-94,,
0:37.0,,,81-94,,Defensive rebound by J. Valanciunas
0:15.0,,,81-94,,J. Johnson misses 2-pt shot from 19 ft
0:14.0,Defensive rebound by J. Lin,,81-94,,
0:10.0,J. Lin makes 2-pt shot from 2 ft,2,83-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
