time,Houston,pts.away,score,pts.home,Atlanta
1:59.0,T. Ariza makes 3-pt shot from 24 ft (assist by T. Jones),3,96-96,,
1:46.0,,,96-98,2,A. Horford makes 2-pt shot from 19 ft (assist by P. Millsap)
1:46.0,Houston full timeout,,96-98,,
1:30.0,T. Jones misses 2-pt shot from 7 ft (block by A. Horford),,96-98,,
1:28.0,,,96-98,,Defensive rebound by P. Millsap
1:24.0,,,96-98,,Turnover by J. Teague (lost ball; steal by P. Beverley)
1:17.0,T. Ariza misses 3-pt shot from 25 ft,,96-98,,
1:16.0,Offensive rebound by T. Jones,,96-98,,
1:15.0,Shooting foul by D. Carroll (drawn by T. Jones),,96-98,,
1:15.0,T. Jones misses free throw 1 of 2,,96-98,,
1:15.0,Offensive rebound by Team,,96-98,,
1:15.0,,,96-98,,K. Korver enters the game for D. Schroder
1:15.0,T. Jones misses free throw 2 of 2,,96-98,,
1:13.0,,,96-98,,Defensive rebound by P. Millsap
0:59.0,,,96-98,,P. Millsap misses 2-pt shot at rim
0:59.0,,,96-98,,Offensive rebound by Team
0:59.0,Personal foul by T. Ariza (drawn by D. Carroll),,96-98,,
0:59.0,,,96-98,,Atlanta full timeout
0:52.0,Personal foul by P. Beverley (drawn by P. Millsap),,96-98,,
0:52.0,C. Brewer enters the game for P. Beverley,,96-98,,
0:52.0,,,96-99,1,P. Millsap makes free throw 1 of 2
0:52.0,,,96-99,,D. Schroder enters the game for K. Korver
0:52.0,,,96-100,1,P. Millsap makes free throw 2 of 2
0:39.0,C. Brewer misses 2-pt shot from 22 ft,,96-100,,
0:38.0,,,96-100,,Defensive rebound by P. Millsap
0:34.0,Personal foul by C. Brewer (drawn by J. Teague),,96-100,,
0:34.0,,,96-101,1,J. Teague makes free throw 1 of 2
0:34.0,,,96-102,1,J. Teague makes free throw 2 of 2
0:34.0,Houston full timeout,,96-102,,
0:31.0,J. Terry misses 3-pt shot from 27 ft,,96-102,,
0:29.0,,,96-102,,Defensive rebound by Team
0:16.0,Personal take foul by J. Terry (drawn by D. Schroder),,96-102,,
0:16.0,,,96-103,1,D. Schroder makes free throw 1 of 2
0:16.0,,,96-103,,P. Antic enters the game for A. Horford
0:16.0,,,96-103,,M. Scott enters the game for P. Millsap
0:16.0,,,96-103,,K. Bazemore enters the game for J. Teague
0:16.0,,,96-104,1,D. Schroder makes free throw 2 of 2
0:09.0,C. Brewer misses 3-pt shot from 23 ft,,96-104,,
0:08.0,,,96-104,,Defensive rebound by D. Carroll
0:00.0,End of 4th quarter,,,,End of 4th quarter
