time,LA Lakers,pts.away,score,pts.home,Cleveland
0:08.0,,,47-64,,Turnover by L. James (bad pass; steal by W. Johnson)
0:03.0,E. Davis makes 2-pt shot from 1 ft (assist by W. Ellington),2,49-64,,
0:00.0,,,49-64,,L. James misses 3-pt shot from 46 ft
0:00.0,,,49-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,R. Kelly misses 2-pt shot from 15 ft,,49-64,,
11:37.0,Offensive rebound by R. Sacre,,49-64,,
11:36.0,Shooting foul by T. Mozgov (drawn by R. Sacre),,49-64,,
11:36.0,R. Sacre misses free throw 1 of 2,,49-64,,
11:36.0,Offensive rebound by Team,,49-64,,
11:36.0,R. Sacre misses free throw 2 of 2,,49-64,,
11:35.0,,,49-64,,Defensive rebound by T. Mozgov
11:18.0,,,49-66,2,K. Love makes 2-pt shot from 19 ft (assist by J. Smith)
10:56.0,T. Black misses 2-pt shot from 7 ft (block by T. Mozgov),,49-66,,
10:54.0,Offensive rebound by T. Black,,49-66,,
10:51.0,T. Black makes 2-pt shot at rim,2,51-66,,
10:33.0,,,51-66,,Shooting foul by T. Black (drawn by K. Love)
10:33.0,,,51-66,,K. Love misses free throw 1 of 3
10:33.0,,,51-66,,Offensive rebound by Team
10:33.0,,,51-67,1,K. Love makes free throw 2 of 3
10:33.0,,,51-68,1,K. Love makes free throw 3 of 3
10:23.0,R. Kelly misses 2-pt shot from 17 ft,,51-68,,
10:22.0,,,51-68,,Defensive rebound by K. Love
10:16.0,,,51-71,3,L. James makes 3-pt shot from 24 ft (assist by K. Love)
9:59.0,J. Clarkson misses 2-pt shot from 16 ft,,51-71,,
9:59.0,,,51-71,,Defensive rebound by Team
9:45.0,,,51-73,2,L. James makes 2-pt shot from 19 ft (assist by K. Irving)
9:30.0,Shooting foul by T. Mozgov (drawn by J. Clarkson),,51-73,,
9:30.0,J. Clarkson makes free throw 1 of 2,1,52-73,,
9:30.0,J. Clarkson makes free throw 2 of 2,1,53-73,,
9:21.0,,,53-75,2,L. James makes 2-pt shot from 20 ft (assist by J. Smith)
9:09.0,R. Kelly makes 2-pt shot from 4 ft (assist by J. Clarkson),2,55-75,,
9:00.0,,,55-75,,L. James misses 3-pt shot from 24 ft
8:58.0,,,55-75,,Offensive rebound by Team
8:47.0,,,55-78,3,L. James makes 3-pt shot from 27 ft
8:33.0,W. Ellington misses 3-pt shot from 25 ft,,55-78,,
8:32.0,,,55-78,,Defensive rebound by K. Irving
8:26.0,,,55-78,,L. James misses 3-pt shot from 28 ft
8:25.0,Defensive rebound by T. Black,,55-78,,
8:19.0,J. Clarkson makes 2-pt shot from 1 ft,2,57-78,,
8:10.0,,,57-81,3,K. Irving makes 3-pt shot from 26 ft
7:55.0,,,57-81,,Personal foul by L. James (drawn by J. Clarkson)
7:55.0,,,57-81,,T. Thompson enters the game for K. Love
7:42.0,R. Sacre misses 2-pt shot from 10 ft,,57-81,,
7:39.0,,,57-81,,Defensive rebound by T. Thompson
7:30.0,,,57-81,,Turnover by T. Mozgov (bad pass; steal by R. Sacre)
7:27.0,Shooting foul by J. Smith (drawn by J. Clarkson),,57-81,,
7:27.0,J. Clarkson makes free throw 1 of 2,1,58-81,,
7:27.0,J. Clarkson misses free throw 2 of 2,,58-81,,
7:25.0,,,58-81,,Defensive rebound by T. Mozgov
7:05.0,,,58-84,3,K. Irving makes 3-pt shot from 23 ft (assist by L. James)
6:52.0,J. Clarkson misses 2-pt shot from 1 ft,,58-84,,
6:51.0,,,58-84,,Defensive rebound by L. James
6:45.0,,,58-84,,T. Thompson misses 2-pt shot from 1 ft (block by R. Sacre)
6:43.0,Defensive rebound by R. Sacre,,58-84,,
6:34.0,R. Sacre makes 2-pt shot from 14 ft (assist by J. Clarkson),2,60-84,,
6:11.0,,,60-86,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
5:52.0,R. Sacre misses 2-pt shot at rim (block by T. Mozgov),,60-86,,
5:50.0,,,60-86,,Defensive rebound by T. Thompson
5:43.0,,,60-86,,Cleveland full timeout
5:37.0,,,60-86,,J. Smith misses 3-pt shot from 25 ft
5:36.0,,,60-86,,Offensive rebound by Team
5:36.0,Loose ball foul by R. Kelly (drawn by T. Thompson),,60-86,,
5:24.0,,,60-86,,Turnover by L. James (traveling)
4:59.0,J. Clarkson misses 3-pt shot from 31 ft,,60-86,,
4:57.0,,,60-86,,Defensive rebound by T. Mozgov
4:44.0,,,60-86,,L. James misses 3-pt shot from 26 ft
4:42.0,,,60-86,,Offensive rebound by T. Mozgov
4:37.0,,,60-86,,L. James misses 2-pt shot from 13 ft
4:35.0,Defensive rebound by J. Clarkson,,60-86,,
4:35.0,,,60-86,,Personal foul by K. Irving (drawn by J. Clarkson)
4:35.0,J. Clarkson makes free throw 1 of 2,1,61-86,,
4:35.0,J. Clarkson makes free throw 2 of 2,1,62-86,,
4:17.0,,,62-86,,K. Irving misses 3-pt shot from 26 ft
4:15.0,Defensive rebound by R. Kelly,,62-86,,
3:56.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Clarkson),3,65-86,,
3:38.0,,,65-86,,L. James misses 2-pt shot from 4 ft (block by R. Kelly)
3:38.0,Defensive rebound by Team,,65-86,,
3:38.0,,,65-86,,K. Love enters the game for T. Mozgov
3:38.0,,,65-86,,I. Shumpert enters the game for J. Smith
3:38.0,E. Davis enters the game for R. Sacre,,65-86,,
3:20.0,,,65-86,,Violation by T. Thompson (def goaltending)
3:20.0,E. Davis makes 2-pt shot from 1 ft,2,67-86,,
3:05.0,,,67-86,,Turnover by L. James (bad pass; steal by J. Clarkson)
3:04.0,J. Clarkson makes 2-pt shot at rim,2,69-86,,
3:04.0,Shooting foul by K. Irving (drawn by J. Clarkson),,69-86,,
3:04.0,,,69-86,,M. Dellavedova enters the game for K. Irving
3:04.0,J. Clarkson makes free throw 1 of 1,1,70-86,,
2:55.0,Personal foul by T. Black (drawn by L. James),,70-86,,
2:55.0,LA Lakers full timeout,,70-86,,
2:43.0,,,70-86,,Shooting foul by J. Clarkson (drawn by L. James)
2:43.0,,,70-86,,L. James misses free throw 1 of 2
2:43.0,,,70-86,,Offensive rebound by Team
2:43.0,,,70-87,1,L. James makes free throw 2 of 2
2:34.0,W. Ellington misses 2-pt shot from 18 ft,,70-87,,
2:33.0,Offensive rebound by J. Clarkson,,70-87,,
2:28.0,R. Kelly misses 3-pt shot from 24 ft,,70-87,,
2:27.0,,,70-87,,Defensive rebound by K. Love
2:22.0,,,70-89,2,L. James makes 2-pt shot from 3 ft
2:22.0,,,70-89,,Shooting foul by T. Black (drawn by L. James)
2:22.0,,,70-90,1,L. James makes free throw 1 of 1
2:02.0,E. Davis makes 2-pt shot at rim (assist by W. Ellington),2,72-90,,
1:46.0,,,72-90,,K. Love misses 2-pt shot from 5 ft
1:46.0,Defensive rebound by Team,,72-90,,
1:30.0,T. Black makes 2-pt shot at rim (assist by E. Davis),2,74-90,,
1:06.0,,,74-90,,I. Shumpert misses 3-pt shot from 22 ft
1:05.0,Defensive rebound by T. Black,,74-90,,
0:57.0,R. Kelly misses 3-pt shot from 24 ft,,74-90,,
0:56.0,,,74-90,,Defensive rebound by L. James
0:47.0,,,74-93,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
0:29.0,J. Clarkson misses 3-pt shot from 25 ft,,74-93,,
0:27.0,Offensive rebound by W. Ellington,,74-93,,
0:27.0,W. Ellington makes 2-pt shot at rim,2,76-93,,
0:05.0,,,76-96,3,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson)
0:00.0,W. Ellington makes 3-pt shot from 25 ft,3,79-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-96,,K. Love misses 2-pt shot from 14 ft (block by E. Davis)
11:45.0,Defensive rebound by C. Boozer,,79-96,,
11:32.0,Turnover by J. Lin (bad pass; steal by I. Shumpert),,79-96,,
11:24.0,,,79-96,,Turnover by K. Love (bad pass; steal by W. Johnson)
11:10.0,N. Young misses 2-pt shot from 21 ft,,79-96,,
11:09.0,,,79-96,,Defensive rebound by T. Thompson
10:51.0,,,79-96,,T. Thompson misses 2-pt shot from 4 ft
10:50.0,Defensive rebound by E. Davis,,79-96,,
10:39.0,W. Johnson misses 2-pt shot from 16 ft,,79-96,,
10:38.0,,,79-96,,Defensive rebound by T. Thompson
10:29.0,,,79-98,2,K. Irving makes 2-pt shot from 1 ft
10:13.0,N. Young misses 3-pt shot from 22 ft,,79-98,,
10:11.0,,,79-98,,Defensive rebound by K. Irving
10:08.0,,,79-98,,Shooting foul by J. Lin (drawn by K. Irving)
10:08.0,,,79-99,1,K. Irving makes free throw 1 of 2
10:08.0,,,79-100,1,K. Irving makes free throw 2 of 2
9:57.0,E. Davis misses 2-pt shot from 4 ft (block by I. Shumpert),,79-100,,
9:54.0,,,79-100,,Defensive rebound by I. Shumpert
9:49.0,,,79-100,,I. Shumpert misses 2-pt shot from 16 ft
9:48.0,,,79-100,,Offensive rebound by T. Thompson
9:41.0,,,79-100,,I. Shumpert misses 2-pt shot from 17 ft
9:39.0,Defensive rebound by J. Lin,,79-100,,
9:36.0,Turnover by J. Lin (lost ball; steal by I. Shumpert),,79-100,,
9:32.0,Personal foul by N. Young (drawn by T. Thompson),,79-100,,
9:19.0,,,79-102,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
9:03.0,W. Johnson misses 2-pt shot from 14 ft,,79-102,,
9:02.0,,,79-102,,Defensive rebound by K. Love
8:51.0,,,79-104,2,K. Irving makes 2-pt shot at rim
8:35.0,E. Davis makes 2-pt shot from 6 ft (assist by C. Boozer),2,81-104,,
8:22.0,,,81-106,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
8:03.0,C. Boozer misses 2-pt shot from 16 ft,,81-106,,
8:02.0,,,81-106,,Defensive rebound by T. Thompson
7:51.0,,,81-106,,I. Shumpert misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by E. Davis,,81-106,,
7:34.0,W. Johnson misses 2-pt shot from 8 ft,,81-106,,
7:32.0,Offensive rebound by E. Davis,,81-106,,
7:24.0,C. Boozer misses 2-pt shot from 5 ft (block by I. Shumpert),,81-106,,
7:22.0,Offensive rebound by E. Davis,,81-106,,
7:21.0,E. Davis makes 2-pt shot at rim,2,83-106,,
7:02.0,,,83-109,3,K. Irving makes 3-pt shot from 25 ft
6:41.0,J. Lin makes 2-pt shot from 6 ft (assist by E. Davis),2,85-109,,
6:27.0,,,85-109,,Shooting foul by E. Davis (drawn by T. Thompson)
6:27.0,Official timeout,,85-109,,
6:27.0,R. Kelly enters the game for C. Boozer,,85-109,,
6:27.0,,,85-109,,M. Dellavedova enters the game for K. Love
6:27.0,,,85-109,,T. Mozgov enters the game for K. Irving
6:27.0,,,85-110,1,T. Thompson makes free throw 1 of 2
6:27.0,,,85-110,,T. Thompson misses free throw 2 of 2
6:27.0,Defensive rebound by E. Davis,,85-110,,
6:13.0,N. Young misses 3-pt shot from 24 ft,,85-110,,
6:12.0,,,85-110,,Defensive rebound by T. Mozgov
5:56.0,,,85-110,,Turnover by I. Shumpert (bad pass; steal by R. Kelly)
5:48.0,J. Lin makes 3-pt shot from 26 ft (assist by N. Young),3,88-110,,
5:31.0,,,88-110,,Shooting foul by E. Davis (drawn by T. Thompson)
5:31.0,,,88-110,,Cleveland full timeout
5:31.0,,,88-111,1,T. Thompson makes free throw 1 of 2
5:31.0,,,88-111,,T. Thompson misses free throw 2 of 2
5:30.0,Defensive rebound by R. Kelly,,88-111,,
5:07.0,J. Lin misses 2-pt shot from 9 ft,,88-111,,
5:04.0,Offensive rebound by E. Davis,,88-111,,
4:59.0,W. Johnson misses 2-pt shot from 17 ft,,88-111,,
4:57.0,,,88-111,,Defensive rebound by I. Shumpert
4:45.0,,,88-111,,Turnover by T. Mozgov (lost ball; steal by E. Davis)
4:39.0,Turnover by W. Johnson (step out of bounds),,88-111,,
4:39.0,,,88-111,,J. Jones enters the game for T. Mozgov
4:19.0,,,88-111,,I. Shumpert misses 3-pt shot from 23 ft
4:18.0,Defensive rebound by E. Davis,,88-111,,
4:07.0,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin),2,90-111,,
3:47.0,,,90-111,,M. Dellavedova misses 2-pt shot from 11 ft
3:46.0,Defensive rebound by E. Davis,,90-111,,
3:33.0,,,90-111,,J. Harris enters the game for J. Smith
3:26.0,J. Lin makes 2-pt shot at rim (assist by W. Johnson),2,92-111,,
3:10.0,,,92-114,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by I. Shumpert)
2:57.0,W. Johnson misses 3-pt shot from 27 ft,,92-114,,
2:56.0,Offensive rebound by N. Young,,92-114,,
2:46.0,N. Young makes 3-pt shot from 24 ft,3,95-114,,
