time,Sacramento,pts.away,score,pts.home,Portland
2:34.0,,,87-86,,Offensive rebound by W. Barton
2:32.0,,,87-86,,Shooting foul by D. Williams (drawn by T. Robinson)
2:32.0,,,87-87,1,T. Robinson makes free throw 1 of 2
2:32.0,,,87-87,,T. Robinson misses free throw 2 of 2
2:31.0,Defensive rebound by D. Cousins,,87-87,,
2:31.0,,,87-87,,Personal foul by N. Batum (drawn by D. Cousins)
2:18.0,Turnover by R. Gay (bad pass; steal by W. Barton),,87-87,,
2:09.0,,,87-89,2,W. Matthews makes 2-pt shot from 23 ft
1:50.0,Shooting foul by T. Robinson (drawn by D. Cousins),,87-89,,
1:50.0,D. Cousins makes free throw 1 of 2,1,88-89,,
1:50.0,D. Cousins makes free throw 2 of 2,1,89-89,,
1:42.0,Personal foul by D. Cousins (drawn by T. Robinson),,89-89,,
1:42.0,J. Thompson enters the game for D. Cousins,,89-89,,
1:42.0,,,89-89,,T. Robinson misses free throw 1 of 2
1:42.0,,,89-89,,Offensive rebound by Team
1:42.0,,,89-89,,T. Robinson misses free throw 2 of 2
1:41.0,,,89-89,,Offensive rebound by Team
1:24.0,,,89-89,,W. Matthews misses 3-pt shot from 22 ft
1:23.0,,,89-89,,Offensive rebound by D. Lillard
1:20.0,,,89-91,2,D. Lillard makes 2-pt shot from 1 ft
1:02.0,Turnover by R. Gay (bad pass; steal by W. Matthews),,89-91,,
1:02.0,Personal foul by R. Gay (drawn by N. Batum),,89-91,,
1:02.0,,,89-92,1,N. Batum makes free throw 1 of 2
1:02.0,,,89-93,1,N. Batum makes free throw 2 of 2
0:46.0,Shooting foul by W. Barton (drawn by B. McLemore),,89-93,,
0:46.0,B. McLemore makes free throw 1 of 3,1,90-93,,
0:46.0,B. McLemore makes free throw 2 of 3,1,91-93,,
0:46.0,,,91-93,,C. Kaman enters the game for W. Barton
0:46.0,B. McLemore makes free throw 3 of 3,1,92-93,,
0:46.0,,,92-93,,Portland full timeout
0:46.0,,,92-93,,W. Barton enters the game for C. Kaman
0:34.0,,,92-95,2,D. Lillard makes 2-pt shot at rim
0:34.0,Sacramento full timeout,,92-95,,
0:32.0,Shooting foul by W. Matthews (drawn by R. Gay),,92-95,,
0:32.0,R. Gay makes free throw 1 of 2,1,93-95,,
0:32.0,,,93-95,,C. Kaman enters the game for W. Barton
0:32.0,R. Gay makes free throw 2 of 2,1,94-95,,
0:32.0,,,94-95,,Portland full timeout
0:32.0,,,94-95,,W. Barton enters the game for C. Kaman
0:22.0,,,94-95,,Shooting foul by D. Collison (drawn by D. Lillard)
0:22.0,,,94-96,1,D. Lillard makes free throw 1 of 2
0:22.0,,,94-96,,D. Lillard misses free throw 2 of 2
0:21.0,Defensive rebound by J. Thompson,,94-96,,
0:21.0,Sacramento full timeout,,94-96,,
0:11.0,R. Gay misses 2-pt shot from 18 ft,,94-96,,
0:10.0,,,94-96,,Defensive rebound by D. Lillard
0:09.0,Personal take foul by J. Thompson (drawn by D. Lillard),,94-96,,
0:09.0,,,94-96,,D. Lillard misses free throw 1 of 2
0:09.0,,,94-96,,Offensive rebound by Team
0:09.0,R. Evans enters the game for D. Williams,,94-96,,
0:09.0,,,94-97,1,D. Lillard makes free throw 2 of 2
0:09.0,Sacramento full timeout,,94-97,,
0:09.0,D. Williams enters the game for R. Evans,,94-97,,
0:06.0,Turnover by D. Collison (step out of bounds),,94-97,,
0:06.0,,,94-97,,S. Blake enters the game for T. Robinson
0:02.0,Personal take foul by R. Gay (drawn by N. Batum),,94-97,,
0:02.0,,,94-97,,N. Batum misses free throw 1 of 2
0:02.0,,,94-97,,Offensive rebound by Team
0:02.0,,,94-98,1,N. Batum makes free throw 2 of 2
0:00.0,B. McLemore misses 3-pt shot from 39 ft,,94-98,,
0:00.0,Offensive rebound by Team,,94-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
