time,Charlotte,pts.away,score,pts.home,Chicago
1:35.0,M. Williams makes free throw 1 of 2,1,96-82,,
1:35.0,M. Williams makes free throw 2 of 2,1,97-82,,
1:21.0,,,97-84,2,P. Gasol makes 2-pt shot from 5 ft (assist by J. Butler)
1:19.0,,,97-84,,Personal foul by A. Brooks (drawn by M. Kidd-Gilchrist)
1:19.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,98-84,,
1:19.0,M. Kidd-Gilchrist misses free throw 2 of 2,,98-84,,
1:17.0,,,98-84,,Defensive rebound by P. Gasol
1:04.0,,,98-84,,J. Butler misses 3-pt shot from 24 ft
1:02.0,Defensive rebound by C. Zeller,,98-84,,
0:44.0,A. Jefferson misses 2-pt shot from 1 ft,,98-84,,
0:43.0,,,98-84,,Defensive rebound by P. Gasol
0:35.0,,,98-84,,A. Brooks misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by G. Henderson,,98-84,,
0:12.0,M. Williams misses 3-pt shot from 25 ft,,98-84,,
0:10.0,,,98-84,,Defensive rebound by J. Noah
0:08.0,,,98-86,2,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah)
0:00.0,End of 4th quarter,,,,End of 4th quarter
