time,Chicago,pts.away,score,pts.home,Memphis
0:45.0,,,94-90,,Defensive rebound by V. Carter
0:38.0,,,94-90,,C. Lee misses 2-pt shot from 22 ft
0:37.0,Defensive rebound by J. Noah,,94-90,,
0:36.0,,,94-90,,Personal take foul by M. Gasol (drawn by J. Noah)
0:36.0,J. Noah misses free throw 1 of 2,,94-90,,
0:36.0,Offensive rebound by Team,,94-90,,
0:36.0,E. Moore enters the game for N. Mirotic,,94-90,,
0:36.0,J. Noah makes free throw 2 of 2,1,95-90,,
0:36.0,,,95-90,,Memphis full timeout
0:29.0,,,95-92,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
0:29.0,,,95-92,,Personal take foul by M. Gasol (drawn by J. Noah)
0:29.0,J. Noah makes free throw 1 of 2,1,96-92,,
0:29.0,J. Noah makes free throw 2 of 2,1,97-92,,
0:23.0,,,97-94,2,M. Conley makes 2-pt shot from 1 ft
0:23.0,Chicago full timeout,,97-94,,
0:23.0,N. Mirotic enters the game for E. Moore,,97-94,,
0:20.0,,,97-94,,Personal take foul by N. Calathes (drawn by A. Brooks)
0:20.0,A. Brooks makes free throw 1 of 2,1,98-94,,
0:20.0,E. Moore enters the game for N. Mirotic,,98-94,,
0:20.0,A. Brooks makes free throw 2 of 2,1,99-94,,
0:14.0,,,99-97,3,M. Conley makes 3-pt shot from 24 ft
0:13.0,,,99-97,,Personal take foul by M. Conley (drawn by E. Moore)
0:13.0,E. Moore makes free throw 1 of 2,1,100-97,,
0:13.0,E. Moore makes free throw 2 of 2,1,101-97,,
0:13.0,,,101-97,,Memphis full timeout
0:08.0,,,101-97,,M. Conley misses 3-pt shot from 25 ft
0:08.0,Defensive rebound by J. Butler,,101-97,,
0:06.0,,,101-97,,Personal foul by N. Calathes (drawn by J. Butler)
0:06.0,J. Butler makes free throw 1 of 2,1,102-97,,
0:06.0,J. Butler makes free throw 2 of 2,1,103-97,,
0:06.0,,,103-97,,Memphis full timeout
0:03.0,,,103-97,,V. Carter misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Noah,,103-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
