time,Phoenix,pts.away,score,pts.home,LA Lakers
9:28.0,Shooting foul by W. Johnson (drawn by E. Bledsoe),,59-61,,
9:28.0,E. Bledsoe makes free throw 1 of 2,1,60-61,,
9:28.0,E. Bledsoe makes free throw 2 of 2,1,61-61,,
9:19.0,,,61-61,,W. Johnson misses 2-pt shot from 17 ft
9:17.0,Defensive rebound by M. Morris,,61-61,,
9:15.0,Turnover by M. Morris (bad pass; steal by R. Price),,61-61,,
9:09.0,,,61-63,2,E. Davis makes 2-pt shot from 2 ft (assist by R. Price)
8:54.0,M. Morris misses 3-pt shot from 26 ft,,61-63,,
8:53.0,,,61-63,,Defensive rebound by K. Bryant
8:32.0,,,61-63,,K. Bryant misses 2-pt shot from 11 ft
8:31.0,Defensive rebound by A. Len,,61-63,,
8:24.0,E. Bledsoe misses 2-pt shot from 18 ft,,61-63,,
8:23.0,,,61-63,,Defensive rebound by E. Davis
8:15.0,,,61-63,,R. Price misses 2-pt shot from 1 ft (block by E. Bledsoe)
8:15.0,,,61-63,,Offensive rebound by Team
8:15.0,,,61-63,,Violation by Team (jump ball)
8:15.0,,,61-63,,Turnover by J. Hill (jump ball violation.)
8:15.0,Jump ball: J. Hill vs. A. Len,,,,Jump ball: J. Hill vs. A. Len
7:54.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by P. Tucker),2,63-63,,
7:30.0,,,63-63,,Turnover by J. Hill (lost ball; steal by A. Len)
7:24.0,G. Dragic makes 2-pt shot from 4 ft,2,65-63,,
7:07.0,,,65-63,,Turnover by K. Bryant (bad pass; steal by G. Dragic)
7:04.0,A. Len makes 2-pt shot at rim (assist by M. Morris),2,67-63,,
6:45.0,,,67-63,,J. Hill misses 2-pt shot from 19 ft
6:43.0,Defensive rebound by M. Morris,,67-63,,
6:39.0,P. Tucker misses 2-pt shot from 18 ft,,67-63,,
6:39.0,Offensive rebound by Team,,67-63,,
6:36.0,Shooting foul by E. Davis (drawn by M. Morris),,67-63,,
6:36.0,M. Morris misses free throw 1 of 2,,67-63,,
6:36.0,Offensive rebound by Team,,67-63,,
6:36.0,M. Morris makes free throw 2 of 2,1,68-63,,
6:23.0,,,68-63,,Shooting foul by A. Len (drawn by J. Hill)
6:23.0,,,68-63,,J. Hill misses free throw 1 of 2
6:23.0,,,68-63,,Offensive rebound by Team
6:23.0,,,68-64,1,J. Hill makes free throw 2 of 2
6:11.0,G. Dragic makes 3-pt shot from 26 ft,3,71-64,,
5:56.0,,,71-67,3,W. Johnson makes 3-pt shot from 25 ft (assist by J. Hill)
5:34.0,G. Dragic makes 2-pt shot from 1 ft,2,73-67,,
