time,Cleveland,pts.away,score,pts.home,Orlando
2:04.0,,,123-105,,E. Payton misses 2-pt shot from 10 ft
2:02.0,Defensive rebound by I. Shumpert,,123-105,,
2:02.0,Cleveland full timeout,,123-105,,
2:02.0,J. Harris enters the game for L. James,,123-105,,
2:02.0,M. Dellavedova enters the game for T. Thompson,,123-105,,
2:02.0,K. Perkins enters the game for K. Irving,,123-105,,
1:53.0,Turnover by M. Dellavedova (bad pass),,123-105,,
1:37.0,,,123-105,,Turnover by E. Payton (bad pass; steal by I. Shumpert)
1:12.0,K. Perkins misses 2-pt shot from 8 ft,,123-105,,
1:11.0,,,123-105,,Defensive rebound by N. Vucevic
0:53.0,,,123-105,,M. Harkless misses 3-pt shot from 23 ft
0:52.0,Defensive rebound by K. Perkins,,123-105,,
0:34.0,M. Dellavedova misses 3-pt shot from 25 ft,,123-105,,
0:32.0,,,123-105,,Defensive rebound by N. Vucevic
0:19.0,,,123-108,3,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton)
0:00.0,End of 4th quarter,,,,End of 4th quarter
