time,LA Clippers,pts.away,score,pts.home,San Antonio
8:16.0,,,56-54,,M. Ginobili enters the game for D. Green
8:16.0,,,56-55,1,T. Duncan makes free throw 2 of 2
8:08.0,B. Griffin makes 2-pt shot from 1 ft (assist by M. Barnes),2,58-55,,
8:08.0,Shooting foul by T. Duncan (drawn by B. Griffin),,58-55,,
8:08.0,B. Griffin makes free throw 1 of 1,1,59-55,,
7:55.0,,,59-55,,Turnover by M. Ginobili (bad pass; steal by M. Barnes)
7:51.0,M. Barnes misses 2-pt shot from 1 ft (block by M. Ginobili),,59-55,,
7:51.0,Offensive rebound by Team,,59-55,,
7:45.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,61-55,,
7:30.0,,,61-57,2,P. Mills makes 2-pt shot from 22 ft (assist by B. Diaw)
7:20.0,Offensive foul by C. Paul,,61-57,,
7:20.0,Turnover by C. Paul (offensive foul),,61-57,,
7:11.0,Personal foul by J. Redick (drawn by M. Ginobili),,61-57,,
7:02.0,,,61-57,,Shooting foul by M. Barnes (drawn by K. Leonard)
7:02.0,,,61-58,1,K. Leonard makes free throw 1 of 2
7:02.0,J. Crawford enters the game for M. Barnes,,61-58,,
7:02.0,,,61-58,,K. Leonard misses free throw 2 of 2
7:01.0,Defensive rebound by B. Griffin,,61-58,,
6:45.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,63-58,,
6:29.0,,,63-60,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
6:08.0,Turnover by J. Redick (bad pass),,63-60,,
5:51.0,,,63-62,2,K. Leonard makes 2-pt shot from 18 ft
5:30.0,C. Paul makes 2-pt shot from 14 ft,2,65-62,,
5:22.0,,,65-64,2,T. Duncan makes 2-pt shot from 2 ft (assist by P. Mills)
5:01.0,B. Griffin misses 2-pt shot from 20 ft,,65-64,,
5:00.0,,,65-64,,Defensive rebound by P. Mills
5:00.0,Personal foul by B. Griffin (drawn by P. Mills),,65-64,,
5:00.0,,,65-64,,San Antonio full timeout
5:00.0,A. Rivers enters the game for J. Redick,,65-64,,
5:00.0,,,65-65,1,P. Mills makes free throw 1 of 2
5:00.0,,,65-66,1,P. Mills makes free throw 2 of 2
4:35.0,C. Paul makes 2-pt shot from 7 ft,2,67-66,,
4:15.0,Personal foul by C. Paul (drawn by K. Leonard),,67-66,,
4:15.0,,,67-67,1,K. Leonard makes free throw 1 of 2
4:15.0,,,67-68,1,K. Leonard makes free throw 2 of 2
4:03.0,A. Rivers makes 2-pt shot from 7 ft,2,69-68,,
3:44.0,,,69-68,,Turnover by T. Duncan (bad pass; steal by A. Rivers)
3:33.0,Shooting foul by P. Mills (drawn by D. Jordan),,69-68,,
3:33.0,D. Jordan misses free throw 1 of 2,,69-68,,
3:33.0,Offensive rebound by Team,,69-68,,
3:33.0,,,69-68,,T. Splitter enters the game for T. Duncan
3:33.0,D. Jordan misses free throw 2 of 2,,69-68,,
3:32.0,,,69-68,,Defensive rebound by K. Leonard
3:21.0,,,69-68,,T. Splitter misses 2-pt shot from 2 ft (block by D. Jordan)
3:19.0,Defensive rebound by B. Griffin,,69-68,,
3:13.0,Turnover by A. Rivers (traveling),,69-68,,
2:52.0,,,69-70,2,K. Leonard makes 2-pt shot from 18 ft
2:46.0,,,69-70,,Personal take foul by B. Diaw (drawn by D. Jordan)
