time,San Antonio,pts.away,score,pts.home,New York
1:14.0,K. Leonard misses free throw 1 of 2,,93-94,,
1:14.0,Offensive rebound by Team,,93-94,,
1:14.0,K. Leonard makes free throw 2 of 2,1,94-94,,
0:55.0,,,94-94,,S. Larkin misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by T. Parker,,94-94,,
0:35.0,T. Parker misses 2-pt shot from 21 ft,,94-94,,
0:34.0,Offensive rebound by T. Splitter,,94-94,,
0:33.0,T. Splitter misses 2-pt shot at rim (block by S. Larkin),,94-94,,
0:31.0,Offensive rebound by Team,,94-94,,
0:31.0,San Antonio full timeout,,94-94,,
0:31.0,B. Diaw enters the game for T. Splitter,,94-94,,
0:31.0,,,94-94,,C. Aldrich enters the game for J. Smith
0:25.0,M. Belinelli makes 2-pt shot from 20 ft (assist by T. Parker),2,96-94,,
0:21.0,,,96-94,,New York full timeout
0:21.0,,,96-94,,J. Smith enters the game for L. Thomas
0:21.0,,,96-94,,A. Shved enters the game for C. Aldrich
0:11.0,Personal take foul by T. Duncan (drawn by L. Galloway),,96-94,,
0:06.0,,,96-96,2,L. Amundson makes 2-pt shot from 1 ft (assist by A. Shved)
0:06.0,San Antonio full timeout,,96-96,,
0:06.0,,,96-96,,L. Thomas enters the game for A. Shved
0:03.0,K. Leonard misses 2-pt shot from 17 ft,,96-96,,
0:02.0,Offensive rebound by B. Diaw,,96-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: L. Amundson vs. T. Duncan (T. Parker gains possession),,,,Jump ball: L. Amundson vs. T. Duncan (T. Parker gains possession)
4:43.0,T. Parker makes 2-pt shot from 8 ft,2,98-96,,
4:21.0,,,98-96,,L. Galloway misses 3-pt shot from 25 ft
4:20.0,,,98-96,,Offensive rebound by A. Bargnani
4:16.0,,,98-98,2,A. Bargnani makes 2-pt shot from 1 ft
4:03.0,Turnover by T. Parker (bad pass),,98-98,,
3:49.0,,,98-98,,A. Bargnani misses 2-pt shot from 16 ft
3:48.0,Defensive rebound by K. Leonard,,98-98,,
3:37.0,T. Parker misses 2-pt shot from 4 ft,,98-98,,
3:36.0,Offensive rebound by T. Parker,,98-98,,
3:34.0,T. Parker misses 2-pt shot from 1 ft (block by A. Bargnani),,98-98,,
3:33.0,,,98-98,,Defensive rebound by L. Galloway
3:26.0,,,98-98,,A. Bargnani misses 2-pt shot from 12 ft
3:25.0,Defensive rebound by Team,,98-98,,
3:08.0,Shooting foul by L. Thomas (drawn by K. Leonard),,98-98,,
3:08.0,K. Leonard misses free throw 1 of 2,,98-98,,
3:08.0,Offensive rebound by Team,,98-98,,
3:08.0,K. Leonard makes free throw 2 of 2,1,99-98,,
2:55.0,,,99-98,,L. Thomas misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by T. Duncan,,99-98,,
2:45.0,K. Leonard misses 2-pt shot from 5 ft,,99-98,,
2:44.0,,,99-98,,Defensive rebound by A. Bargnani
2:24.0,,,99-98,,A. Bargnani misses 2-pt shot from 4 ft
2:23.0,Defensive rebound by T. Duncan,,99-98,,
2:04.0,T. Duncan misses 2-pt shot from 2 ft,,99-98,,
2:03.0,,,99-98,,Defensive rebound by A. Bargnani
1:57.0,,,99-98,,New York full timeout
1:57.0,M. Belinelli enters the game for D. Green,,99-98,,
1:44.0,,,99-98,,Shooting foul by B. Diaw (drawn by A. Shved)
1:44.0,,,99-99,1,A. Shved makes free throw 1 of 3
1:44.0,,,99-99,,A. Shved misses free throw 2 of 3
1:44.0,,,99-99,,Offensive rebound by Team
1:44.0,,,99-100,1,A. Shved makes free throw 3 of 3
1:25.0,T. Parker misses 2-pt shot from 7 ft,,99-100,,
1:24.0,Offensive rebound by T. Duncan,,99-100,,
1:24.0,T. Duncan misses 2-pt shot from 2 ft,,99-100,,
1:23.0,,,99-100,,Defensive rebound by L. Amundson
1:02.0,,,99-100,,A. Shved misses 3-pt shot from 28 ft
1:01.0,,,99-100,,Offensive rebound by L. Amundson
0:42.0,,,99-100,,Turnover by L. Amundson (lost ball)
0:29.0,Turnover by K. Leonard (bad pass; steal by L. Thomas),,99-100,,
0:27.0,,,99-100,,Turnover by L. Thomas (bad pass)
0:27.0,D. Green enters the game for M. Belinelli,,99-100,,
0:27.0,,,99-100,,J. Smith enters the game for A. Bargnani
0:22.0,D. Green misses 3-pt shot from 24 ft,,99-100,,
0:19.0,,,99-100,,Defensive rebound by J. Smith
0:16.0,Personal take foul by B. Diaw (drawn by J. Smith),,99-100,,
0:16.0,,,99-101,1,J. Smith makes free throw 1 of 2
0:16.0,,,99-101,,J. Smith misses free throw 2 of 2
0:15.0,Defensive rebound by T. Parker,,99-101,,
0:15.0,San Antonio full timeout,,99-101,,
0:09.0,Shooting foul by L. Amundson (drawn by T. Duncan),,99-101,,
0:09.0,T. Duncan makes free throw 1 of 2,1,100-101,,
0:09.0,T. Duncan misses free throw 2 of 2,,100-101,,
0:08.0,,,100-101,,Defensive rebound by L. Amundson
0:08.0,Personal take foul by B. Diaw (drawn by L. Amundson),,100-101,,
0:08.0,,,100-101,,L. Amundson misses free throw 1 of 2
0:08.0,,,100-101,,Offensive rebound by Team
0:08.0,T. Splitter enters the game for T. Parker,,100-101,,
0:08.0,,,100-101,,C. Aldrich enters the game for L. Thomas
0:08.0,,,100-102,1,L. Amundson makes free throw 2 of 2
0:08.0,San Antonio full timeout,,100-102,,
0:08.0,M. Belinelli enters the game for T. Splitter,,100-102,,
0:08.0,T. Parker enters the game for B. Diaw,,100-102,,
0:08.0,,,100-102,,L. Thomas enters the game for C. Aldrich
0:08.0,,,100-102,,T. Wear enters the game for J. Smith
0:04.0,Turnover by T. Duncan (bad pass; steal by A. Shved),,100-102,,
0:03.0,Personal take foul by T. Parker (drawn by A. Shved),,100-102,,
0:03.0,,,100-103,1,A. Shved makes free throw 1 of 2
0:03.0,,,100-104,1,A. Shved makes free throw 2 of 2
0:03.0,San Antonio full timeout,,100-104,,
0:03.0,B. Diaw enters the game for D. Green,,100-104,,
0:01.0,T. Parker misses 3-pt shot from 25 ft,,100-104,,
0:00.0,Offensive rebound by Team,,100-104,,
0:00.0,End of 1st overtime,,,,End of 1st overtime
