time,Golden State,pts.away,score,pts.home,Indiana
3:00.0,K. Thompson misses 3-pt shot from 22 ft,,90-93,,
2:59.0,,,90-93,,Defensive rebound by R. Hibbert
2:38.0,,,90-93,,R. Stuckey misses 3-pt shot from 28 ft
2:36.0,Defensive rebound by A. Bogut,,90-93,,
2:30.0,Shooting foul by C. Miles (drawn by A. Iguodala),,90-93,,
2:30.0,A. Iguodala makes free throw 1 of 2,1,91-93,,
2:30.0,A. Iguodala makes free throw 2 of 2,1,92-93,,
2:17.0,,,92-96,3,G. Hill makes 3-pt shot from 25 ft
2:03.0,Shooting foul by G. Hill (drawn by K. Thompson),,92-96,,
2:03.0,K. Thompson makes free throw 1 of 2,1,93-96,,
2:03.0,K. Thompson makes free throw 2 of 2,1,94-96,,
1:54.0,,,94-96,,G. Hill misses 2-pt shot from 2 ft
1:52.0,,,94-96,,Offensive rebound by R. Hibbert
1:41.0,,,94-98,2,R. Stuckey makes 2-pt shot from 18 ft
1:30.0,K. Thompson makes 3-pt shot from 23 ft (assist by A. Iguodala),3,97-98,,
1:05.0,,,97-98,,G. Hill misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by A. Bogut,,97-98,,
0:51.0,K. Thompson misses 2-pt shot from 18 ft,,97-98,,
0:50.0,,,97-98,,Defensive rebound by C. Miles
0:27.0,,,97-101,3,C. Miles makes 3-pt shot from 26 ft (assist by D. West)
0:27.0,Golden State full timeout,,97-101,,
0:27.0,J. Holiday enters the game for S. Livingston,,97-101,,
0:24.0,,,97-101,,Personal foul by D. West (drawn by D. Green)
0:24.0,D. Green makes free throw 1 of 2,1,98-101,,
0:24.0,H. Barnes enters the game for A. Bogut,,98-101,,
0:24.0,D. Green misses free throw 2 of 2,,98-101,,
0:24.0,,,98-101,,Defensive rebound by C. Miles
0:22.0,,,98-101,,Indiana full timeout
0:22.0,,,98-101,,L. Scola enters the game for R. Hibbert
0:22.0,,,98-101,,Indiana full timeout
0:19.0,Personal foul by D. Green (drawn by D. West),,98-101,,
0:13.0,Personal foul by D. Green (drawn by L. Scola),,98-101,,
0:13.0,L. Barbosa enters the game for D. Green,,98-101,,
0:13.0,,,98-102,1,L. Scola makes free throw 1 of 2
0:13.0,,,98-102,,L. Scola misses free throw 2 of 2
0:12.0,Defensive rebound by A. Iguodala,,98-102,,
0:12.0,Golden State full timeout,,98-102,,
0:12.0,A. Bogut enters the game for H. Barnes,,98-102,,
0:12.0,D. Lee enters the game for L. Barbosa,,98-102,,
0:12.0,,,98-102,,R. Hibbert enters the game for L. Scola
0:08.0,K. Thompson misses 3-pt shot from 25 ft,,98-102,,
0:07.0,,,98-102,,Defensive rebound by D. West
0:05.0,Personal take foul by A. Iguodala (drawn by R. Stuckey),,98-102,,
0:05.0,,,98-103,1,R. Stuckey makes free throw 1 of 2
0:05.0,,,98-104,1,R. Stuckey makes free throw 2 of 2
0:00.0,A. Iguodala misses 3-pt shot from 27 ft,,98-104,,
0:00.0,Offensive rebound by Team,,98-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
