time,San Antonio,pts.away,score,pts.home,Brooklyn
0:02.0,,,88-88,,Brooklyn full timeout
0:02.0,,,88-88,,M. Teletovic enters the game for A. Anderson
0:01.0,,,88-88,,J. Johnson misses 2-pt shot from 18 ft
0:00.0,,,88-88,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: T. Duncan vs. B. Lopez (D. Williams gains possession),,,,Jump ball: T. Duncan vs. B. Lopez (D. Williams gains possession)
4:40.0,,,88-88,,M. Teletovic misses 3-pt shot from 24 ft
4:39.0,Defensive rebound by T. Duncan,,88-88,,
4:19.0,K. Leonard misses 2-pt shot from 20 ft,,88-88,,
4:17.0,,,88-88,,Defensive rebound by B. Lopez
4:02.0,,,88-91,3,D. Williams makes 3-pt shot from 25 ft (assist by M. Teletovic)
3:47.0,M. Ginobili misses 3-pt shot from 24 ft,,88-91,,
3:46.0,Offensive rebound by T. Duncan,,88-91,,
3:36.0,C. Joseph misses 2-pt shot from 7 ft,,88-91,,
3:35.0,,,88-91,,Defensive rebound by B. Lopez
3:24.0,,,88-91,,D. Williams misses 2-pt shot from 1 ft
3:23.0,,,88-91,,Offensive rebound by B. Bogdanovic
3:22.0,,,88-91,,B. Bogdanovic misses 2-pt shot from 1 ft
3:20.0,Defensive rebound by C. Joseph,,88-91,,
3:05.0,K. Leonard misses 2-pt shot from 1 ft,,88-91,,
3:04.0,Offensive rebound by K. Leonard,,88-91,,
3:03.0,Shooting foul by M. Teletovic (drawn by K. Leonard),,88-91,,
3:03.0,K. Leonard makes free throw 1 of 2,1,89-91,,
3:03.0,K. Leonard makes free throw 2 of 2,1,90-91,,
2:42.0,,,90-91,,Shooting foul by D. Green (drawn by M. Teletovic)
2:42.0,,,90-92,1,M. Teletovic makes free throw 1 of 2
2:42.0,,,90-93,1,M. Teletovic makes free throw 2 of 2
2:19.0,T. Duncan misses 2-pt shot from 6 ft,,90-93,,
2:18.0,Offensive rebound by T. Duncan,,90-93,,
2:15.0,T. Duncan misses 2-pt shot from 1 ft,,90-93,,
2:14.0,,,90-93,,Defensive rebound by Team
2:11.0,,,90-93,,Brooklyn full timeout
1:54.0,,,90-95,2,J. Johnson makes 2-pt shot from 5 ft
1:38.0,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili),3,93-95,,
1:14.0,,,93-95,,B. Lopez misses 2-pt shot from 16 ft
1:13.0,Defensive rebound by M. Ginobili,,93-95,,
1:06.0,M. Ginobili misses 3-pt shot from 25 ft,,93-95,,
1:05.0,,,93-95,,Defensive rebound by B. Lopez
0:49.0,,,93-95,,Brooklyn full timeout
0:42.0,,,93-95,,B. Bogdanovic misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by D. Green,,93-95,,
0:33.0,K. Leonard misses 2-pt shot from 8 ft,,93-95,,
0:29.0,,,93-95,,Defensive rebound by M. Teletovic
0:16.0,Personal foul by D. Green (drawn by M. Teletovic),,93-95,,
0:16.0,San Antonio full timeout,,93-95,,
0:09.0,,,93-95,,Turnover by B. Bogdanovic (lost ball)
0:09.0,,,93-95,,A. Anderson enters the game for M. Teletovic
0:05.0,M. Ginobili misses 3-pt shot from 24 ft,,93-95,,
0:00.0,Offensive rebound by C. Joseph,,93-95,,
0:00.0,,,93-95,,J. Jordan enters the game for B. Bogdanovic
0:00.0,Jump ball: C. Joseph vs. B. Lopez (D. Green gains possession),,,,Jump ball: C. Joseph vs. B. Lopez (D. Green gains possession)
0:00.0,End of 1st overtime,,,,End of 1st overtime
