time,Atlanta,pts.away,score,pts.home,Miami
2:39.0,P. Millsap misses 2-pt shot from 7 ft,,108-96,,
2:38.0,,,108-96,,Defensive rebound by C. Bosh
2:31.0,,,108-98,2,D. Wade makes 2-pt shot from 12 ft
2:10.0,P. Millsap misses 2-pt shot from 9 ft,,108-98,,
2:09.0,Offensive rebound by P. Millsap,,108-98,,
1:52.0,D. Schroder makes 2-pt shot from 1 ft,2,110-98,,
1:40.0,,,110-100,2,M. Chalmers makes 2-pt shot from 3 ft (assist by D. Wade)
1:18.0,P. Millsap misses 2-pt shot from 17 ft,,110-100,,
1:17.0,,,110-100,,Defensive rebound by D. Wade
1:05.0,,,110-100,,D. Wade misses 3-pt shot from 24 ft
1:04.0,Defensive rebound by J. Teague,,110-100,,
0:43.0,Shooting foul by S. Napier (drawn by J. Teague),,110-100,,
0:43.0,J. Teague makes free throw 1 of 2,1,111-100,,
0:43.0,P. Antic enters the game for A. Horford,,111-100,,
0:43.0,M. Scott enters the game for P. Millsap,,111-100,,
0:43.0,J. Teague makes free throw 2 of 2,1,112-100,,
0:32.0,T. Sefolosha enters the game for K. Korver,,112-100,,
0:28.0,,,112-102,2,D. Wade makes 2-pt shot from 2 ft
0:21.0,Turnover by P. Antic (lost ball; steal by D. Wade),,112-102,,
0:16.0,,,112-102,,Offensive charge foul by U. Haslem
0:16.0,,,112-102,,Turnover by U. Haslem (offensive foul)
0:00.0,End of 4th quarter,,,,End of 4th quarter
