time,Orlando,pts.away,score,pts.home,Minnesota
3:04.0,Offensive rebound by N. Vucevic,,91-80,,
3:04.0,Shooting foul by J. Hamilton (drawn by N. Vucevic),,91-80,,
3:04.0,N. Vucevic misses free throw 1 of 2,,91-80,,
3:04.0,Offensive rebound by Team,,91-80,,
3:04.0,,,91-80,,Minnesota full timeout
3:04.0,N. Vucevic misses free throw 2 of 2,,91-80,,
3:03.0,,,91-80,,Defensive rebound by A. Wiggins
2:47.0,,,91-80,,Shooting foul by A. Gordon (drawn by A. Wiggins)
2:47.0,,,91-81,1,A. Wiggins makes free throw 1 of 2
2:47.0,,,91-81,,A. Wiggins misses free throw 2 of 2
2:46.0,Defensive rebound by T. Harris,,91-81,,
2:25.0,T. Harris misses 3-pt shot from 22 ft,,91-81,,
2:22.0,Offensive rebound by N. Vucevic,,91-81,,
2:04.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton),2,93-81,,
1:47.0,,,93-81,,Turnover by J. Hamilton (bad pass; steal by A. Gordon)
1:29.0,N. Vucevic misses 2-pt shot from 17 ft,,93-81,,
1:27.0,Offensive rebound by A. Gordon,,93-81,,
1:26.0,A. Gordon makes 2-pt shot from 1 ft,2,95-81,,
1:19.0,,,95-81,,Turnover by J. Hamilton (offensive goaltending)
0:58.0,V. Oladipo misses 2-pt shot from 8 ft,,95-81,,
0:57.0,,,95-81,,Defensive rebound by Team
0:57.0,Loose ball foul by N. Vucevic (drawn by A. Wiggins),,95-81,,
0:57.0,,,95-82,1,A. Wiggins makes free throw 1 of 2
0:57.0,,,95-82,,A. Wiggins misses free throw 2 of 2
0:57.0,Defensive rebound by T. Harris,,95-82,,
0:40.0,Shooting foul by Z. LaVine (drawn by E. Payton),,95-82,,
0:40.0,E. Payton makes free throw 1 of 2,1,96-82,,
0:40.0,E. Payton makes free throw 2 of 2,1,97-82,,
0:31.0,,,97-82,,A. Wiggins misses 2-pt shot from 5 ft
0:30.0,Defensive rebound by N. Vucevic,,97-82,,
0:08.0,V. Oladipo misses 3-pt shot from 24 ft,,97-82,,
0:07.0,,,97-82,,Defensive rebound by J. Hamilton
0:01.0,,,97-84,2,Z. LaVine makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
