time,Orlando,pts.away,score,pts.home,New York
1:25.0,,,92-90,,C. Anthony misses free throw 2 of 2
1:24.0,Defensive rebound by T. Harris,,92-90,,
1:01.0,C. Frye makes 2-pt shot from 10 ft,2,94-90,,
0:44.0,,,94-90,,T. Hardaway misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by E. Fournier,,94-90,,
0:20.0,C. Frye misses 2-pt shot from 14 ft,,94-90,,
0:19.0,Offensive rebound by Team,,94-90,,
0:19.0,Turnover by Team (shot clock),,94-90,,
0:19.0,,,94-90,,New York full timeout
0:19.0,,,94-90,,A. Stoudemire enters the game for S. Dalembert
0:14.0,,,94-90,,A. Stoudemire misses 2-pt shot from 1 ft
0:13.0,,,94-90,,Offensive rebound by J. Smith
0:13.0,,,94-92,2,J. Smith makes 2-pt shot at rim
0:13.0,,,94-92,,Personal take foul by T. Hardaway (drawn by E. Fournier)
0:13.0,E. Fournier makes free throw 1 of 2,1,95-92,,
0:13.0,A. Gordon enters the game for C. Frye,,95-92,,
0:13.0,E. Fournier makes free throw 2 of 2,1,96-92,,
0:04.0,,,96-95,3,C. Anthony makes 3-pt shot from 24 ft
0:04.0,Orlando full timeout,,96-95,,
0:04.0,C. Frye enters the game for A. Gordon,,96-95,,
0:04.0,,,96-95,,Q. Acy enters the game for C. Anthony
0:04.0,,,96-95,,C. Early enters the game for T. Hardaway
0:04.0,,,96-95,,Personal take foul by Q. Acy (drawn by E. Fournier)
0:04.0,E. Fournier makes free throw 1 of 2,1,97-95,,
0:04.0,E. Fournier misses free throw 2 of 2,,97-95,,
0:04.0,,,97-95,,Defensive rebound by J. Smith
0:04.0,,,97-95,,New York full timeout
0:04.0,,,97-95,,T. Hardaway enters the game for Q. Acy
0:04.0,,,97-95,,C. Anthony enters the game for C. Early
0:04.0,A. Gordon enters the game for C. Frye,,97-95,,
0:04.0,E. Payton enters the game for L. Ridnour,,97-95,,
0:01.0,,,97-95,,J. Smith misses 3-pt shot from 26 ft
0:00.0,,,97-95,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
