time,Dallas,pts.away,score,pts.home,Milwaukee
5:08.0,,,90-96,,L. Sanders misses free throw 2 of 2
5:08.0,,,90-96,,Offensive rebound by K. Middleton
5:06.0,,,90-96,,K. Middleton misses 2-pt shot at rim (block by A. Aminu)
5:04.0,,,90-96,,Offensive rebound by K. Middleton
4:55.0,,,90-96,,J. Parker misses 2-pt shot from 4 ft
4:53.0,,,90-96,,Offensive rebound by L. Sanders
4:52.0,,,90-96,,L. Sanders misses 2-pt shot at rim (block by A. Aminu)
4:51.0,Defensive rebound by B. Wright,,90-96,,
4:45.0,A. Aminu misses 3-pt shot from 25 ft,,90-96,,
4:43.0,,,90-96,,Defensive rebound by K. Middleton
4:43.0,,,90-96,,Turnover by K. Middleton (lost ball; steal by M. Ellis)
4:43.0,Jump ball: M. Ellis vs. K. Middleton (B. Wright gains possession),,,,Jump ball: M. Ellis vs. K. Middleton (B. Wright gains possession)
4:37.0,C. Parsons misses 3-pt shot from 26 ft,,90-96,,
4:36.0,,,90-96,,Defensive rebound by J. Parker
4:23.0,,,90-98,2,L. Sanders makes 2-pt shot at rim (assist by K. Marshall)
4:20.0,Dallas full timeout,,90-98,,
4:20.0,T. Chandler enters the game for B. Wright,,90-98,,
4:07.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,92-98,,
4:07.0,Shooting foul by K. Middleton (drawn by T. Chandler),,92-98,,
4:07.0,T. Chandler misses free throw 1 of 1,,92-98,,
4:06.0,Offensive rebound by A. Aminu,,92-98,,
3:56.0,M. Ellis makes 2-pt shot from 18 ft,2,94-98,,
3:42.0,,,94-98,,Turnover by J. Bayless (bad pass)
3:31.0,C. Parsons misses 3-pt shot from 25 ft,,94-98,,
3:30.0,,,94-98,,Defensive rebound by J. Parker
3:19.0,,,94-98,,J. Bayless misses 2-pt shot from 15 ft
3:17.0,Defensive rebound by C. Parsons,,94-98,,
3:09.0,M. Ellis misses 3-pt shot from 26 ft,,94-98,,
3:08.0,Offensive rebound by T. Chandler,,94-98,,
2:57.0,J. Nelson misses 3-pt shot from 26 ft,,94-98,,
2:57.0,Offensive rebound by T. Chandler,,94-98,,
2:57.0,,,94-98,,Loose ball foul by L. Sanders (drawn by T. Chandler)
2:57.0,T. Chandler makes free throw 1 of 2,1,95-98,,
2:57.0,,,95-98,,Z. Pachulia enters the game for L. Sanders
2:57.0,,,95-98,,O. Mayo enters the game for J. Bayless
2:57.0,,,95-98,,B. Knight enters the game for K. Marshall
2:57.0,T. Chandler misses free throw 2 of 2,,95-98,,
2:55.0,,,95-98,,Defensive rebound by J. Parker
2:39.0,,,95-98,,Shooting foul by M. Ellis (drawn by O. Mayo)
2:39.0,,,95-99,1,O. Mayo makes free throw 1 of 2
2:39.0,,,95-99,,O. Mayo misses free throw 2 of 2
2:38.0,Defensive rebound by J. Nelson,,95-99,,
2:23.0,Turnover by J. Nelson (bad pass; steal by O. Mayo),,95-99,,
2:01.0,,,95-99,,J. Parker misses 2-pt shot from 16 ft
2:00.0,Defensive rebound by J. Nelson,,95-99,,
1:50.0,J. Nelson makes 3-pt shot from 27 ft (assist by M. Ellis),3,98-99,,
1:41.0,,,98-99,,Turnover by J. Parker (traveling)
1:34.0,M. Ellis makes 2-pt shot from 1 ft,2,100-99,,
1:34.0,,,100-99,,Milwaukee full timeout
1:34.0,,,100-99,,J. Dudley enters the game for J. Parker
1:22.0,,,100-99,,Turnover by O. Mayo (bad pass; steal by A. Aminu)
1:07.0,M. Ellis makes 2-pt shot from 8 ft,2,102-99,,
0:59.0,,,102-101,2,B. Knight makes 2-pt shot from 17 ft
0:43.0,A. Aminu misses 3-pt shot from 24 ft,,102-101,,
0:41.0,,,102-101,,Defensive rebound by O. Mayo
0:39.0,,,102-101,,Shooting foul by C. Parsons (drawn by B. Knight)
0:39.0,,,102-102,1,B. Knight makes free throw 1 of 2
0:39.0,,,102-103,1,B. Knight makes free throw 2 of 2
0:33.0,M. Ellis makes 2-pt shot from 17 ft,2,104-103,,
0:27.0,,,104-103,,B. Knight misses 2-pt shot from 1 ft (block by T. Chandler)
0:26.0,,,104-103,,Offensive rebound by Team
0:26.0,,,104-103,,Milwaukee full timeout
0:26.0,R. Jefferson enters the game for C. Parsons,,104-103,,
0:26.0,,,104-103,,Offensive foul by B. Knight
0:26.0,,,104-103,,Turnover by B. Knight (offensive foul)
0:19.0,,,104-103,,Personal take foul by K. Middleton (drawn by R. Jefferson)
0:19.0,R. Jefferson misses free throw 1 of 2,,104-103,,
0:19.0,Offensive rebound by Team,,104-103,,
0:19.0,R. Jefferson makes free throw 2 of 2,1,105-103,,
0:19.0,,,105-103,,Milwaukee full timeout
0:09.0,,,105-105,2,B. Knight makes 2-pt shot from 20 ft
0:09.0,Dallas full timeout,,105-105,,
0:09.0,C. Parsons enters the game for A. Aminu,,105-105,,
0:00.0,M. Ellis makes 2-pt shot from 18 ft,2,107-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
