time,Minnesota,pts.away,score,pts.home,Washington
2:50.0,G. Robinson enters the game for T. Young,,86-102,,
2:50.0,R. Hummel enters the game for G. Dieng,,86-102,,
2:50.0,J. Adrien enters the game for A. Wiggins,,86-102,,
2:50.0,,,86-103,1,B. Beal makes free throw 1 of 2
2:50.0,,,86-104,1,B. Beal makes free throw 2 of 2
2:40.0,S. Muhammad makes 2-pt shot from 2 ft,2,88-104,,
2:14.0,,,88-107,3,R. Butler makes 3-pt shot from 23 ft (assist by J. Wall)
2:08.0,,,88-107,,Personal foul by K. Humphries (drawn by Z. LaVine)
2:08.0,Z. LaVine makes free throw 1 of 2,1,89-107,,
2:08.0,,,89-107,,O. Porter enters the game for K. Humphries
2:08.0,,,89-107,,G. Temple enters the game for M. Gortat
2:08.0,,,89-107,,D. Blair enters the game for B. Beal
2:08.0,,,89-107,,K. Seraphin enters the game for J. Wall
2:08.0,Z. LaVine misses free throw 2 of 2,,89-107,,
2:07.0,,,89-107,,Defensive rebound by D. Blair
1:54.0,,,89-107,,O. Porter misses 2-pt shot at rim
1:53.0,Defensive rebound by J. Adrien,,89-107,,
1:41.0,R. Hummel misses 3-pt shot from 26 ft,,89-107,,
1:40.0,,,89-107,,Defensive rebound by R. Butler
1:32.0,,,89-109,2,K. Seraphin makes 2-pt shot from 4 ft
1:18.0,S. Muhammad makes 2-pt shot at rim (assist by J. Adrien),2,91-109,,
1:04.0,,,91-109,,G. Temple misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by J. Adrien,,91-109,,
0:52.0,J. Adrien makes 2-pt shot from 17 ft (assist by Z. LaVine),2,93-109,,
0:30.0,,,93-109,,O. Porter misses 2-pt shot from 18 ft
0:29.0,Defensive rebound by Team,,93-109,,
0:29.0,,,93-109,,Loose ball foul by K. Seraphin (drawn by R. Hummel)
0:29.0,,,93-109,,D. Gooden enters the game for K. Seraphin
0:29.0,R. Hummel makes free throw 1 of 2,1,94-109,,
0:29.0,R. Hummel makes free throw 2 of 2,1,95-109,,
0:15.0,,,95-109,,G. Temple misses 2-pt shot from 2 ft (block by J. Adrien)
0:13.0,,,95-109,,Offensive rebound by R. Butler
0:10.0,,,95-109,,R. Butler misses 2-pt shot from 7 ft
0:09.0,Defensive rebound by J. Adrien,,95-109,,
0:04.0,S. Muhammad misses 2-pt shot from 18 ft,,95-109,,
0:03.0,,,95-109,,Defensive rebound by D. Gooden
0:00.0,End of 4th quarter,,,,End of 4th quarter
