time,Chicago,pts.away,score,pts.home,Miami
0:30.0,K. Hinrich enters the game for A. Brooks,,85-76,,
0:24.0,,,85-76,,L. Deng misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by T. Gibson,,85-76,,
0:23.0,,,85-76,,Personal foul by G. Dragic (drawn by T. Gibson)
0:23.0,T. Gibson makes free throw 1 of 2,1,86-76,,
0:23.0,T. Gibson makes free throw 2 of 2,1,87-76,,
0:14.0,,,87-78,2,H. Whiteside makes 2-pt shot from 8 ft
0:10.0,,,87-78,,Personal foul by H. Whiteside (drawn by T. Snell)
0:10.0,T. Snell makes free throw 1 of 2,1,88-78,,
0:10.0,T. Snell makes free throw 2 of 2,1,89-78,,
0:05.0,,,89-78,,G. Dragic misses 2-pt shot from 1 ft
0:03.0,Defensive rebound by J. Noah,,89-78,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
