time,Phoenix,pts.away,score,pts.home,Milwaukee
4:25.0,,,89-84,,Personal foul by J. Henson (drawn by G. Green)
4:25.0,G. Green makes free throw 1 of 2,1,90-84,,
4:25.0,G. Green makes free throw 2 of 2,1,91-84,,
4:07.0,,,91-86,2,G. Antetokounmpo makes 2-pt shot from 4 ft
3:47.0,M. Morris misses 2-pt shot from 16 ft,,91-86,,
3:45.0,,,91-86,,Defensive rebound by J. Bayless
3:30.0,,,91-86,,B. Knight misses 3-pt shot from 22 ft
3:28.0,,,91-86,,Offensive rebound by J. Bayless
3:27.0,,,91-88,2,J. Bayless makes 2-pt shot at rim
3:07.0,G. Green makes 2-pt shot from 18 ft,2,93-88,,
2:40.0,,,93-88,,Shooting foul by M. Morris (drawn by J. Henson)
2:40.0,Phoenix full timeout,,93-88,,
2:40.0,P. Tucker enters the game for G. Green,,93-88,,
2:40.0,,,93-88,,J. Henson misses free throw 1 of 2
2:40.0,,,93-88,,Offensive rebound by Team
2:40.0,,,93-89,1,J. Henson makes free throw 2 of 2
2:27.0,Shooting foul by G. Antetokounmpo (drawn by M. Morris),,93-89,,
2:27.0,M. Morris misses free throw 1 of 2,,93-89,,
2:27.0,Offensive rebound by Team,,93-89,,
2:27.0,M. Morris makes free throw 2 of 2,1,94-89,,
2:00.0,,,94-89,,J. Bayless misses 2-pt shot from 4 ft
1:59.0,,,94-89,,Offensive rebound by Team
1:49.0,,,94-92,3,K. Middleton makes 3-pt shot from 23 ft (assist by J. Henson)
1:28.0,G. Dragic makes 2-pt shot from 6 ft,2,96-92,,
1:03.0,,,96-92,,Turnover by K. Middleton (bad pass; steal by P. Tucker)
0:50.0,Phoenix full timeout,,96-92,,
0:44.0,M. Morris makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,99-92,,
0:36.0,,,99-92,,B. Knight misses 2-pt shot from 16 ft
0:34.0,Defensive rebound by I. Thomas,,99-92,,
0:32.0,Phoenix full timeout,,99-92,,
0:31.0,,,99-92,,Personal foul by J. Bayless (drawn by I. Thomas)
0:31.0,I. Thomas misses free throw 1 of 2,,99-92,,
0:31.0,Offensive rebound by Team,,99-92,,
0:31.0,I. Thomas makes free throw 2 of 2,1,100-92,,
0:31.0,,,100-92,,Milwaukee full timeout
0:25.0,,,100-94,2,G. Antetokounmpo makes 2-pt shot at rim
0:23.0,,,100-94,,Personal take foul by G. Antetokounmpo (drawn by M. Morris)
0:23.0,M. Morris makes free throw 1 of 2,1,101-94,,
0:23.0,M. Morris makes free throw 2 of 2,1,102-94,,
0:15.0,,,102-94,,G. Antetokounmpo misses 2-pt shot from 6 ft
0:14.0,,,102-94,,Offensive rebound by J. Henson
0:12.0,,,102-96,2,B. Knight makes 2-pt shot at rim (assist by J. Henson)
0:00.0,End of 4th quarter,,,,End of 4th quarter
