time,Portland,pts.away,score,pts.home,San Antonio
3:35.0,W. Barton makes 2-pt shot at rim,2,91-110,,
3:17.0,,,91-110,,P. Mills misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by T. Robinson,,91-110,,
3:01.0,V. Claver misses 3-pt shot from 24 ft,,91-110,,
3:00.0,,,91-110,,Defensive rebound by P. Mills
2:37.0,,,91-110,,Turnover by A. Baynes (lost ball; steal by T. Robinson)
2:31.0,T. Robinson misses 2-pt shot from 10 ft,,91-110,,
2:30.0,,,91-110,,Defensive rebound by B. Diaw
2:26.0,,,91-110,,San Antonio full timeout
2:26.0,,,91-110,,K. Anderson enters the game for D. Green
2:26.0,,,91-110,,M. Bonner enters the game for B. Diaw
2:14.0,,,91-110,,P. Mills misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by A. Crabbe,,91-110,,
1:49.0,C. McCollum makes 2-pt shot from 7 ft,2,93-110,,
1:24.0,,,93-110,,M. Bonner misses 3-pt shot from 23 ft
1:23.0,,,93-110,,Offensive rebound by A. Baynes
1:20.0,,,93-110,,M. Bonner misses 3-pt shot from 25 ft
1:19.0,,,93-110,,Offensive rebound by P. Mills
1:02.0,,,93-110,,C. Joseph misses 2-pt shot at rim
1:00.0,,,93-110,,Offensive rebound by K. Anderson
0:59.0,,,93-110,,K. Anderson misses 2-pt shot from 3 ft
0:57.0,Defensive rebound by V. Claver,,93-110,,
0:45.0,A. Crabbe makes 3-pt shot from 23 ft (assist by W. Barton),3,96-110,,
0:19.0,,,96-110,,C. Joseph misses 2-pt shot from 17 ft
0:18.0,Defensive rebound by C. McCollum,,96-110,,
0:13.0,C. McCollum misses 2-pt shot from 18 ft,,96-110,,
0:12.0,,,96-110,,Defensive rebound by K. Anderson
0:00.0,End of 4th quarter,,,,End of 4th quarter
