time,Portland,pts.away,score,pts.home,Sacramento
2:16.0,,,83-94,2,C. Landry makes 2-pt shot from 1 ft
2:03.0,D. Lillard makes 3-pt shot from 24 ft,3,86-94,,
1:46.0,,,86-94,,Shooting foul by N. Batum (drawn by D. Collison)
1:46.0,,,86-94,,D. Collison misses free throw 1 of 2
1:46.0,,,86-94,,Offensive rebound by Team
1:46.0,S. Blake enters the game for R. Lopez,,86-94,,
1:46.0,,,86-95,1,D. Collison makes free throw 2 of 2
1:35.0,W. Matthews misses 3-pt shot from 24 ft,,86-95,,
1:35.0,,,86-95,,Defensive rebound by R. Gay
1:16.0,,,86-95,,D. Collison misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by Team,,86-95,,
1:16.0,,,86-95,,O. Casspi enters the game for C. Landry
1:16.0,Portland full timeout,,86-95,,
1:16.0,,,86-95,,R. Hollins enters the game for D. Cousins
1:16.0,,,86-95,,Away from play foul by D. Collison (drawn by D. Lillard)
1:16.0,D. Lillard makes free throw 1 of 1,1,87-95,,
1:11.0,D. Lillard misses 3-pt shot from 24 ft,,87-95,,
1:11.0,Offensive rebound by W. Matthews,,87-95,,
1:11.0,W. Matthews makes 2-pt shot at rim,2,89-95,,
1:11.0,,,89-95,,Sacramento full timeout
1:11.0,,,89-95,,D. Cousins enters the game for R. Hollins
0:49.0,,,89-95,,D. Collison misses 2-pt shot from 16 ft
0:48.0,,,89-95,,Offensive rebound by Team
0:47.0,Personal take foul by S. Blake (drawn by R. Gay),,89-95,,
0:47.0,,,89-96,1,R. Gay makes free throw 1 of 2
0:47.0,,,89-96,,R. Hollins enters the game for D. Cousins
0:47.0,,,89-97,1,R. Gay makes free throw 2 of 2
0:42.0,,,89-97,,Personal foul by R. Gay (drawn by D. Lillard)
0:42.0,D. Lillard makes free throw 1 of 2,1,90-97,,
0:42.0,,,90-97,,D. Cousins enters the game for O. Casspi
0:42.0,D. Lillard makes free throw 2 of 2,1,91-97,,
0:42.0,,,91-97,,Sacramento full timeout
0:42.0,,,91-97,,O. Casspi enters the game for R. Hollins
0:39.0,Personal foul by L. Aldridge (drawn by R. Gay),,91-97,,
0:39.0,,,91-98,1,R. Gay makes free throw 1 of 2
0:39.0,,,91-98,,R. Hollins enters the game for D. Cousins
0:39.0,,,91-99,1,R. Gay makes free throw 2 of 2
0:33.0,L. Aldridge misses 3-pt shot from 23 ft,,91-99,,
0:31.0,,,91-99,,Defensive rebound by D. Collison
0:31.0,Personal take foul by D. Lillard (drawn by D. Collison),,91-99,,
0:31.0,,,91-100,1,D. Collison makes free throw 1 of 2
0:31.0,,,91-101,1,D. Collison makes free throw 2 of 2
0:22.0,D. Lillard misses 3-pt shot from 27 ft,,91-101,,
0:22.0,,,91-101,,Defensive rebound by Team
0:13.0,Personal take foul by D. Lillard (drawn by R. Hollins),,91-101,,
0:13.0,,,91-102,1,R. Hollins makes free throw 1 of 2
0:13.0,,,91-103,1,R. Hollins makes free throw 2 of 2
0:07.0,L. Aldridge makes 3-pt shot from 24 ft (assist by S. Blake),3,94-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
