time,San Antonio,pts.away,score,pts.home,Cleveland
0:10.0,,,91-88,,Shooting foul by T. Duncan (drawn by K. Irving)
0:10.0,,,91-89,1,K. Irving makes free throw 1 of 2
0:10.0,,,91-90,1,K. Irving makes free throw 2 of 2
0:10.0,San Antonio full timeout,,91-90,,
0:10.0,,,91-90,,S. Marion enters the game for K. Irving
0:10.0,San Antonio full timeout,,91-90,,
0:09.0,,,91-90,,Personal foul by K. Love (drawn by M. Ginobili)
0:09.0,M. Ginobili makes free throw 1 of 2,1,92-90,,
0:09.0,,,92-90,,K. Irving enters the game for S. Marion
0:09.0,C. Joseph enters the game for B. Diaw,,92-90,,
0:09.0,M. Ginobili misses free throw 2 of 2,,92-90,,
0:08.0,,,92-90,,Defensive rebound by A. Varejao
0:02.0,,,92-90,,Turnover by L. James (lost ball; steal by T. Duncan)
0:00.0,End of 4th quarter,,,,End of 4th quarter
