time,Minnesota,pts.away,score,pts.home,Miami
2:09.0,K. Martin misses 3-pt shot from 25 ft,,90-96,,
2:08.0,,,90-96,,Defensive rebound by S. Williams
1:55.0,,,90-98,2,D. Wade makes 2-pt shot at rim
1:55.0,Minnesota full timeout,,90-98,,
1:38.0,T. Young makes 2-pt shot from 8 ft,2,92-98,,
1:20.0,,,92-100,2,D. Wade makes 2-pt shot from 1 ft
1:06.0,N. Pekovic misses 2-pt shot from 2 ft,,92-100,,
1:05.0,,,92-100,,Defensive rebound by C. Bosh
0:48.0,,,92-100,,D. Wade misses 2-pt shot from 18 ft
0:47.0,Defensive rebound by N. Pekovic,,92-100,,
0:37.0,Turnover by M. Williams (bad pass; steal by D. Wade),,92-100,,
0:16.0,,,92-100,,Shooting foul by N. Pekovic (drawn by C. Bosh)
0:16.0,,,92-101,1,C. Bosh makes free throw 1 of 2
0:16.0,,,92-102,1,C. Bosh makes free throw 2 of 2
0:09.0,K. Martin misses 3-pt shot from 24 ft,,92-102,,
0:08.0,,,92-102,,Defensive rebound by C. Bosh
0:00.0,End of 4th quarter,,,,End of 4th quarter
