time,Orlando,pts.away,score,pts.home,Brooklyn
1:05.0,A. Gordon enters the game for N. Vucevic,,93-102,,
1:05.0,M. Harkless enters the game for C. Frye,,93-102,,
1:05.0,E. Fournier makes free throw 2 of 2,1,94-102,,
0:52.0,,,94-104,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by K. Garnett)
0:52.0,Orlando full timeout,,94-104,,
0:52.0,C. Frye enters the game for M. Harkless,,94-104,,
0:52.0,N. Vucevic enters the game for A. Gordon,,94-104,,
0:45.0,T. Harris misses 2-pt shot from 4 ft,,94-104,,
0:44.0,,,94-104,,Defensive rebound by K. Garnett
0:24.0,,,94-104,,Turnover by D. Williams (lost ball; steal by E. Payton)
0:18.0,E. Fournier makes 2-pt shot from 2 ft,2,96-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
