time,LA Lakers,pts.away,score,pts.home,Orlando
4:17.0,J. Clarkson enters the game for J. Lin,,87-86,,
4:17.0,,,87-86,,Technical foul by N. Vucevic (drawn by J. Lin)
4:17.0,W. Ellington misses technical free throw,,87-86,,
4:17.0,Offensive rebound by Team,,87-86,,
4:06.0,J. Clarkson misses 3-pt shot from 24 ft,,87-86,,
4:04.0,,,87-86,,Defensive rebound by V. Oladipo
3:48.0,,,87-88,2,T. Harris makes 2-pt shot from 8 ft
3:18.0,J. Clarkson misses 2-pt shot from 20 ft,,87-88,,
3:17.0,Offensive rebound by W. Johnson,,87-88,,
3:15.0,W. Johnson makes 2-pt shot from 7 ft,2,89-88,,
3:00.0,,,89-88,,V. Oladipo misses 2-pt shot from 2 ft (block by W. Johnson)
3:00.0,,,89-88,,Offensive rebound by N. Vucevic
3:00.0,,,89-88,,Shooting foul by R. Kelly (drawn by N. Vucevic)
3:00.0,,,89-89,1,N. Vucevic makes free throw 1 of 2
3:00.0,,,89-89,,N. Vucevic misses free throw 2 of 2
2:58.0,Defensive rebound by R. Kelly,,89-89,,
2:46.0,Official timeout,,89-89,,
2:44.0,R. Kelly misses 2-pt shot from 12 ft (block by N. Vucevic),,89-89,,
2:42.0,,,89-89,,Defensive rebound by W. Green
2:39.0,,,89-89,,W. Green misses 2-pt shot from 1 ft
2:36.0,,,89-89,,Offensive rebound by V. Oladipo
2:36.0,,,89-89,,V. Oladipo misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by Team,,89-89,,
2:20.0,Shooting foul by W. Green (drawn by R. Kelly),,89-89,,
2:20.0,R. Kelly makes free throw 1 of 2,1,90-89,,
2:20.0,R. Kelly makes free throw 2 of 2,1,91-89,,
1:59.0,,,91-91,2,N. Vucevic makes 2-pt shot from 7 ft
1:37.0,R. Sacre misses 2-pt shot from 16 ft,,91-91,,
1:35.0,,,91-91,,Defensive rebound by V. Oladipo
1:21.0,,,91-91,,V. Oladipo misses 2-pt shot from 15 ft
1:18.0,Defensive rebound by R. Sacre,,91-91,,
1:01.0,W. Johnson misses 3-pt shot from 28 ft,,91-91,,
1:00.0,,,91-91,,Defensive rebound by T. Harris
0:38.0,,,91-91,,N. Vucevic misses 2-pt shot from 16 ft
0:36.0,Defensive rebound by R. Kelly,,91-91,,
0:14.0,J. Clarkson misses 3-pt shot from 27 ft,,91-91,,
0:12.0,Offensive rebound by W. Johnson,,91-91,,
0:00.0,W. Ellington misses 3-pt shot from 26 ft (block by V. Oladipo),,91-91,,
0:00.0,Offensive rebound by Team,,91-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: R. Sacre vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: R. Sacre vs. N. Vucevic (E. Payton gains possession)
4:41.0,,,91-93,2,T. Harris makes 2-pt shot from 11 ft
4:14.0,R. Sacre misses 2-pt shot from 14 ft,,91-93,,
4:14.0,Offensive rebound by Team,,91-93,,
4:14.0,Turnover by Team (shot clock),,91-93,,
3:49.0,,,91-93,,T. Harris misses 3-pt shot from 27 ft
3:47.0,Defensive rebound by W. Ellington,,91-93,,
3:33.0,J. Clarkson misses 2-pt shot from 6 ft,,91-93,,
3:30.0,,,91-93,,Defensive rebound by W. Green
3:14.0,,,91-93,,V. Oladipo misses 2-pt shot at rim
3:12.0,,,91-93,,Offensive rebound by N. Vucevic
3:12.0,,,91-93,,N. Vucevic misses 2-pt shot from 1 ft
3:09.0,Defensive rebound by W. Johnson,,91-93,,
2:59.0,W. Johnson makes 3-pt shot from 25 ft (assist by J. Clarkson),3,94-93,,
2:43.0,,,94-95,2,E. Payton makes 2-pt shot from 1 ft
2:19.0,J. Clarkson misses 2-pt shot from 8 ft (block by T. Harris),,94-95,,
2:17.0,,,94-95,,Defensive rebound by N. Vucevic
