time,Houston,pts.away,score,pts.home,Philadelphia
4:47.0,Defensive rebound by T. Ariza,,93-84,,
4:35.0,,,93-84,,L. Mbah a Moute enters the game for B. Davies
4:35.0,,,93-84,,N. Noel enters the game for J. Sampson
4:35.0,D. Howard enters the game for T. Jones,,93-84,,
4:25.0,J. Harden misses 2-pt shot from 16 ft,,93-84,,
4:24.0,,,93-84,,Defensive rebound by H. Thompson
4:13.0,,,93-86,2,T. Wroten makes 2-pt shot from 3 ft
3:54.0,I. Canaan makes 3-pt shot from 26 ft (assist by D. Motiejunas),3,96-86,,
3:53.0,,,96-86,,Philadelphia full timeout
3:29.0,,,96-86,,T. Wroten misses 2-pt shot at rim
3:27.0,Defensive rebound by D. Howard,,96-86,,
3:20.0,T. Ariza makes 3-pt shot from 23 ft (assist by I. Canaan),3,99-86,,
3:06.0,,,99-86,,L. Mbah a Moute misses 2-pt shot from 19 ft
3:04.0,Defensive rebound by D. Howard,,99-86,,
2:42.0,T. Ariza misses 3-pt shot from 24 ft,,99-86,,
2:40.0,,,99-86,,Defensive rebound by N. Noel
2:36.0,,,99-86,,Turnover by T. Wroten (bad pass; steal by I. Canaan)
2:13.0,J. Harden makes 3-pt shot from 27 ft,3,102-86,,
2:11.0,,,102-86,,Philadelphia full timeout
2:11.0,T. Daniels enters the game for J. Harden,,102-86,,
1:58.0,,,102-89,3,K. McDaniels makes 3-pt shot from 24 ft (assist by T. Wroten)
1:43.0,,,102-89,,J. Sampson enters the game for L. Mbah a Moute
1:36.0,T. Daniels misses 3-pt shot from 27 ft,,102-89,,
1:35.0,,,102-89,,Defensive rebound by Team
1:26.0,,,102-89,,Shooting foul by D. Howard (drawn by T. Wroten)
1:26.0,,,102-89,,T. Wroten misses free throw 1 of 2
1:26.0,,,102-89,,Offensive rebound by Team
1:26.0,K. Papanikolaou enters the game for T. Ariza,,102-89,,
1:26.0,J. Dorsey enters the game for D. Howard,,102-89,,
1:26.0,,,102-89,,M. Thomas enters the game for N. Noel
1:26.0,,,102-90,1,T. Wroten makes free throw 2 of 2
1:13.0,,,102-90,,Personal foul by K. McDaniels (drawn by D. Motiejunas)
1:13.0,D. Motiejunas misses free throw 1 of 2,,102-90,,
1:13.0,Offensive rebound by Team,,102-90,,
1:13.0,D. Motiejunas makes free throw 2 of 2,1,103-90,,
1:13.0,,,103-90,,Philadelphia full timeout
1:03.0,,,103-90,,J. Sampson misses 2-pt shot from 7 ft
1:01.0,Defensive rebound by Team,,103-90,,
0:39.0,Turnover by J. Dorsey (lost ball; steal by T. Wroten),,103-90,,
0:32.0,,,103-93,3,T. Wroten makes 3-pt shot from 25 ft (assist by H. Thompson)
0:10.0,,,103-93,,Personal foul by J. Sampson (drawn by T. Daniels)
0:10.0,T. Daniels misses free throw 1 of 2,,103-93,,
0:10.0,Offensive rebound by Team,,103-93,,
0:10.0,T. Daniels makes free throw 2 of 2,1,104-93,,
0:03.0,,,104-93,,Turnover by J. Sampson (lost ball; steal by K. Papanikolaou)
0:00.0,End of 4th quarter,,,,End of 4th quarter
