time,LA Clippers,pts.away,score,pts.home,Minnesota
3:44.0,,,102-97,1,G. Dieng makes free throw 2 of 2
3:23.0,LA Clippers full timeout,,102-97,,
3:23.0,,,102-97,,Technical foul by K. Garnett
3:23.0,Technical foul by A. Rivers,,102-97,,
3:14.0,S. Hawes misses 3-pt shot from 22 ft,,102-97,,
3:12.0,,,102-97,,Defensive rebound by G. Neal
2:59.0,,,102-97,,Shooting foul by S. Hawes (drawn by A. Wiggins)
2:59.0,,,102-98,1,A. Wiggins makes free throw 1 of 2
2:59.0,,,102-99,1,A. Wiggins makes free throw 2 of 2
2:47.0,,,102-99,,Personal foul by G. Neal (drawn by J. Redick)
2:38.0,C. Paul misses 3-pt shot from 24 ft,,102-99,,
2:38.0,Offensive rebound by Team,,102-99,,
2:38.0,,,102-99,,Loose ball foul by G. Dieng (drawn by D. Jordan)
2:35.0,D. Jordan misses 3-pt shot from 25 ft,,102-99,,
2:33.0,,,102-99,,Defensive rebound by G. Neal
2:16.0,,,102-99,,G. Dieng misses 2-pt shot from 1 ft
2:15.0,Defensive rebound by D. Jordan,,102-99,,
2:13.0,,,102-99,,Personal take foul by R. Rubio (drawn by D. Jordan)
2:13.0,D. Jordan misses free throw 1 of 2,,102-99,,
2:13.0,Offensive rebound by Team,,102-99,,
2:13.0,D. Jordan misses free throw 2 of 2,,102-99,,
2:12.0,,,102-99,,Defensive rebound by G. Dieng
1:58.0,,,102-99,,A. Wiggins misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by D. Jordan,,102-99,,
1:54.0,Turnover by D. Jordan (bad pass; steal by K. Garnett),,102-99,,
1:43.0,Personal foul by C. Paul (drawn by A. Wiggins),,102-99,,
1:43.0,,,102-100,1,A. Wiggins makes free throw 1 of 2
1:43.0,,,102-101,1,A. Wiggins makes free throw 2 of 2
1:32.0,S. Hawes makes 3-pt shot from 23 ft (assist by C. Paul),3,105-101,,
1:18.0,,,105-101,,A. Wiggins misses 2-pt shot from 11 ft (block by S. Hawes)
1:15.0,Defensive rebound by D. Jordan,,105-101,,
1:06.0,Shooting foul by K. Garnett (drawn by D. Jordan),,105-101,,
1:06.0,,,105-101,,Technical foul by Team
1:06.0,Technical foul by J. Redick,,105-101,,
1:06.0,Technical foul by J. Redick,,105-101,,
1:06.0,,,105-101,,R. Rubio misses technical free throw
1:06.0,Offensive rebound by Team,,105-101,,
1:06.0,D. Jordan makes free throw 1 of 2,1,106-101,,
1:06.0,J. Hamilton enters the game for J. Redick,,106-101,,
1:06.0,D. Jordan misses free throw 2 of 2,,106-101,,
1:05.0,,,106-101,,Defensive rebound by G. Dieng
1:04.0,,,106-101,,Minnesota full timeout
1:04.0,D. Jones enters the game for J. Hamilton,,106-101,,
1:00.0,Personal foul by D. Jones (drawn by G. Neal),,106-101,,
1:00.0,,,106-102,1,G. Neal makes free throw 1 of 2
1:00.0,J. Hamilton enters the game for D. Jones,,106-102,,
1:00.0,,,106-103,1,G. Neal makes free throw 2 of 2
1:00.0,LA Clippers full timeout,,106-103,,
0:38.0,C. Paul makes 2-pt shot from 19 ft,2,108-103,,
0:33.0,Personal foul by J. Hamilton (drawn by G. Neal),,108-103,,
0:33.0,,,108-104,1,G. Neal makes free throw 1 of 2
0:33.0,,,108-104,,A. Payne enters the game for G. Dieng
0:33.0,,,108-105,1,G. Neal makes free throw 2 of 2
0:33.0,LA Clippers full timeout,,108-105,,
0:33.0,H. Turkoglu enters the game for J. Hamilton,,108-105,,
0:17.0,C. Paul misses 2-pt shot from 7 ft,,108-105,,
0:15.0,,,108-105,,Defensive rebound by R. Rubio
0:15.0,,,108-105,,Minnesota full timeout
0:15.0,,,108-105,,Z. LaVine enters the game for A. Payne
0:15.0,D. Jones enters the game for S. Hawes,,108-105,,
0:15.0,J. Hamilton enters the game for H. Turkoglu,,108-105,,
0:11.0,,,108-105,,G. Neal misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by D. Jones,,108-105,,
0:09.0,,,108-105,,Personal take foul by A. Wiggins (drawn by D. Jones)
0:09.0,D. Jones makes free throw 1 of 2,1,109-105,,
0:09.0,D. Jones makes free throw 2 of 2,1,110-105,,
0:03.0,,,110-105,,G. Neal misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by J. Hamilton,,110-105,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
