time,Boston,pts.away,score,pts.home,Utah
0:24.0,,,95-88,,T. Burke misses 3-pt shot from 24 ft
0:22.0,,,95-88,,Offensive rebound by G. Hayward
0:21.0,,,95-88,,Shooting foul by B. Bass (drawn by G. Hayward)
0:21.0,,,95-89,1,G. Hayward makes free throw 1 of 2
0:21.0,,,95-89,,E. Millsap enters the game for E. Kanter
0:21.0,M. Smart enters the game for A. Bradley,,95-89,,
0:21.0,J. Sullinger enters the game for B. Bass,,95-89,,
0:21.0,,,95-90,1,G. Hayward makes free throw 2 of 2
0:20.0,,,95-90,,Personal foul by J. Ingles (drawn by E. Turner)
0:20.0,,,95-90,,E. Kanter enters the game for J. Ingles
0:20.0,E. Turner makes free throw 1 of 2,1,96-90,,
0:20.0,B. Bass enters the game for J. Sullinger,,96-90,,
0:20.0,A. Bradley enters the game for M. Smart,,96-90,,
0:20.0,,,96-90,,D. Exum enters the game for E. Millsap
0:20.0,E. Turner makes free throw 2 of 2,1,97-90,,
0:13.0,,,97-90,,D. Favors misses 2-pt shot from 12 ft
0:12.0,Defensive rebound by B. Bass,,97-90,,
0:12.0,,,97-90,,Personal foul by E. Kanter (drawn by B. Bass)
0:12.0,,,97-90,,E. Millsap enters the game for E. Kanter
0:12.0,B. Bass makes free throw 1 of 2,1,98-90,,
0:12.0,M. Smart enters the game for T. Zeller,,98-90,,
0:12.0,B. Bass makes free throw 2 of 2,1,99-90,,
0:07.0,,,99-90,,E. Millsap misses 2-pt shot from 2 ft (block by B. Bass)
0:06.0,,,99-90,,Offensive rebound by Team
0:01.0,,,99-90,,D. Favors misses 3-pt shot from 24 ft
0:00.0,,,99-90,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
