time,Utah,pts.away,score,pts.home,Milwaukee
2:56.0,,,99-92,,J. Dudley misses free throw 2 of 2
2:55.0,Defensive rebound by T. Booker,,99-92,,
2:36.0,,,99-92,,Personal foul by K. Middleton (drawn by G. Hayward)
2:36.0,G. Hayward makes free throw 1 of 2,1,100-92,,
2:36.0,G. Hayward makes free throw 2 of 2,1,101-92,,
2:21.0,,,101-94,2,Z. Pachulia makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:03.0,E. Kanter misses 3-pt shot from 22 ft,,101-94,,
2:02.0,,,101-94,,Defensive rebound by G. Antetokounmpo
1:58.0,,,101-96,2,G. Antetokounmpo makes 2-pt shot at rim
1:40.0,Turnover by G. Hayward (bad pass),,101-96,,
1:40.0,R. Gobert enters the game for E. Kanter,,101-96,,
1:29.0,,,101-99,3,J. Dudley makes 3-pt shot from 23 ft (assist by B. Knight)
1:29.0,Utah full timeout,,101-99,,
1:22.0,Turnover by G. Hayward (step out of bounds),,101-99,,
1:08.0,,,101-99,,G. Antetokounmpo misses 3-pt shot from 22 ft
1:07.0,Defensive rebound by G. Hayward,,101-99,,
0:51.0,T. Booker misses 3-pt shot from 27 ft,,101-99,,
0:50.0,,,101-99,,Defensive rebound by J. Dudley
0:44.0,,,101-99,,B. Knight misses 2-pt shot at rim
0:42.0,Defensive rebound by R. Gobert,,101-99,,
0:20.0,D. Exum misses 3-pt shot from 24 ft,,101-99,,
0:18.0,,,101-99,,Defensive rebound by B. Knight
0:08.0,,,101-99,,J. Dudley misses 3-pt shot from 25 ft
0:07.0,,,101-99,,Offensive rebound by Team
0:07.0,,,101-99,,O. Mayo enters the game for J. Dudley
0:03.0,,,101-99,,B. Knight misses 2-pt shot from 19 ft
0:01.0,,,101-99,,Offensive rebound by Z. Pachulia
0:01.0,,,101-99,,Z. Pachulia misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by J. Ingles,,101-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
