time,Phoenix,pts.away,score,pts.home,San Antonio
2:41.0,E. Barron misses 2-pt shot from 14 ft,,84-105,,
2:40.0,,,84-105,,Defensive rebound by J. Ayres
2:27.0,,,84-105,,Turnover by J. Ayres (lost ball; steal by P. Tucker)
2:20.0,Shooting foul by R. Williams (drawn by E. Bledsoe),,84-105,,
2:20.0,E. Bledsoe makes free throw 1 of 2,1,85-105,,
2:20.0,E. Bledsoe makes free throw 2 of 2,1,86-105,,
2:02.0,,,86-105,,R. Williams misses 2-pt shot from 18 ft
2:02.0,Defensive rebound by E. Barron,,86-105,,
1:52.0,A. Goodwin makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,88-105,,
1:52.0,Shooting foul by C. Joseph (drawn by A. Goodwin),,88-105,,
1:52.0,M. Morris enters the game for E. Bledsoe,,88-105,,
1:52.0,A. Goodwin misses free throw 1 of 1,,88-105,,
1:51.0,,,88-105,,Defensive rebound by K. Anderson
1:30.0,,,88-105,,Turnover by C. Joseph (bad pass; steal by E. Barron)
1:27.0,A. Goodwin misses 2-pt shot at rim,,88-105,,
1:26.0,,,88-105,,Defensive rebound by C. Joseph
1:26.0,Loose ball foul by T. Warren (drawn by C. Joseph),,88-105,,
1:26.0,E. Bledsoe enters the game for T. Warren,,88-105,,
1:26.0,,,88-106,1,C. Joseph makes free throw 1 of 2
1:26.0,,,88-107,1,C. Joseph makes free throw 2 of 2
1:07.0,M. Morris misses 2-pt shot from 2 ft,,88-107,,
1:06.0,Offensive rebound by E. Barron,,88-107,,
1:06.0,E. Barron misses 2-pt shot at rim,,88-107,,
1:05.0,,,88-107,,Defensive rebound by K. Anderson
0:55.0,,,88-107,,R. Williams misses 2-pt shot from 1 ft
0:54.0,Defensive rebound by M. Morris,,88-107,,
0:41.0,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,91-107,,
0:27.0,,,91-107,,C. Joseph misses 3-pt shot from 23 ft
0:24.0,Defensive rebound by A. Goodwin,,91-107,,
0:19.0,Turnover by A. Goodwin (lost ball; steal by K. Anderson),,91-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
