time,Utah,pts.away,score,pts.home,Philadelphia
6:02.0,,,75-63,,R. Covington enters the game for J. Sampson
6:02.0,,,75-63,,I. Canaan enters the game for I. Smith
5:44.0,,,75-66,3,I. Canaan makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
5:17.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,77-66,,
5:07.0,,,77-66,,Shooting foul by D. Favors (drawn by R. Covington)
5:07.0,,,77-66,,R. Covington misses free throw 1 of 2
5:07.0,,,77-66,,Offensive rebound by Team
5:07.0,R. Hood enters the game for E. Millsap,,77-66,,
5:07.0,T. Booker enters the game for D. Favors,,77-66,,
5:07.0,,,77-67,1,R. Covington makes free throw 2 of 2
4:59.0,Offensive foul by T. Booker,,77-67,,
4:59.0,Turnover by T. Booker (offensive foul),,77-67,,
4:43.0,,,77-67,,R. Covington misses 2-pt shot from 6 ft
4:43.0,Defensive rebound by Team,,77-67,,
4:43.0,,,77-67,,Loose ball foul by N. Noel (drawn by G. Hayward)
4:43.0,G. Hayward makes free throw 1 of 2,1,78-67,,
4:43.0,G. Hayward makes free throw 2 of 2,1,79-67,,
4:35.0,,,79-67,,J. Richardson misses 3-pt shot from 26 ft
4:33.0,Defensive rebound by T. Booker,,79-67,,
4:18.0,Shooting foul by R. Covington (drawn by R. Gobert),,79-67,,
4:18.0,R. Gobert makes free throw 1 of 2,1,80-67,,
4:18.0,,,80-67,,H. Thompson enters the game for J. Richardson
4:18.0,R. Gobert makes free throw 2 of 2,1,81-67,,
3:58.0,,,81-67,,R. Covington misses 3-pt shot from 24 ft
3:57.0,,,81-67,,Offensive rebound by N. Noel
3:46.0,,,81-67,,H. Thompson misses 2-pt shot from 17 ft
3:44.0,,,81-67,,Offensive rebound by R. Covington
3:43.0,,,81-67,,Shooting foul by R. Hood (drawn by R. Covington)
3:43.0,,,81-68,1,R. Covington makes free throw 1 of 2
3:43.0,,,81-69,1,R. Covington makes free throw 2 of 2
3:27.0,G. Hayward misses 2-pt shot from 13 ft,,81-69,,
3:25.0,,,81-69,,Defensive rebound by N. Noel
3:13.0,Personal foul by R. Gobert (drawn by R. Covington),,81-69,,
3:13.0,,,81-69,,R. Covington misses free throw 1 of 2
3:13.0,,,81-69,,Offensive rebound by Team
3:13.0,D. Favors enters the game for T. Booker,,81-69,,
3:13.0,,,81-69,,R. Covington misses free throw 2 of 2
3:11.0,,,81-69,,Offensive rebound by N. Noel
3:08.0,,,81-69,,N. Noel misses 2-pt shot from 4 ft
3:07.0,Defensive rebound by T. Burke,,81-69,,
2:58.0,Utah full timeout,,81-69,,
2:58.0,,,81-69,,I. Smith enters the game for R. Covington
2:57.0,Turnover by R. Hood (bad pass),,81-69,,
2:34.0,,,81-69,,Turnover by L. Mbah a Moute (bad pass; steal by G. Hayward)
2:32.0,,,81-69,,Personal foul by H. Thompson (drawn by G. Hayward)
2:32.0,G. Hayward misses free throw 1 of 2,,81-69,,
2:32.0,Offensive rebound by Team,,81-69,,
2:32.0,G. Hayward makes free throw 2 of 2,1,82-69,,
2:22.0,,,82-72,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by I. Canaan)
1:56.0,Turnover by R. Hood (lost ball; steal by N. Noel),,82-72,,
1:51.0,,,82-72,,I. Canaan misses 3-pt shot from 27 ft
1:50.0,Defensive rebound by T. Burke,,82-72,,
1:26.0,G. Hayward misses 2-pt shot from 18 ft,,82-72,,
1:24.0,Offensive rebound by D. Favors,,82-72,,
1:23.0,D. Favors makes 2-pt shot from 1 ft,2,84-72,,
1:13.0,,,84-74,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
1:13.0,,,84-74,,Technical foul by N. Noel
1:13.0,Technical foul by R. Gobert,,84-74,,
1:02.0,,,84-74,,Personal foul by I. Canaan (drawn by T. Burke)
1:02.0,T. Burke misses free throw 1 of 2,,84-74,,
1:02.0,Offensive rebound by Team,,84-74,,
1:02.0,T. Burke makes free throw 2 of 2,1,85-74,,
1:02.0,,,85-74,,Philadelphia full timeout
0:57.0,,,85-77,3,H. Thompson makes 3-pt shot from 25 ft (assist by I. Smith)
0:50.0,,,85-77,,Personal foul by L. Mbah a Moute (drawn by D. Favors)
0:50.0,D. Favors makes free throw 1 of 2,1,86-77,,
0:50.0,D. Favors makes free throw 2 of 2,1,87-77,,
0:50.0,,,87-77,,Philadelphia full timeout
0:45.0,,,87-80,3,I. Canaan makes 3-pt shot from 25 ft (assist by I. Smith)
0:36.0,,,87-80,,Personal foul by I. Canaan (drawn by T. Burke)
0:36.0,T. Burke makes free throw 1 of 2,1,88-80,,
0:36.0,D. Exum enters the game for R. Gobert,,88-80,,
0:36.0,T. Burke makes free throw 2 of 2,1,89-80,,
0:31.0,,,89-80,,I. Smith misses 2-pt shot from 2 ft
0:30.0,Defensive rebound by G. Hayward,,89-80,,
0:08.0,T. Burke misses 2-pt shot from 10 ft,,89-80,,
0:07.0,,,89-80,,Defensive rebound by N. Noel
0:01.0,,,89-83,3,I. Canaan makes 3-pt shot from 24 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
