time,LA Lakers,pts.away,score,pts.home,LA Clippers
1:42.0,J. Lin makes 3-pt shot from 26 ft (assist by J. Hill),3,48-64,,
1:30.0,,,48-66,2,C. Paul makes 2-pt shot from 15 ft
1:08.0,J. Hill misses 2-pt shot from 15 ft,,48-66,,
1:07.0,,,48-66,,Defensive rebound by B. Griffin
0:59.0,,,48-66,,Turnover by C. Paul (bad pass; steal by J. Hill)
0:52.0,W. Ellington misses 2-pt shot from 17 ft,,48-66,,
0:50.0,Offensive rebound by J. Hill,,48-66,,
0:48.0,J. Hill misses 2-pt shot from 3 ft (block by D. Jordan),,48-66,,
0:45.0,,,48-66,,Defensive rebound by J. Redick
0:41.0,,,48-68,2,B. Griffin makes 2-pt shot at rim (assist by J. Redick)
0:23.0,J. Lin misses 3-pt shot from 25 ft,,48-68,,
0:22.0,,,48-68,,Defensive rebound by D. Jordan
0:02.0,,,48-68,,M. Barnes misses 3-pt shot from 25 ft
0:01.0,,,48-68,,Offensive rebound by D. Jordan
0:01.0,,,48-70,2,D. Jordan makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,48-70,,B. Griffin misses 2-pt shot from 2 ft
11:46.0,Defensive rebound by K. Bryant,,48-70,,
11:39.0,Turnover by K. Bryant (lost ball),,48-70,,
11:19.0,,,48-70,,J. Redick misses 3-pt shot from 24 ft
11:17.0,,,48-70,,Offensive rebound by D. Jordan
11:10.0,,,48-70,,Shooting foul by J. Hill (drawn by B. Griffin)
11:10.0,,,48-71,1,B. Griffin makes free throw 1 of 2
11:10.0,,,48-72,1,B. Griffin makes free throw 2 of 2
10:53.0,Turnover by J. Lin (bad pass; steal by B. Griffin),,48-72,,
10:43.0,,,48-72,,M. Barnes misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by W. Ellington,,48-72,,
10:36.0,J. Hill makes 2-pt shot at rim (assist by W. Ellington),2,50-72,,
10:24.0,,,50-72,,Shooting foul by J. Lin (drawn by J. Redick)
10:24.0,,,50-73,1,J. Redick makes free throw 1 of 2
10:24.0,,,50-74,1,J. Redick makes free throw 2 of 2
10:13.0,K. Bryant misses 2-pt shot from 20 ft,,50-74,,
10:13.0,,,50-74,,Defensive rebound by Team
9:58.0,,,50-76,2,C. Paul makes 2-pt shot from 7 ft
9:45.0,Turnover by K. Bryant (bad pass; steal by B. Griffin),,50-76,,
9:41.0,Personal foul by J. Lin (drawn by B. Griffin),,50-76,,
9:36.0,,,50-76,,Shooting foul by E. Davis (drawn by D. Jordan)
9:36.0,,,50-76,,D. Jordan misses free throw 1 of 2
9:36.0,,,50-76,,Offensive rebound by Team
9:36.0,,,50-76,,D. Jordan misses free throw 2 of 2
9:33.0,,,50-76,,Offensive rebound by J. Redick
9:26.0,,,50-76,,B. Griffin misses 2-pt shot from 18 ft
9:25.0,Defensive rebound by K. Bryant,,50-76,,
9:17.0,Turnover by K. Bryant (bad pass; steal by B. Griffin),,50-76,,
9:10.0,,,50-76,,C. Paul misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by W. Ellington,,50-76,,
9:02.0,K. Bryant misses 3-pt shot from 25 ft,,50-76,,
9:00.0,,,50-76,,Defensive rebound by B. Griffin
8:56.0,,,50-76,,Shooting foul by J. Lin (drawn by C. Paul)
8:56.0,,,50-77,1,C. Paul makes free throw 1 of 2
8:56.0,N. Young enters the game for J. Lin,,50-77,,
8:56.0,,,50-78,1,C. Paul makes free throw 2 of 2
8:48.0,,,50-78,,Personal foul by B. Griffin (drawn by N. Young)
8:38.0,K. Bryant misses 2-pt shot from 14 ft,,50-78,,
8:37.0,,,50-78,,Defensive rebound by B. Griffin
8:31.0,,,50-78,,Shooting foul by K. Bryant (drawn by D. Jordan)
