time,Philadelphia,pts.away,score,pts.home,Golden State
5:31.0,Defensive rebound by R. Covington,,74-114,,
5:26.0,H. Sims makes 2-pt shot at rim (assist by R. Covington),2,76-114,,
5:26.0,Shooting foul by O. Kuzmic (drawn by H. Sims),,76-114,,
5:26.0,H. Sims misses free throw 1 of 1,,76-114,,
5:25.0,,,76-114,,Defensive rebound by D. Lee
5:07.0,,,76-116,2,J. Holiday makes 2-pt shot from 5 ft (assist by D. Lee)
4:45.0,N. Noel misses 2-pt shot from 7 ft,,76-116,,
4:45.0,,,76-116,,Defensive rebound by L. Barbosa
4:40.0,,,76-116,,Shooting foul by K. McDaniels (drawn by O. Kuzmic)
4:40.0,,,76-117,1,O. Kuzmic makes free throw 1 of 2
4:40.0,,,76-118,1,O. Kuzmic makes free throw 2 of 2
4:28.0,M. Carter-Williams misses 2-pt shot from 9 ft,,76-118,,
4:26.0,,,76-118,,Defensive rebound by D. Lee
4:11.0,,,76-118,,L. Barbosa misses 2-pt shot from 11 ft
4:10.0,Defensive rebound by H. Sims,,76-118,,
4:01.0,Turnover by K. McDaniels (lost ball; steal by O. Kuzmic),,76-118,,
3:44.0,,,76-118,,J. Holiday misses 3-pt shot from 26 ft
3:43.0,Defensive rebound by N. Noel,,76-118,,
3:37.0,Philadelphia full timeout,,76-118,,
3:37.0,M. Thomas enters the game for H. Sims,,76-118,,
3:37.0,F. Aldemir enters the game for N. Noel,,76-118,,
3:37.0,J. Sampson enters the game for K. McDaniels,,76-118,,
3:29.0,R. Covington misses 3-pt shot from 26 ft,,76-118,,
3:28.0,,,76-118,,Defensive rebound by O. Kuzmic
3:13.0,,,76-120,2,O. Kuzmic makes 2-pt shot from 2 ft (assist by B. Rush)
3:01.0,J. Sampson misses 2-pt shot at rim (block by B. Rush),,76-120,,
3:00.0,Offensive rebound by J. Sampson,,76-120,,
3:00.0,Shooting foul by O. Kuzmic (drawn by J. Sampson),,76-120,,
3:00.0,J. Sampson makes 2-pt shot at rim,2,78-120,,
3:00.0,J. Grant enters the game for R. Covington,,78-120,,
3:00.0,J. Sampson misses free throw 1 of 1,,78-120,,
2:58.0,,,78-120,,Defensive rebound by D. Lee
2:42.0,,,78-122,2,D. Lee makes 2-pt shot from 1 ft (assist by J. Holiday)
2:25.0,Turnover by J. Sampson (lost ball; steal by B. Rush),,78-122,,
2:20.0,,,78-124,2,J. Holiday makes 2-pt shot at rim (assist by B. Rush)
1:59.0,Turnover by M. Carter-Williams (bad pass; steal by L. Barbosa),,78-124,,
1:44.0,,,78-124,,L. Barbosa misses 3-pt shot from 22 ft
1:43.0,,,78-124,,Offensive rebound by O. Kuzmic
1:38.0,,,78-124,,J. Holiday misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by F. Aldemir,,78-124,,
1:22.0,,,78-124,,Personal foul by B. Rush (drawn by M. Carter-Williams)
1:22.0,M. Carter-Williams makes free throw 1 of 2,1,79-124,,
1:22.0,M. Carter-Williams misses free throw 2 of 2,,79-124,,
1:21.0,,,79-124,,Defensive rebound by D. Lee
1:07.0,,,79-126,2,D. Lee makes 2-pt shot from 2 ft (assist by B. Rush)
0:52.0,,,79-126,,Shooting block foul by L. Barbosa (drawn by F. Aldemir)
0:52.0,J. Sampson makes free throw 1 of 2,1,80-126,,
0:52.0,J. Sampson makes free throw 2 of 2,1,81-126,,
0:39.0,,,81-126,,Turnover by B. Rush (bad pass; steal by F. Aldemir)
0:32.0,J. Grant misses 3-pt shot from 25 ft,,81-126,,
0:31.0,Offensive rebound by F. Aldemir,,81-126,,
0:29.0,F. Aldemir makes 2-pt shot from 1 ft,2,83-126,,
0:07.0,,,83-126,,Turnover by D. Lee (bad pass; steal by F. Aldemir)
0:02.0,J. Sampson makes 3-pt shot from 28 ft (assist by J. Grant),3,86-126,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
