time,Denver,pts.away,score,pts.home,Memphis
1:31.0,Shooting foul by K. Koufos (drawn by D. Gallinari),,64-91,,
1:31.0,D. Gallinari makes free throw 1 of 1,1,65-91,,
1:21.0,,,65-93,2,K. Koufos makes 2-pt shot from 20 ft (assist by N. Calathes)
1:10.0,D. Gallinari makes 2-pt shot from 20 ft (assist by R. Foye),2,67-93,,
1:00.0,,,67-93,,Shooting foul by R. Foye (drawn by T. Thomas)
1:00.0,,,67-94,1,T. Thomas makes free throw 1 of 2
1:00.0,,,67-95,1,T. Thomas makes free throw 2 of 2
0:51.0,,,67-95,,Personal foul by N. Calathes (drawn by R. Foye)
0:51.0,R. Foye makes free throw 1 of 2,1,68-95,,
0:51.0,R. Foye makes free throw 2 of 2,1,69-95,,
0:37.0,,,69-97,2,T. Thomas makes 2-pt shot from 12 ft (assist by J. Adams)
0:26.0,Turnover by R. Foye (bad pass; steal by J. Leuer),,69-97,,
0:20.0,,,69-99,2,K. Koufos makes 2-pt shot from 3 ft (assist by J. Leuer)
0:02.0,R. Foye misses 2-pt shot from 8 ft (block by J. Adams),,69-99,,
0:00.0,,,69-99,,Defensive rebound by J. Leuer
0:00.0,End of 4th quarter,,,,End of 4th quarter
