time,Cleveland,pts.away,score,pts.home,Minnesota
0:50.0,J. Jones makes 2-pt shot from 21 ft (assist by M. Dellavedova),2,104-89,,
0:46.0,Personal take foul by K. Irving (drawn by L. Brown),,104-89,,
0:46.0,M. Miller enters the game for K. Irving,,104-89,,
0:35.0,,,104-89,,C. Budinger misses 2-pt shot from 4 ft
0:34.0,,,104-89,,Offensive rebound by Team
0:30.0,,,104-89,,G. Robinson misses 2-pt shot from 16 ft
0:29.0,Defensive rebound by T. Thompson,,104-89,,
0:10.0,Shooting foul by T. Daniels (drawn by M. Dellavedova),,104-89,,
0:10.0,M. Dellavedova makes free throw 1 of 2,1,105-89,,
0:10.0,M. Dellavedova makes free throw 2 of 2,1,106-89,,
0:04.0,,,106-89,,Shooting foul by M. Dellavedova (drawn by L. Brown)
0:04.0,,,106-89,,L. Brown misses free throw 1 of 2
0:04.0,,,106-89,,Offensive rebound by Team
0:04.0,,,106-90,1,L. Brown makes free throw 2 of 2
0:00.0,End of 4th quarter,,,,End of 4th quarter
