time,Boston,pts.away,score,pts.home,Phoenix
3:45.0,Defensive rebound by E. Turner,,97-94,,
3:28.0,I. Thomas misses 2-pt shot from 7 ft (block by A. Len),,97-94,,
3:28.0,Offensive rebound by Team,,97-94,,
3:28.0,Boston full timeout,,97-94,,
3:26.0,T. Zeller misses 2-pt shot from 4 ft,,97-94,,
3:24.0,,,97-94,,Defensive rebound by P. Tucker
3:20.0,,,97-94,,Turnover by E. Bledsoe (lost ball; steal by A. Bradley)
3:12.0,A. Bradley makes 3-pt shot from 26 ft (assist by I. Thomas),3,100-94,,
3:11.0,,,100-94,,Phoenix full timeout
3:01.0,,,100-94,,Turnover by P. Tucker (bad pass; steal by E. Turner)
2:58.0,,,100-94,,Personal foul by P. Tucker (drawn by I. Thomas)
2:58.0,I. Thomas makes free throw 1 of 2,1,101-94,,
2:58.0,I. Thomas misses free throw 2 of 2,,101-94,,
2:56.0,,,101-94,,Defensive rebound by P. Tucker
2:36.0,,,101-94,,M. Morris misses 2-pt shot from 13 ft
2:35.0,,,101-94,,Offensive rebound by B. Knight
2:33.0,,,101-97,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by B. Knight)
2:09.0,J. Crowder misses 3-pt shot from 24 ft,,101-97,,
2:07.0,,,101-97,,Defensive rebound by E. Bledsoe
1:47.0,,,101-100,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Morris)
1:37.0,I. Thomas makes 3-pt shot from 24 ft,3,104-100,,
1:37.0,Shooting foul by B. Knight (drawn by I. Thomas),,104-100,,
1:37.0,I. Thomas makes free throw 1 of 1,1,105-100,,
1:23.0,,,105-100,,P. Tucker misses 3-pt shot from 23 ft
1:21.0,Defensive rebound by J. Crowder,,105-100,,
1:10.0,I. Thomas misses 2-pt shot from 2 ft,,105-100,,
1:07.0,,,105-100,,Defensive rebound by A. Len
1:03.0,,,105-100,,Turnover by E. Bledsoe (bad pass; steal by I. Thomas)
0:41.0,I. Thomas makes 2-pt shot from 1 ft,2,107-100,,
0:40.0,,,107-100,,Phoenix full timeout
0:40.0,M. Smart enters the game for I. Thomas,,107-100,,
0:38.0,,,107-100,,B. Knight misses 3-pt shot from 26 ft
0:36.0,,,107-100,,Offensive rebound by P. Tucker
0:36.0,,,107-102,2,P. Tucker makes 2-pt shot from 2 ft
0:36.0,,,107-102,,Shooting foul by E. Turner (drawn by P. Tucker)
0:36.0,I. Thomas enters the game for M. Smart,,107-102,,
0:36.0,,,107-103,1,P. Tucker makes free throw 1 of 1
0:32.0,,,107-103,,Personal take foul by P. Tucker (drawn by E. Turner)
0:32.0,E. Turner misses free throw 1 of 2,,107-103,,
0:32.0,Offensive rebound by Team,,107-103,,
0:32.0,E. Turner makes free throw 2 of 2,1,108-103,,
0:32.0,,,108-103,,Phoenix full timeout
0:32.0,M. Smart enters the game for I. Thomas,,108-103,,
0:32.0,,,108-103,,M. Morris enters the game for A. Len
0:25.0,,,108-103,,M. Morris misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by M. Smart,,108-103,,
0:22.0,,,108-103,,Personal take foul by B. Knight (drawn by M. Smart)
0:22.0,,,108-103,,A. Len enters the game for B. Knight
0:22.0,M. Smart misses free throw 1 of 2,,108-103,,
0:22.0,Offensive rebound by Team,,108-103,,
0:22.0,M. Smart makes free throw 2 of 2,1,109-103,,
0:22.0,,,109-103,,Phoenix full timeout
0:22.0,B. Bass enters the game for T. Zeller,,109-103,,
0:22.0,,,109-103,,A. Goodwin enters the game for A. Len
0:17.0,,,109-105,2,E. Bledsoe makes 2-pt shot from 1 ft
0:17.0,Boston full timeout,,109-105,,
0:17.0,I. Thomas enters the game for M. Smart,,109-105,,
0:16.0,,,109-105,,Personal take foul by A. Goodwin (drawn by A. Bradley)
0:16.0,A. Bradley makes free throw 1 of 2,1,110-105,,
0:16.0,M. Smart enters the game for I. Thomas,,110-105,,
0:16.0,A. Bradley makes free throw 2 of 2,1,111-105,,
0:09.0,,,111-107,2,E. Bledsoe makes 2-pt shot from 1 ft
0:07.0,,,111-107,,Personal take foul by A. Goodwin (drawn by M. Smart)
0:07.0,M. Smart makes free throw 1 of 2,1,112-107,,
0:07.0,M. Smart makes free throw 2 of 2,1,113-107,,
0:02.0,,,113-110,3,A. Goodwin makes 3-pt shot from 24 ft (assist by E. Bledsoe)
0:02.0,Boston full timeout,,113-110,,
0:02.0,I. Thomas enters the game for M. Smart,,113-110,,
0:02.0,,,113-110,,A. Len enters the game for A. Goodwin
0:01.0,,,113-110,,Personal take foul by E. Bledsoe (drawn by I. Thomas)
0:01.0,I. Thomas makes free throw 1 of 2,1,114-110,,
0:01.0,M. Smart enters the game for B. Bass,,114-110,,
0:01.0,I. Thomas makes free throw 2 of 2,1,115-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
