time,Portland,pts.away,score,pts.home,Washington
0:33.0,N. Batum misses 2-pt shot from 18 ft,,95-102,,
0:33.0,Offensive rebound by L. Aldridge,,95-102,,
0:33.0,L. Aldridge makes 2-pt shot at rim,2,97-102,,
0:33.0,,,97-102,,Washington full timeout
0:33.0,S. Blake enters the game for R. Lopez,,97-102,,
0:33.0,,,97-102,,R. Butler enters the game for N. Hilario
0:31.0,,,97-102,,Washington full timeout
0:27.0,Personal take foul by D. Lillard (drawn by J. Wall),,97-102,,
0:26.0,Personal take foul by D. Lillard (drawn by J. Wall),,97-102,,
0:26.0,,,97-103,1,B. Beal makes free throw 1 of 2
0:26.0,R. Lopez enters the game for S. Blake,,97-103,,
0:26.0,,,97-103,,B. Beal misses free throw 2 of 2
0:26.0,Defensive rebound by N. Batum,,97-103,,
0:25.0,Portland full timeout,,97-103,,
0:25.0,,,97-103,,N. Hilario enters the game for R. Butler
0:19.0,D. Lillard misses 3-pt shot from 26 ft,,97-103,,
0:17.0,,,97-103,,Defensive rebound by J. Wall
0:14.0,,,97-105,2,J. Wall makes 2-pt shot at rim
0:05.0,D. Lillard misses 3-pt shot from 30 ft,,97-105,,
0:04.0,,,97-105,,Defensive rebound by B. Beal
0:00.0,End of 4th quarter,,,,End of 4th quarter
