time,Philadelphia,pts.away,score,pts.home,LA Clippers
4:19.0,F. Aldemir misses free throw 1 of 2,,84-110,,
4:19.0,Offensive rebound by Team,,84-110,,
4:19.0,F. Aldemir makes free throw 2 of 2,1,85-110,,
4:05.0,,,85-110,,J. Cunningham misses 2-pt shot at rim
4:03.0,Defensive rebound by J. Grant,,85-110,,
3:58.0,K. McDaniels misses 3-pt shot from 25 ft,,85-110,,
3:55.0,Offensive rebound by F. Aldemir,,85-110,,
3:53.0,,,85-110,,Personal foul by E. Udoh (drawn by J. Grant)
3:53.0,J. Grant makes free throw 1 of 2,1,86-110,,
3:53.0,,,86-110,,G. Davis enters the game for S. Hawes
3:53.0,J. Grant misses free throw 2 of 2,,86-110,,
3:49.0,,,86-110,,Defensive rebound by E. Udoh
3:34.0,,,86-110,,Shooting foul by F. Aldemir (drawn by G. Davis)
3:34.0,,,86-111,1,G. Davis makes free throw 1 of 2
3:34.0,,,86-112,1,G. Davis makes free throw 2 of 2
3:19.0,Turnover by N. Noel (bad pass; steal by J. Farmar),,86-112,,
3:09.0,,,86-114,2,G. Davis makes 2-pt shot from 19 ft (assist by J. Farmar)
3:07.0,Philadelphia full timeout,,86-114,,
2:55.0,Turnover by N. Noel (lost ball; steal by J. Cunningham),,86-114,,
2:47.0,,,86-117,3,R. Bullock makes 3-pt shot from 23 ft (assist by J. Farmar)
2:27.0,N. Noel misses 2-pt shot from 6 ft,,86-117,,
2:23.0,Offensive rebound by F. Aldemir,,86-117,,
2:23.0,F. Aldemir makes 2-pt shot from 1 ft,2,88-117,,
2:13.0,,,88-117,,Turnover by E. Udoh (bad pass)
2:13.0,Official timeout,,88-117,,
2:13.0,M. Thomas enters the game for N. Noel,,88-117,,
1:51.0,J. Sampson makes 3-pt shot from 25 ft (assist by M. Thomas),3,91-117,,
1:38.0,,,91-119,2,E. Udoh makes 2-pt shot from 13 ft (assist by G. Davis)
1:20.0,Turnover by K. McDaniels (lost ball; steal by G. Davis),,91-119,,
1:13.0,,,91-121,2,E. Udoh makes 2-pt shot from 13 ft (assist by J. Farmar)
0:57.0,K. McDaniels misses 2-pt shot from 7 ft,,91-121,,
0:55.0,Offensive rebound by K. McDaniels,,91-121,,
0:53.0,K. McDaniels misses 2-pt shot at rim,,91-121,,
0:50.0,Offensive rebound by K. McDaniels,,91-121,,
0:49.0,K. McDaniels misses 2-pt shot from 1 ft,,91-121,,
0:46.0,,,91-121,,Defensive rebound by J. Cunningham
0:41.0,,,91-123,2,J. Farmar makes 2-pt shot from 1 ft
0:41.0,,,91-123,,Shooting foul by J. Sampson (drawn by J. Farmar)
0:41.0,,,91-124,1,J. Farmar makes free throw 1 of 1
0:35.0,Turnover by J. Sampson (bad pass; steal by J. Farmar),,91-124,,
0:29.0,,,91-127,3,J. Cunningham makes 3-pt shot from 24 ft (assist by J. Farmar)
0:17.0,J. Sampson misses 2-pt shot from 10 ft,,91-127,,
0:11.0,,,91-127,,Defensive rebound by G. Davis
0:00.0,End of 4th quarter,,,,End of 4th quarter
