time,Orlando,pts.away,score,pts.home,New Orleans
7:53.0,Offensive rebound by N. Vucevic,,72-86,,
7:49.0,N. Vucevic misses 2-pt shot from 2 ft,,72-86,,
7:48.0,,,72-86,,Defensive rebound by R. Anderson
7:34.0,,,72-86,,Turnover by E. Gordon (bad pass; steal by N. Vucevic)
7:32.0,Offensive charge foul by T. Harris,,72-86,,
7:32.0,Turnover by T. Harris (offensive foul),,72-86,,
7:32.0,,,72-86,,A. Davis enters the game for J. Fredette
7:32.0,,,72-86,,T. Evans enters the game for A. Rivers
7:13.0,,,72-86,,Offensive foul by O. Asik
7:13.0,,,72-86,,Turnover by O. Asik (offensive foul)
6:49.0,Turnover by A. Gordon (bad pass; steal by A. Davis),,72-86,,
6:39.0,,,72-86,,Shooting foul by E. Payton (drawn by A. Davis)
6:39.0,,,72-87,1,A. Davis makes free throw 1 of 2
6:39.0,E. Fournier enters the game for B. Gordon,,72-87,,
6:39.0,L. Ridnour enters the game for E. Payton,,72-87,,
6:39.0,,,72-87,,A. Davis misses free throw 2 of 2
6:38.0,Defensive rebound by T. Harris,,72-87,,
6:24.0,T. Harris misses 2-pt shot from 22 ft,,72-87,,
6:23.0,,,72-87,,Defensive rebound by T. Evans
6:23.0,Personal foul by E. Fournier (drawn by T. Evans),,72-87,,
6:23.0,,,72-88,1,T. Evans makes free throw 1 of 2
6:23.0,K. O'Quinn enters the game for N. Vucevic,,72-88,,
6:23.0,,,72-88,,J. Holiday enters the game for R. Anderson
6:23.0,,,72-88,,T. Evans misses free throw 2 of 2
6:22.0,Defensive rebound by A. Gordon,,72-88,,
5:58.0,A. Gordon misses 2-pt shot from 11 ft (block by A. Davis),,72-88,,
5:56.0,,,72-88,,Defensive rebound by O. Asik
5:51.0,,,72-88,,J. Holiday misses 3-pt shot from 23 ft
5:51.0,,,72-88,,Offensive rebound by A. Davis
5:51.0,Loose ball foul by E. Fournier (drawn by A. Davis),,72-88,,
5:51.0,Official timeout,,72-88,,
5:51.0,B. Gordon enters the game for A. Gordon,,72-88,,
5:51.0,,,72-88,,A. Davis misses free throw 1 of 2
5:51.0,,,72-88,,Offensive rebound by Team
5:51.0,,,72-89,1,A. Davis makes free throw 2 of 2
5:35.0,K. O'Quinn misses 2-pt shot from 19 ft,,72-89,,
5:34.0,,,72-89,,Defensive rebound by O. Asik
5:19.0,,,72-89,,Offensive foul by O. Asik
5:19.0,,,72-89,,Turnover by O. Asik (offensive foul)
5:06.0,K. O'Quinn misses 2-pt shot from 17 ft,,72-89,,
5:05.0,,,72-89,,Defensive rebound by O. Asik
4:53.0,,,72-89,,Offensive foul by J. Holiday
4:53.0,,,72-89,,Turnover by J. Holiday (offensive foul)
4:45.0,T. Harris makes 2-pt shot from 2 ft (assist by B. Gordon),2,74-89,,
4:24.0,,,74-89,,A. Davis misses 2-pt shot from 14 ft
4:22.0,Defensive rebound by B. Gordon,,74-89,,
4:19.0,Orlando full timeout,,74-89,,
4:19.0,A. Gordon enters the game for T. Harris,,74-89,,
4:19.0,D. Dedmon enters the game for K. O'Quinn,,74-89,,
4:07.0,,,74-89,,Personal foul by E. Gordon (drawn by B. Gordon)
3:53.0,Turnover by L. Ridnour (lost ball; steal by J. Holiday),,74-89,,
3:48.0,,,74-91,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:32.0,B. Gordon misses 3-pt shot from 24 ft (block by E. Gordon),,74-91,,
3:30.0,,,74-91,,Defensive rebound by A. Davis
3:25.0,,,74-93,2,T. Evans makes 2-pt shot from 2 ft (assist by A. Davis)
3:03.0,Turnover by E. Fournier (lost ball; steal by J. Holiday),,74-93,,
2:59.0,,,74-95,2,J. Holiday makes 2-pt shot from 2 ft (assist by T. Evans)
2:59.0,Orlando full timeout,,74-95,,
2:59.0,D. Marble enters the game for B. Gordon,,74-95,,
2:51.0,Turnover by L. Ridnour (lost ball),,74-95,,
2:38.0,,,74-95,,T. Evans misses 2-pt shot from 1 ft
2:37.0,,,74-95,,Offensive rebound by O. Asik
2:36.0,,,74-97,2,O. Asik makes 2-pt shot from 2 ft
2:29.0,,,74-97,,Personal foul by J. Holiday (drawn by L. Ridnour)
2:29.0,,,74-97,,A. Rivers enters the game for T. Evans
2:29.0,,,74-97,,J. Fredette enters the game for A. Davis
2:29.0,,,74-97,,J. Withey enters the game for O. Asik
2:29.0,,,74-97,,L. Babbitt enters the game for E. Gordon
2:29.0,,,74-97,,A. Ajinca enters the game for J. Holiday
2:19.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Fournier),2,76-97,,
1:59.0,,,76-97,,Turnover by A. Ajinca (lost ball; steal by A. Gordon)
1:53.0,A. Gordon misses 2-pt shot from 1 ft,,76-97,,
1:52.0,Offensive rebound by A. Gordon,,76-97,,
1:52.0,A. Gordon makes 2-pt shot from 1 ft,2,78-97,,
1:36.0,,,78-99,2,A. Ajinca makes 2-pt shot from 13 ft (assist by A. Rivers)
1:27.0,D. Marble makes 2-pt shot from 4 ft,2,80-99,,
1:06.0,,,80-99,,J. Withey misses 2-pt shot from 2 ft (block by D. Dedmon)
1:05.0,Defensive rebound by L. Ridnour,,80-99,,
1:02.0,D. Marble makes 2-pt shot from 1 ft (assist by L. Ridnour),2,82-99,,
0:47.0,,,82-99,,A. Rivers misses 2-pt shot from 7 ft
0:46.0,Defensive rebound by D. Marble,,82-99,,
0:42.0,,,82-99,,Shooting block foul by J. Fredette (drawn by D. Marble)
0:42.0,D. Marble misses free throw 1 of 2,,82-99,,
0:42.0,Offensive rebound by Team,,82-99,,
0:42.0,D. Marble misses free throw 2 of 2,,82-99,,
0:42.0,Offensive rebound by D. Dedmon,,82-99,,
0:42.0,D. Dedmon makes 2-pt shot at rim,2,84-99,,
0:31.0,,,84-99,,Shooting foul by D. Marble (drawn by J. Fredette)
0:31.0,,,84-100,1,J. Fredette makes free throw 1 of 2
0:31.0,,,84-101,1,J. Fredette makes free throw 2 of 2
0:13.0,E. Fournier misses 2-pt shot from 3 ft,,84-101,,
0:12.0,Offensive rebound by D. Dedmon,,84-101,,
0:12.0,D. Dedmon misses 2-pt shot at rim,,84-101,,
0:12.0,,,84-101,,Defensive rebound by J. Withey
0:00.0,End of 4th quarter,,,,End of 4th quarter
