time,Denver,pts.away,score,pts.home,Chicago
6:14.0,,,86-87,2,D. Rose makes 2-pt shot from 7 ft (assist by J. Noah)
5:55.0,A. Afflalo misses 2-pt shot from 10 ft (block by T. Gibson),,86-87,,
5:54.0,,,86-87,,Defensive rebound by T. Gibson
5:43.0,,,86-89,2,D. Rose makes 2-pt shot from 7 ft
5:43.0,Denver full timeout,,86-89,,
5:43.0,W. Chandler enters the game for G. Harris,,86-89,,
5:30.0,Turnover by W. Chandler (bad pass; steal by D. Rose),,86-89,,
5:19.0,,,86-89,,D. Rose misses 2-pt shot from 2 ft
5:17.0,,,86-89,,Offensive rebound by T. Gibson
5:17.0,,,86-91,2,T. Gibson makes 2-pt shot from 2 ft
5:01.0,T. Lawson misses 2-pt shot from 19 ft,,86-91,,
4:58.0,Offensive rebound by K. Faried,,86-91,,
4:55.0,K. Faried misses 2-pt shot from 2 ft,,86-91,,
4:54.0,,,86-91,,Defensive rebound by J. Noah
4:54.0,Personal foul by T. Lawson (drawn by J. Noah),,86-91,,
4:54.0,,,86-91,,J. Butler enters the game for K. Hinrich
4:43.0,,,86-91,,D. Rose misses 2-pt shot from 3 ft (block by K. Faried)
4:39.0,Defensive rebound by Team,,86-91,,
4:39.0,Jump ball: K. Faried vs. D. Rose (T. Lawson gains possession),,,,Jump ball: K. Faried vs. D. Rose (T. Lawson gains possession)
4:34.0,T. Lawson makes 2-pt shot from 1 ft (assist by K. Faried),2,88-91,,
4:22.0,Personal foul by K. Faried (drawn by J. Noah),,88-91,,
4:12.0,,,88-91,,A. Brooks misses 2-pt shot from 7 ft
4:11.0,,,88-91,,Offensive rebound by J. Noah
4:00.0,,,88-94,3,D. Rose makes 3-pt shot from 24 ft (assist by J. Butler)
3:37.0,Turnover by T. Lawson (bad pass; steal by D. Rose),,88-94,,
3:34.0,,,88-96,2,J. Butler makes 2-pt shot at rim (assist by D. Rose)
3:17.0,A. Afflalo makes 2-pt shot from 19 ft,2,90-96,,
3:02.0,Personal foul by T. Mozgov (drawn by T. Gibson),,90-96,,
3:02.0,J. Nurkic enters the game for T. Mozgov,,90-96,,
2:54.0,,,90-96,,D. Rose misses 2-pt shot from 20 ft
2:54.0,Defensive rebound by A. Afflalo,,90-96,,
2:34.0,T. Lawson misses 2-pt shot from 15 ft,,90-96,,
2:33.0,,,90-96,,Defensive rebound by T. Gibson
2:21.0,,,90-98,2,D. Rose makes 2-pt shot from 8 ft
2:03.0,A. Afflalo makes 3-pt shot from 26 ft (assist by T. Lawson),3,93-98,,
1:38.0,,,93-98,,D. Rose misses 2-pt shot from 2 ft
1:38.0,,,93-98,,Offensive rebound by T. Gibson
1:38.0,,,93-100,2,T. Gibson makes 2-pt shot at rim
1:32.0,,,93-100,,Personal foul by A. Brooks (drawn by T. Lawson)
1:32.0,,,93-100,,K. Hinrich enters the game for A. Brooks
1:22.0,W. Chandler misses 3-pt shot from 24 ft,,93-100,,
1:20.0,Offensive rebound by J. Nurkic,,93-100,,
1:20.0,Shooting foul by T. Gibson (drawn by W. Chandler),,93-100,,
1:20.0,W. Chandler makes free throw 1 of 2,1,94-100,,
1:20.0,W. Chandler makes free throw 2 of 2,1,95-100,,
1:01.0,,,95-100,,J. Noah misses 2-pt shot from 6 ft (block by K. Faried)
1:00.0,Defensive rebound by J. Nurkic,,95-100,,
0:48.0,A. Afflalo misses 3-pt shot from 25 ft,,95-100,,
0:46.0,Offensive rebound by J. Nurkic,,95-100,,
0:46.0,J. Nurkic makes 2-pt shot from 2 ft,2,97-100,,
0:24.0,,,97-102,2,D. Rose makes 2-pt shot from 21 ft
0:24.0,Denver full timeout,,97-102,,
0:22.0,K. Faried makes 2-pt shot at rim (assist by W. Chandler),2,99-102,,
0:22.0,,,99-102,,Chicago full timeout
0:22.0,,,99-102,,A. Brooks enters the game for T. Gibson
0:20.0,Personal take foul by W. Chandler (drawn by J. Noah),,99-102,,
0:17.0,Personal take foul by W. Chandler (drawn by A. Brooks),,99-102,,
0:17.0,G. Harris enters the game for W. Chandler,,99-102,,
0:17.0,,,99-103,1,A. Brooks makes free throw 1 of 2
0:17.0,,,99-104,1,A. Brooks makes free throw 2 of 2
0:17.0,Denver full timeout,,99-104,,
0:17.0,,,99-104,,T. Gibson enters the game for A. Brooks
0:12.0,Shooting foul by T. Gibson (drawn by J. Nurkic),,99-104,,
0:12.0,,,99-104,,P. Gasol enters the game for T. Gibson
0:12.0,J. Nurkic makes free throw 1 of 2,1,100-104,,
0:12.0,J. Nurkic makes free throw 2 of 2,1,101-104,,
0:11.0,Personal take foul by T. Lawson (drawn by D. Rose),,101-104,,
0:11.0,,,101-105,1,D. Rose makes free throw 1 of 2
0:11.0,,,101-106,1,D. Rose makes free throw 2 of 2
0:02.0,A. Afflalo misses 3-pt shot from 26 ft,,101-106,,
0:00.0,,,101-106,,Defensive rebound by D. Rose
0:00.0,End of 4th quarter,,,,End of 4th quarter
