time,Toronto,pts.away,score,pts.home,Denver
7:20.0,,,95-94,,D. Arthur enters the game for J. Hickson
7:13.0,Shooting foul by D. Arthur (drawn by L. Williams),,95-94,,
7:13.0,L. Williams makes free throw 1 of 2,1,96-94,,
7:13.0,,,96-94,,T. Lawson enters the game for D. Arthur
7:13.0,A. Johnson enters the game for P. Patterson,,96-94,,
7:13.0,L. Williams makes free throw 2 of 2,1,97-94,,
7:03.0,,,97-94,,N. Robinson misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by K. Lowry,,97-94,,
6:50.0,L. Williams makes 3-pt shot from 23 ft (assist by K. Lowry),3,100-94,,
6:38.0,,,100-94,,T. Lawson misses 3-pt shot from 24 ft
6:36.0,Defensive rebound by K. Lowry,,100-94,,
6:32.0,Shooting foul by W. Chandler (drawn by K. Lowry),,100-94,,
6:32.0,K. Lowry makes free throw 1 of 2,1,101-94,,
6:32.0,K. Lowry makes free throw 2 of 2,1,102-94,,
6:21.0,,,102-94,,Turnover by W. Chandler (discontinued dribble)
6:03.0,A. Johnson makes 2-pt shot at rim (assist by L. Williams),2,104-94,,
6:03.0,,,104-94,,Denver full timeout
5:50.0,,,104-94,,T. Lawson misses 2-pt shot from 2 ft
5:49.0,,,104-94,,Offensive rebound by T. Lawson
5:48.0,,,104-94,,Shooting foul by K. Lowry (drawn by T. Lawson)
5:48.0,,,104-95,1,T. Lawson makes free throw 1 of 2
5:48.0,,,104-95,,T. Mozgov enters the game for N. Robinson
5:48.0,,,104-96,1,T. Lawson makes free throw 2 of 2
5:25.0,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry),2,106-96,,
5:12.0,,,106-96,,A. Afflalo misses 3-pt shot from 23 ft
5:11.0,,,106-96,,Offensive rebound by T. Mozgov
4:52.0,,,106-98,2,T. Lawson makes 2-pt shot from 2 ft (assist by A. Afflalo)
4:27.0,T. Ross misses 2-pt shot from 15 ft,,106-98,,
4:25.0,,,106-98,,Defensive rebound by K. Faried
4:16.0,,,106-98,,W. Chandler misses 2-pt shot from 5 ft (block by A. Johnson)
4:15.0,Defensive rebound by L. Williams,,106-98,,
3:59.0,K. Lowry makes 2-pt shot from 2 ft,2,108-98,,
3:59.0,Shooting foul by T. Mozgov (drawn by K. Lowry),,108-98,,
3:59.0,K. Lowry makes free throw 1 of 1,1,109-98,,
3:51.0,Personal foul by T. Hansbrough (drawn by T. Mozgov),,109-98,,
3:51.0,,,109-99,1,T. Mozgov makes free throw 1 of 2
3:51.0,,,109-100,1,T. Mozgov makes free throw 2 of 2
3:51.0,Toronto full timeout,,109-100,,
3:30.0,A. Johnson makes 2-pt shot from 5 ft,2,111-100,,
3:11.0,,,111-100,,K. Faried misses 2-pt shot from 4 ft
3:09.0,Defensive rebound by T. Hansbrough,,111-100,,
2:49.0,K. Lowry misses 2-pt shot from 20 ft,,111-100,,
2:48.0,,,111-100,,Defensive rebound by K. Faried
2:40.0,,,111-100,,K. Faried misses 2-pt shot from 4 ft
2:39.0,Defensive rebound by K. Lowry,,111-100,,
2:18.0,L. Williams misses 3-pt shot from 27 ft,,111-100,,
2:16.0,,,111-100,,Defensive rebound by T. Lawson
2:09.0,,,111-102,2,T. Lawson makes 2-pt shot from 14 ft
1:44.0,A. Johnson misses 3-pt shot from 24 ft,,111-102,,
1:43.0,,,111-102,,Defensive rebound by W. Chandler
1:33.0,,,111-102,,Offensive foul by K. Faried
1:33.0,,,111-102,,Turnover by K. Faried (offensive foul)
1:33.0,Toronto full timeout,,111-102,,
1:11.0,Turnover by K. Lowry (lost ball),,111-102,,
0:52.0,,,111-102,,W. Chandler misses 2-pt shot from 18 ft
0:51.0,Defensive rebound by Team,,111-102,,
0:51.0,,,111-102,,Loose ball foul by T. Mozgov (drawn by A. Johnson)
0:51.0,A. Johnson makes free throw 1 of 2,1,112-102,,
0:51.0,P. Patterson enters the game for T. Hansbrough,,112-102,,
0:51.0,A. Johnson makes free throw 2 of 2,1,113-102,,
0:51.0,,,113-102,,Denver full timeout
0:38.0,,,113-102,,T. Lawson misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by T. Ross,,113-102,,
0:21.0,L. Williams makes 3-pt shot from 24 ft (assist by K. Lowry),3,116-102,,
0:13.0,,,116-102,,W. Chandler misses 2-pt shot from 13 ft
0:12.0,Defensive rebound by K. Lowry,,116-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
