time,Boston,pts.away,score,pts.home,LA Lakers
5:03.0,,,87-92,1,N. Young makes technical free throw
5:03.0,E. Turner enters the game for B. Bass,,87-92,,
4:54.0,Shooting block foul by T. Zeller (drawn by J. Lin),,87-92,,
4:54.0,,,87-94,2,J. Lin makes 2-pt shot from 8 ft
4:54.0,,,87-94,,J. Lin misses free throw 1 of 1
4:53.0,Defensive rebound by T. Zeller,,87-94,,
4:40.0,J. Crowder makes 2-pt shot from 3 ft (assist by E. Turner),2,89-94,,
4:22.0,,,89-96,2,J. Lin makes 2-pt shot from 19 ft
4:04.0,A. Bradley misses 2-pt shot from 19 ft,,89-96,,
4:02.0,,,89-96,,Defensive rebound by C. Boozer
3:53.0,,,89-98,2,W. Johnson makes 2-pt shot from 1 ft (assist by J. Lin)
3:53.0,Boston full timeout,,89-98,,
3:44.0,Shooting foul by J. Lin (drawn by M. Smart),,89-98,,
3:44.0,M. Smart makes free throw 1 of 2,1,90-98,,
3:44.0,M. Smart misses free throw 2 of 2,,90-98,,
3:43.0,,,90-98,,Defensive rebound by W. Johnson
3:31.0,,,90-100,2,J. Lin makes 2-pt shot from 1 ft (assist by R. Price)
3:11.0,E. Turner makes 2-pt shot from 2 ft,2,92-100,,
2:41.0,,,92-100,,R. Price misses 2-pt shot from 20 ft
2:40.0,Defensive rebound by E. Turner,,92-100,,
2:36.0,Shooting foul by N. Young (drawn by A. Bradley),,92-100,,
2:36.0,A. Bradley misses free throw 1 of 2,,92-100,,
2:36.0,Offensive rebound by Team,,92-100,,
2:36.0,B. Bass enters the game for T. Zeller,,92-100,,
2:36.0,A. Bradley misses free throw 2 of 2,,92-100,,
2:34.0,,,92-100,,Defensive rebound by W. Johnson
2:19.0,,,92-100,,J. Lin misses 2-pt shot from 21 ft
2:18.0,Defensive rebound by M. Smart,,92-100,,
2:16.0,Shooting foul by R. Price (drawn by J. Crowder),,92-100,,
2:16.0,J. Crowder makes free throw 1 of 2,1,93-100,,
2:16.0,J. Crowder makes free throw 2 of 2,1,94-100,,
1:56.0,Personal foul by B. Bass (drawn by R. Price),,94-100,,
1:56.0,,,94-100,,R. Price misses free throw 1 of 2
1:56.0,,,94-100,,Offensive rebound by Team
1:56.0,,,94-101,1,R. Price makes free throw 2 of 2
1:56.0,Boston full timeout,,94-101,,
1:56.0,T. Zeller enters the game for B. Bass,,94-101,,
1:48.0,Turnover by E. Turner (lost ball; steal by N. Young),,94-101,,
1:28.0,,,94-103,2,N. Young makes 2-pt shot from 11 ft
1:18.0,J. Crowder misses 2-pt shot from 5 ft,,94-103,,
1:17.0,Offensive rebound by J. Crowder,,94-103,,
1:17.0,J. Crowder makes 2-pt shot from 5 ft,2,96-103,,
1:00.0,,,96-103,,J. Lin misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by J. Crowder,,96-103,,
0:54.0,,,96-103,,Violation by N. Young (kicked ball)
0:48.0,E. Turner misses 3-pt shot from 24 ft,,96-103,,
0:47.0,,,96-103,,Defensive rebound by C. Boozer
0:35.0,,,96-103,,LA Lakers full timeout
0:35.0,G. Wallace enters the game for E. Turner,,96-103,,
0:35.0,B. Bass enters the game for T. Zeller,,96-103,,
0:35.0,,,96-103,,Offensive foul by R. Price
0:35.0,,,96-103,,Turnover by R. Price (offensive foul)
0:35.0,T. Zeller enters the game for G. Wallace,,96-103,,
0:35.0,E. Turner enters the game for B. Bass,,96-103,,
0:35.0,,,96-103,,J. Clarkson enters the game for R. Price
0:27.0,A. Bradley makes 2-pt shot at rim (assist by E. Turner),2,98-103,,
0:27.0,,,98-103,,LA Lakers full timeout
0:27.0,G. Wallace enters the game for E. Turner,,98-103,,
0:27.0,B. Bass enters the game for T. Zeller,,98-103,,
0:27.0,,,98-103,,W. Ellington enters the game for J. Clarkson
0:22.0,,,98-103,,Offensive foul by W. Johnson
0:22.0,,,98-103,,Turnover by W. Johnson (offensive foul)
0:22.0,Boston full timeout,,98-103,,
0:22.0,E. Turner enters the game for B. Bass,,98-103,,
0:22.0,T. Zeller enters the game for G. Wallace,,98-103,,
0:19.0,A. Bradley makes 3-pt shot from 24 ft (assist by T. Zeller),3,101-103,,
0:12.0,Personal foul by M. Smart (drawn by N. Young),,101-103,,
0:12.0,B. Bass enters the game for M. Smart,,101-103,,
0:12.0,,,101-104,1,N. Young makes free throw 1 of 2
0:12.0,,,101-105,1,N. Young makes free throw 2 of 2
0:12.0,Boston full timeout,,101-105,,
0:12.0,J. Young enters the game for B. Bass,,101-105,,
0:09.0,J. Crowder makes 2-pt shot from 1 ft (assist by E. Turner),2,103-105,,
0:08.0,Personal foul by E. Turner (drawn by N. Young),,103-105,,
0:08.0,,,103-105,,N. Young misses free throw 1 of 2
0:08.0,,,103-105,,Offensive rebound by Team
0:08.0,,,103-106,1,N. Young makes free throw 2 of 2
0:01.0,A. Bradley makes 3-pt shot from 25 ft,3,106-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
5:00.0,Start of 1st overtime,,,,Start of 1st overtime
5:00.0,Jump ball: B. Bass vs. W. Johnson (T. Zeller gains possession),,,,Jump ball: B. Bass vs. W. Johnson (T. Zeller gains possession)
4:36.0,J. Crowder misses 3-pt shot from 25 ft,,106-106,,
4:35.0,Offensive rebound by E. Turner,,106-106,,
4:33.0,E. Turner misses 2-pt shot from 3 ft,,106-106,,
4:29.0,,,106-106,,Defensive rebound by W. Johnson
4:15.0,,,106-106,,N. Young misses 2-pt shot from 19 ft
4:14.0,,,106-106,,Offensive rebound by C. Boozer
3:54.0,,,106-106,,W. Ellington misses 3-pt shot from 26 ft
3:52.0,Defensive rebound by B. Bass,,106-106,,
3:38.0,E. Turner misses 2-pt shot from 10 ft,,106-106,,
3:37.0,,,106-106,,Defensive rebound by W. Ellington
3:18.0,,,106-108,2,J. Lin makes 2-pt shot from 3 ft (assist by C. Boozer)
2:58.0,Turnover by T. Zeller (bad pass),,106-108,,
2:42.0,,,106-110,2,C. Boozer makes 2-pt shot from 11 ft (assist by J. Lin)
2:20.0,A. Bradley misses 2-pt shot from 16 ft,,106-110,,
2:16.0,,,106-110,,Defensive rebound by C. Boozer
2:00.0,,,106-112,2,W. Johnson makes 2-pt shot from 19 ft (assist by J. Lin)
2:00.0,Boston full timeout,,106-112,,
1:50.0,E. Turner misses 2-pt shot from 9 ft (block by N. Young),,106-112,,
1:47.0,,,106-112,,Defensive rebound by N. Young
1:30.0,,,106-112,,J. Lin misses 2-pt shot from 13 ft
1:29.0,Defensive rebound by J. Crowder,,106-112,,
1:19.0,J. Crowder makes 2-pt shot from 3 ft (assist by E. Turner),2,108-112,,
1:19.0,Shooting foul by W. Ellington (drawn by J. Crowder),,108-112,,
1:19.0,J. Crowder makes free throw 1 of 1,1,109-112,,
1:05.0,Personal foul by A. Bradley (drawn by J. Lin),,109-112,,
1:01.0,,,109-114,2,C. Boozer makes 2-pt shot from 2 ft (assist by J. Lin)
1:01.0,Boston full timeout,,109-114,,
0:54.0,A. Bradley misses 3-pt shot from 28 ft,,109-114,,
0:53.0,Offensive rebound by E. Turner,,109-114,,
0:51.0,E. Turner makes 2-pt shot from 1 ft,2,111-114,,
0:34.0,,,111-116,2,J. Lin makes 2-pt shot from 16 ft
0:26.0,E. Turner misses 3-pt shot from 26 ft,,111-116,,
0:24.0,Offensive rebound by T. Zeller,,111-116,,
0:24.0,T. Zeller misses 2-pt shot from 1 ft,,111-116,,
0:24.0,Offensive rebound by Team,,111-116,,
0:17.0,E. Turner misses 2-pt shot from 7 ft,,111-116,,
0:16.0,,,111-116,,Defensive rebound by W. Ellington
0:16.0,Personal foul by J. Crowder (drawn by W. Ellington),,111-116,,
0:16.0,,,111-117,1,W. Ellington makes free throw 1 of 2
0:16.0,J. Jerebko enters the game for T. Zeller,,111-117,,
0:16.0,,,111-118,1,W. Ellington makes free throw 2 of 2
0:07.0,A. Bradley misses 3-pt shot from 24 ft,,111-118,,
0:05.0,,,111-118,,Defensive rebound by W. Ellington
0:00.0,End of 1st overtime,,,,End of 1st overtime
