time,Charlotte,pts.away,score,pts.home,Phoenix
1:54.0,,,93-87,,Offensive rebound by P. Tucker
1:53.0,,,93-89,2,P. Tucker makes 2-pt shot from 1 ft
1:31.0,C. Zeller makes 2-pt shot at rim (assist by L. Stephenson),2,95-89,,
1:20.0,,,95-89,,M. Morris misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by K. Walker,,95-89,,
1:02.0,K. Walker makes 2-pt shot from 1 ft,2,97-89,,
1:02.0,,,97-89,,Phoenix full timeout
1:02.0,,,97-89,,M. Morris enters the game for M. Plumlee
1:02.0,M. Williams enters the game for A. Jefferson,,97-89,,
0:58.0,,,97-91,2,E. Bledsoe makes 2-pt shot from 1 ft
0:37.0,L. Stephenson makes 2-pt shot from 1 ft (assist by C. Zeller),2,99-91,,
0:33.0,,,99-93,2,G. Dragic makes 2-pt shot at rim
0:31.0,,,99-93,,Personal take foul by M. Morris (drawn by K. Walker)
0:31.0,Charlotte full timeout,,99-93,,
0:30.0,,,99-93,,Personal take foul by P. Tucker (drawn by G. Neal)
0:30.0,G. Neal makes free throw 1 of 2,1,100-93,,
0:30.0,G. Neal makes free throw 2 of 2,1,101-93,,
0:23.0,,,101-95,2,G. Dragic makes 2-pt shot from 1 ft
0:19.0,,,101-95,,Personal foul by M. Morris (drawn by G. Neal)
0:19.0,,,101-95,,I. Thomas enters the game for M. Morris
0:19.0,G. Neal makes free throw 1 of 2,1,102-95,,
0:19.0,G. Neal makes free throw 2 of 2,1,103-95,,
0:12.0,,,103-95,,E. Bledsoe misses 3-pt shot from 25 ft (block by K. Walker)
0:10.0,Defensive rebound by G. Neal,,103-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
