time,Golden State,pts.away,score,pts.home,Orlando
2:25.0,,,109-87,,Shooting foul by J. Holiday (drawn by B. Gordon)
2:25.0,,,109-88,1,B. Gordon makes free throw 1 of 2
2:25.0,O. Kuzmic enters the game for H. Barnes,,109-88,,
2:25.0,,,109-89,1,B. Gordon makes free throw 2 of 2
2:04.0,J. Holiday misses 2-pt shot from 15 ft,,109-89,,
2:02.0,,,109-89,,Defensive rebound by K. O'Quinn
1:54.0,,,109-89,,Shooting foul by B. Rush (drawn by W. Green)
1:54.0,,,109-90,1,W. Green makes free throw 1 of 2
1:54.0,,,109-91,1,W. Green makes free throw 2 of 2
1:40.0,Turnover by O. Kuzmic (bad pass; steal by W. Green),,109-91,,
1:36.0,,,109-93,2,E. Payton makes 2-pt shot from 1 ft (assist by W. Green)
1:27.0,Turnover by S. Livingston (bad pass),,109-93,,
1:13.0,,,109-93,,B. Gordon misses 3-pt shot from 25 ft
1:12.0,,,109-93,,Offensive rebound by K. O'Quinn
1:08.0,,,109-93,,W. Green misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by O. Kuzmic,,109-93,,
0:58.0,Shooting foul by E. Payton (drawn by S. Livingston),,109-93,,
0:58.0,S. Livingston makes 2-pt shot from 13 ft,2,111-93,,
0:58.0,S. Livingston misses free throw 1 of 1,,111-93,,
0:58.0,,,111-93,,Defensive rebound by K. O'Quinn
0:48.0,,,111-93,,E. Payton misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by O. Kuzmic,,111-93,,
0:43.0,Turnover by S. Livingston (bad pass; steal by K. O'Quinn),,111-93,,
0:33.0,,,111-96,3,B. Gordon makes 3-pt shot from 26 ft (assist by K. O'Quinn)
0:23.0,J. Holiday misses 3-pt shot from 26 ft,,111-96,,
0:22.0,,,111-96,,Defensive rebound by B. Gordon
0:18.0,,,111-96,,Turnover by B. Gordon (bad pass)
0:00.0,End of 4th quarter,,,,End of 4th quarter
