time,Philadelphia,pts.away,score,pts.home,Brooklyn
3:16.0,Offensive charge foul by R. Covington,,36-39,,
3:16.0,Turnover by R. Covington (offensive foul),,36-39,,
3:16.0,T. Wroten enters the game for H. Thompson,,36-39,,
3:16.0,,,36-39,,Brooklyn full timeout
3:01.0,,,36-39,,D. Williams misses 2-pt shot from 8 ft
3:00.0,Defensive rebound by R. Covington,,36-39,,
2:37.0,M. Carter-Williams makes 3-pt shot from 24 ft (assist by T. Wroten),3,39-39,,
2:26.0,Personal foul by M. Carter-Williams (drawn by J. Johnson),,39-39,,
2:18.0,,,39-42,3,J. Johnson makes 3-pt shot from 23 ft (assist by J. Jack)
2:02.0,T. Wroten misses 2-pt shot from 6 ft,,39-42,,
2:01.0,Offensive rebound by H. Sims,,39-42,,
1:44.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by T. Wroten),2,41-42,,
1:28.0,,,41-44,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Williams)
1:11.0,R. Covington misses 3-pt shot from 25 ft,,41-44,,
1:10.0,Offensive rebound by M. Carter-Williams,,41-44,,
0:55.0,Turnover by T. Wroten (bad pass; steal by J. Jack),,41-44,,
0:51.0,,,41-44,,M. Plumlee misses 2-pt shot from 3 ft
0:50.0,Defensive rebound by T. Wroten,,41-44,,
0:47.0,Shooting foul by J. Jack (drawn by H. Sims),,41-44,,
0:47.0,H. Sims makes free throw 1 of 2,1,42-44,,
0:47.0,K. McDaniels enters the game for R. Covington,,42-44,,
0:47.0,,,42-44,,A. Anderson enters the game for J. Jack
0:47.0,A. Shved enters the game for M. Carter-Williams,,42-44,,
0:47.0,H. Sims makes free throw 2 of 2,1,43-44,,
0:36.0,,,43-44,,Turnover by J. Johnson (bad pass; steal by T. Wroten)
0:31.0,H. Sims makes 2-pt shot at rim (assist by T. Wroten),2,45-44,,
0:08.0,,,45-44,,S. Karasev misses 2-pt shot from 8 ft
0:07.0,Defensive rebound by K. McDaniels,,45-44,,
0:02.0,Turnover by K. McDaniels (bad pass; steal by S. Karasev),,45-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,45-44,,K. Garnett misses 2-pt shot from 13 ft
11:45.0,Defensive rebound by R. Covington,,45-44,,
11:19.0,M. Carter-Williams misses 3-pt shot from 35 ft,,45-44,,
11:18.0,,,45-44,,Defensive rebound by M. Plumlee
11:12.0,,,45-44,,J. Johnson misses 2-pt shot from 17 ft
11:11.0,Defensive rebound by Team,,45-44,,
11:02.0,Turnover by R. Covington (traveling),,45-44,,
10:52.0,,,45-46,2,M. Plumlee makes 2-pt shot at rim (assist by D. Williams)
10:37.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,45-46,,
10:36.0,,,45-46,,Defensive rebound by K. Garnett
10:25.0,,,45-48,2,K. Garnett makes 2-pt shot from 19 ft (assist by D. Williams)
10:04.0,R. Covington makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,48-48,,
9:42.0,,,48-51,3,S. Karasev makes 3-pt shot from 24 ft (assist by K. Garnett)
9:25.0,R. Covington misses 3-pt shot from 22 ft,,48-51,,
9:24.0,,,48-51,,Defensive rebound by Team
9:11.0,Personal foul by H. Thompson (drawn by J. Johnson),,48-51,,
8:58.0,,,48-51,,K. Garnett misses 2-pt shot from 15 ft
8:57.0,Defensive rebound by M. Carter-Williams,,48-51,,
8:48.0,N. Noel misses 2-pt shot from 2 ft,,48-51,,
8:47.0,Offensive rebound by N. Noel,,48-51,,
8:46.0,N. Noel misses 2-pt shot from 2 ft,,48-51,,
8:45.0,,,48-51,,Defensive rebound by K. Garnett
8:30.0,,,48-51,,K. Garnett misses 2-pt shot from 4 ft
8:29.0,Defensive rebound by H. Thompson,,48-51,,
8:15.0,,,48-51,,Personal foul by K. Garnett (drawn by N. Noel)
8:11.0,,,48-51,,Personal foul by S. Karasev (drawn by N. Noel)
8:04.0,R. Covington misses 3-pt shot from 24 ft,,48-51,,
8:03.0,,,48-51,,Defensive rebound by J. Johnson
7:55.0,,,48-51,,Shooting foul by M. Carter-Williams (drawn by D. Williams)
7:55.0,,,48-51,,D. Williams misses free throw 1 of 2
7:55.0,,,48-51,,Offensive rebound by Team
7:55.0,,,48-52,1,D. Williams makes free throw 2 of 2
7:36.0,M. Carter-Williams misses 2-pt shot from 9 ft,,48-52,,
7:35.0,Offensive rebound by N. Noel,,48-52,,
7:34.0,N. Noel misses 2-pt shot from 1 ft,,48-52,,
7:33.0,,,48-52,,Defensive rebound by K. Garnett
7:26.0,,,48-54,2,M. Plumlee makes 2-pt shot from 1 ft (assist by K. Garnett)
7:11.0,Turnover by N. Noel (bad pass; steal by D. Williams),,48-54,,
7:05.0,,,48-54,,J. Johnson misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by N. Noel,,48-54,,
6:59.0,Philadelphia full timeout,,48-54,,
6:59.0,,,48-54,,C. Jefferson enters the game for K. Garnett
6:59.0,H. Sims enters the game for N. Noel,,48-54,,
6:43.0,M. Carter-Williams misses 2-pt shot from 18 ft,,48-54,,
6:42.0,,,48-54,,Defensive rebound by J. Johnson
6:24.0,,,48-54,,D. Williams misses 2-pt shot from 9 ft
6:22.0,Defensive rebound by Team,,48-54,,
6:22.0,T. Wroten enters the game for H. Thompson,,48-54,,
6:07.0,H. Sims makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,50-54,,
5:49.0,,,50-54,,D. Williams misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by M. Carter-Williams,,50-54,,
5:37.0,Turnover by L. Mbah a Moute (lost ball),,50-54,,
5:17.0,,,50-54,,Turnover by J. Johnson (bad pass; steal by L. Mbah a Moute)
5:15.0,,,50-54,,Shooting block foul by D. Williams (drawn by R. Covington)
5:15.0,R. Covington makes free throw 1 of 2,1,51-54,,
5:15.0,R. Covington makes free throw 2 of 2,1,52-54,,
5:04.0,,,52-54,,D. Williams misses 3-pt shot from 25 ft
5:03.0,,,52-54,,Offensive rebound by D. Williams
4:52.0,,,52-56,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
4:29.0,Shooting foul by M. Plumlee (drawn by M. Carter-Williams),,52-56,,
4:29.0,M. Carter-Williams misses free throw 1 of 2,,52-56,,
4:29.0,Offensive rebound by Team,,52-56,,
4:29.0,K. McDaniels enters the game for R. Covington,,52-56,,
4:29.0,,,52-56,,B. Bogdanovic enters the game for S. Karasev
4:29.0,,,52-56,,A. Anderson enters the game for J. Johnson
4:29.0,M. Carter-Williams makes free throw 2 of 2,1,53-56,,
4:05.0,,,53-56,,D. Williams misses 3-pt shot from 28 ft
4:04.0,,,53-56,,Offensive rebound by M. Plumlee
4:01.0,,,53-56,,M. Plumlee misses 2-pt shot at rim
4:00.0,Defensive rebound by L. Mbah a Moute,,53-56,,
3:47.0,Shooting foul by B. Bogdanovic (drawn by T. Wroten),,53-56,,
3:47.0,T. Wroten misses free throw 1 of 2,,53-56,,
3:47.0,Offensive rebound by Team,,53-56,,
3:47.0,J. Grant enters the game for L. Mbah a Moute,,53-56,,
3:47.0,T. Wroten makes free throw 2 of 2,1,54-56,,
3:38.0,,,54-56,,Turnover by D. Williams (bad pass)
3:23.0,M. Carter-Williams makes 2-pt shot at rim,2,56-56,,
3:02.0,,,56-59,3,A. Anderson makes 3-pt shot from 23 ft (assist by D. Williams)
2:47.0,H. Sims misses 2-pt shot from 15 ft,,56-59,,
2:46.0,,,56-59,,Defensive rebound by C. Jefferson
2:39.0,,,56-59,,D. Williams misses 2-pt shot from 15 ft
2:38.0,Defensive rebound by J. Grant,,56-59,,
2:25.0,H. Sims makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,58-59,,
2:03.0,,,58-59,,B. Bogdanovic misses 3-pt shot from 23 ft
2:02.0,Defensive rebound by M. Carter-Williams,,58-59,,
1:39.0,J. Grant misses 2-pt shot from 2 ft,,58-59,,
1:38.0,Offensive rebound by H. Sims,,58-59,,
1:37.0,H. Sims misses 2-pt shot from 1 ft,,58-59,,
1:36.0,,,58-59,,Defensive rebound by M. Plumlee
1:36.0,Personal foul by H. Sims (drawn by M. Plumlee),,58-59,,
1:36.0,,,58-59,,Brooklyn full timeout
1:36.0,,,58-59,,J. Jack enters the game for D. Williams
1:36.0,A. Shved enters the game for M. Carter-Williams,,58-59,,
1:14.0,,,58-61,2,J. Jack makes 2-pt shot from 20 ft
