time,Boston,pts.away,score,pts.home,Miami
1:30.0,,,98-88,1,M. Chalmers makes free throw 1 of 2
1:30.0,,,98-89,1,M. Chalmers makes free throw 2 of 2
1:07.0,J. Crowder misses 3-pt shot from 22 ft,,98-89,,
1:06.0,,,98-89,,Defensive rebound by M. Chalmers
0:57.0,,,98-89,,T. Johnson misses 3-pt shot from 23 ft
0:56.0,Defensive rebound by B. Bass,,98-89,,
0:45.0,B. Bass makes 2-pt shot at rim (assist by E. Turner),2,100-89,,
0:45.0,,,100-89,,Miami full timeout
0:45.0,,,100-89,,H. Walker enters the game for T. Johnson
0:43.0,,,100-89,,H. Walker misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by J. Jerebko,,100-89,,
0:26.0,Technical foul by E. Turner,,100-89,,
0:26.0,,,100-89,,Technical foul by H. Walker
0:26.0,,,100-89,,H. Walker ejected from game
0:26.0,,,100-89,,T. Johnson enters the game for H. Walker
0:26.0,E. Turner ejected from game,,100-89,,
0:26.0,P. Pressey enters the game for E. Turner,,100-89,,
0:26.0,L. Datome enters the game for I. Thomas,,100-89,,
0:26.0,Turnover by B. Bass (lost ball; steal by M. Chalmers),,100-89,,
0:26.0,Jump ball: B. Bass vs. T. Johnson (M. Chalmers gains possession),,,,Jump ball: B. Bass vs. T. Johnson (M. Chalmers gains possession)
0:21.0,Personal foul by L. Datome (drawn by M. Chalmers),,100-89,,
0:21.0,,,100-89,,M. Chalmers misses free throw 1 of 3
0:21.0,,,100-89,,Offensive rebound by Team
0:21.0,,,100-89,,M. Chalmers misses free throw 2 of 3
0:21.0,,,100-89,,Offensive rebound by Team
0:21.0,,,100-89,,S. Napier enters the game for D. Wade
0:21.0,,,100-90,1,M. Chalmers makes free throw 3 of 3
0:21.0,Boston full timeout,,100-90,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
