time,Cleveland,pts.away,score,pts.home,Toronto
4:20.0,T. Thompson misses free throw 2 of 2,,42-35,,
4:18.0,,,42-35,,Defensive rebound by P. Patterson
4:05.0,,,42-35,,G. Vasquez misses 2-pt shot from 5 ft
4:04.0,Defensive rebound by Team,,42-35,,
4:04.0,,,42-35,,Loose ball foul by C. Hayes (drawn by T. Thompson)
3:49.0,K. Love misses 3-pt shot from 23 ft,,42-35,,
3:48.0,,,42-35,,Defensive rebound by P. Patterson
3:37.0,,,42-37,2,J. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
3:25.0,L. James misses 3-pt shot from 24 ft,,42-37,,
3:24.0,,,42-37,,Defensive rebound by K. Lowry
3:18.0,,,42-37,,K. Lowry misses 3-pt shot from 26 ft
3:17.0,Defensive rebound by S. Marion,,42-37,,
3:09.0,S. Marion makes 2-pt shot from 12 ft (assist by L. James),2,44-37,,
2:51.0,,,44-39,2,C. Hayes makes 2-pt shot from 1 ft (assist by G. Vasquez)
2:26.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,46-39,,
2:15.0,,,46-41,2,K. Lowry makes 2-pt shot from 2 ft
2:14.0,,,46-41,,Technical foul by K. Lowry
2:14.0,Cleveland full timeout,,46-41,,
2:14.0,K. Irving enters the game for T. Thompson,,46-41,,
2:14.0,L. James misses technical free throw,,46-41,,
2:14.0,Offensive rebound by Team,,46-41,,
1:54.0,Shooting foul by J. Johnson (drawn by L. James),,46-41,,
1:54.0,L. James makes 2-pt shot from 2 ft,2,48-41,,
1:54.0,L. James makes free throw 1 of 1,1,49-41,,
1:30.0,,,49-41,,G. Vasquez misses 2-pt shot from 4 ft
1:29.0,,,49-41,,Offensive rebound by C. Hayes
1:29.0,,,49-41,,Shooting foul by L. James (drawn by C. Hayes)
1:29.0,,,49-42,1,C. Hayes makes free throw 1 of 2
1:29.0,,,49-42,,C. Hayes misses free throw 2 of 2
1:28.0,Defensive rebound by S. Marion,,49-42,,
1:06.0,L. James misses 2-pt shot from 20 ft,,49-42,,
1:05.0,Offensive rebound by K. Irving,,49-42,,
0:58.0,L. James makes 2-pt shot at rim (assist by D. Waiters),2,51-42,,
0:37.0,,,51-42,,G. Vasquez misses 2-pt shot from 5 ft
0:36.0,,,51-42,,Offensive rebound by C. Hayes
0:32.0,,,51-42,,P. Patterson misses 2-pt shot from 1 ft (block by L. James)
0:29.0,Defensive rebound by K. Love,,51-42,,
0:28.0,Turnover by K. Love (bad pass),,51-42,,
0:20.0,,,51-42,,Toronto full timeout
0:20.0,,,51-42,,L. Williams enters the game for C. Hayes
0:20.0,J. Harris enters the game for K. Irving,,51-42,,
0:04.0,,,51-42,,L. Williams misses 2-pt shot from 19 ft
0:03.0,,,51-42,,Offensive rebound by K. Lowry
0:01.0,,,51-42,,Shooting foul by D. Waiters (drawn by K. Lowry)
0:01.0,Technical foul by D. Waiters (drawn by K. Lowry),,51-42,,
0:01.0,,,51-43,1,K. Lowry makes technical free throw
0:01.0,,,51-43,,K. Lowry misses free throw 1 of 2
0:01.0,,,51-43,,Offensive rebound by Team
0:01.0,,,51-44,1,K. Lowry makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
