time,Chicago,pts.away,score,pts.home,LA Clippers
3:13.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by T. Gibson),3,98-87,,
2:54.0,Personal foul by K. Hinrich (drawn by C. Paul),,98-87,,
2:54.0,Chicago full timeout,,98-87,,
2:54.0,,,98-87,,C. Paul misses free throw 1 of 2
2:54.0,,,98-87,,Offensive rebound by Team
2:54.0,,,98-88,1,C. Paul makes free throw 2 of 2
2:35.0,M. Dunleavy makes 3-pt shot from 26 ft (assist by T. Gibson),3,101-88,,
2:20.0,,,101-88,,J. Crawford misses 3-pt shot from 25 ft
2:18.0,,,101-88,,Offensive rebound by D. Jordan
2:12.0,,,101-88,,C. Paul misses 2-pt shot from 4 ft
2:10.0,Defensive rebound by J. Butler,,101-88,,
1:47.0,T. Gibson makes 2-pt shot from 11 ft (assist by J. Butler),2,103-88,,
1:26.0,Personal foul by T. Gibson (drawn by J. Crawford),,103-88,,
1:26.0,,,103-88,,J. Crawford misses free throw 1 of 2
1:26.0,,,103-88,,Offensive rebound by Team
1:26.0,,,103-88,,Technical foul by J. Crawford
1:26.0,M. Dunleavy misses technical free throw,,103-88,,
1:26.0,,,103-88,,Offensive rebound by Team
1:26.0,,,103-89,1,J. Crawford makes free throw 2 of 2
1:16.0,Shooting foul by J. Crawford (drawn by J. Butler),,103-89,,
1:16.0,J. Butler makes free throw 1 of 2,1,104-89,,
1:16.0,,,104-89,,S. Hawes enters the game for M. Barnes
1:16.0,,,104-89,,E. Udoh enters the game for B. Griffin
1:16.0,,,104-89,,J. Cunningham enters the game for D. Jordan
1:16.0,,,104-89,,J. Farmar enters the game for C. Paul
1:16.0,,,104-89,,R. Bullock enters the game for J. Crawford
1:16.0,J. Butler makes free throw 2 of 2,1,105-89,,
1:01.0,,,105-89,,Turnover by E. Udoh (bad pass; steal by J. Butler)
0:38.0,J. Butler misses 2-pt shot from 21 ft,,105-89,,
0:37.0,,,105-89,,Defensive rebound by J. Farmar
0:28.0,,,105-89,,J. Farmar misses 2-pt shot from 16 ft
0:26.0,Defensive rebound by J. Noah,,105-89,,
0:04.0,Turnover by Team (shot clock),,105-89,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
