time,Indiana,pts.away,score,pts.home,Denver
3:53.0,,,64-67,2,T. Mozgov makes 2-pt shot from 1 ft
3:34.0,D. West misses 2-pt shot from 17 ft,,64-67,,
3:33.0,,,64-67,,Defensive rebound by A. Afflalo
3:25.0,,,64-67,,Shooting foul by R. Hibbert (drawn by T. Lawson)
3:25.0,,,64-68,1,T. Lawson makes free throw 1 of 2
3:25.0,L. Allen enters the game for R. Hibbert,,64-68,,
3:25.0,,,64-69,1,T. Lawson makes free throw 2 of 2
3:25.0,,,64-69,,Technical foul by K. Faried
3:25.0,Technical foul by D. West,,64-69,,
3:13.0,C. Miles misses 3-pt shot from 24 ft,,64-69,,
3:12.0,Offensive rebound by C. Miles,,64-69,,
2:57.0,D. Sloan makes 2-pt shot from 1 ft,2,66-69,,
2:49.0,,,66-69,,K. Faried misses 2-pt shot from 1 ft (block by D. West)
2:48.0,Defensive rebound by D. West,,66-69,,
2:36.0,Shooting foul by T. Mozgov (drawn by L. Allen),,66-69,,
2:36.0,,,66-69,,Denver full timeout
2:36.0,L. Allen makes free throw 1 of 2,1,67-69,,
2:36.0,L. Allen makes free throw 2 of 2,1,68-69,,
2:21.0,,,68-72,3,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson)
1:59.0,D. West misses 2-pt shot from 8 ft,,68-72,,
1:58.0,,,68-72,,Defensive rebound by K. Faried
1:50.0,,,68-74,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
1:39.0,D. West misses 3-pt shot from 24 ft,,68-74,,
1:38.0,,,68-74,,Defensive rebound by A. Afflalo
1:17.0,,,68-74,,W. Chandler misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by D. West,,68-74,,
1:05.0,D. Sloan misses 2-pt shot from 6 ft,,68-74,,
1:05.0,Offensive rebound by L. Allen,,68-74,,
1:05.0,L. Allen makes 2-pt shot from 1 ft,2,70-74,,
0:46.0,,,70-74,,T. Lawson misses 2-pt shot from 19 ft
0:45.0,Defensive rebound by D. West,,70-74,,
0:45.0,Indiana full timeout,,70-74,,
0:38.0,D. West misses 2-pt shot from 17 ft,,70-74,,
0:36.0,,,70-74,,Defensive rebound by W. Chandler
0:14.0,,,70-74,,T. Lawson misses 2-pt shot from 18 ft
0:13.0,Defensive rebound by L. Allen,,70-74,,
0:13.0,Indiana full timeout,,70-74,,
0:13.0,D. Rudez enters the game for R. Stuckey,,70-74,,
0:05.0,C. Miles misses 3-pt shot from 26 ft,,70-74,,
0:04.0,Offensive rebound by D. Sloan,,70-74,,
0:01.0,D. Sloan makes 3-pt shot from 26 ft,3,73-74,,
0:01.0,Personal foul by C. Miles (drawn by A. Afflalo),,73-74,,
0:01.0,,,73-75,1,A. Afflalo makes free throw 1 of 2
0:01.0,,,73-76,1,A. Afflalo makes free throw 2 of 2
0:01.0,Indiana full timeout,,73-76,,
0:01.0,,,73-76,,A. Gee enters the game for T. Mozgov
0:01.0,C. Copeland enters the game for L. Allen,,73-76,,
0:00.0,C. Miles misses 3-pt shot from 29 ft,,73-76,,
0:00.0,Offensive rebound by Team,,73-76,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
