time,San Antonio,pts.away,score,pts.home,Portland
0:48.0,,,91-109,,A. Gee misses 2-pt shot from 2 ft (block by C. Joseph)
0:44.0,Defensive rebound by C. Joseph,,91-109,,
0:44.0,Shooting foul by D. Wright (drawn by C. Joseph),,91-109,,
0:44.0,C. Joseph makes free throw 1 of 2,1,92-109,,
0:44.0,C. Joseph makes free throw 2 of 2,1,93-109,,
0:28.0,,,93-111,2,M. Leonard makes 2-pt shot from 2 ft (assist by A. Crabbe)
0:22.0,C. Joseph misses 2-pt shot from 1 ft,,93-111,,
0:20.0,Offensive rebound by J. Ayres,,93-111,,
0:20.0,J. Ayres makes 2-pt shot from 1 ft,2,95-111,,
0:20.0,Shooting foul by M. Leonard (drawn by J. Ayres),,95-111,,
0:20.0,J. Ayres misses free throw 1 of 1,,95-111,,
0:19.0,,,95-111,,Defensive rebound by D. Wright
0:00.0,End of 4th quarter,,,,End of 4th quarter
