time,Orlando,pts.away,score,pts.home,Denver
3:12.0,,,73-82,,A. Afflalo misses 2-pt shot from 15 ft
3:11.0,Defensive rebound by N. Vucevic,,73-82,,
2:58.0,T. Harris makes 3-pt shot from 22 ft (assist by V. Oladipo),3,76-82,,
2:39.0,,,76-82,,Turnover by T. Lawson (lost ball; steal by A. Nicholson)
2:34.0,V. Oladipo misses 2-pt shot from 2 ft,,76-82,,
2:32.0,,,76-82,,Defensive rebound by K. Faried
2:26.0,,,76-85,3,T. Lawson makes 3-pt shot from 22 ft (assist by A. Afflalo)
2:26.0,Orlando full timeout,,76-85,,
2:17.0,,,76-85,,Personal block foul by N. Robinson (drawn by V. Oladipo)
2:17.0,V. Oladipo makes free throw 1 of 2,1,77-85,,
2:17.0,V. Oladipo misses free throw 2 of 2,,77-85,,
2:15.0,,,77-85,,Defensive rebound by K. Faried
1:58.0,,,77-87,2,J. Hickson makes 2-pt shot at rim (assist by K. Faried)
1:49.0,N. Vucevic makes 2-pt shot from 8 ft,2,79-87,,
1:32.0,,,79-87,,Shooting foul by N. Vucevic (drawn by N. Robinson)
1:32.0,,,79-88,1,N. Robinson makes free throw 1 of 2
1:32.0,,,79-89,1,N. Robinson makes free throw 2 of 2
1:32.0,Orlando full timeout,,79-89,,
1:28.0,T. Harris makes 3-pt shot from 26 ft (assist by V. Oladipo),3,82-89,,
1:25.0,Personal foul by V. Oladipo (drawn by N. Robinson),,82-89,,
1:25.0,,,82-90,1,N. Robinson makes free throw 1 of 2
1:25.0,,,82-91,1,N. Robinson makes free throw 2 of 2
1:18.0,A. Nicholson makes 3-pt shot from 25 ft (assist by E. Payton),3,85-91,,
1:13.0,Personal foul by T. Harris (drawn by T. Lawson),,85-91,,
1:13.0,,,85-92,1,T. Lawson makes free throw 1 of 2
1:13.0,,,85-93,1,T. Lawson makes free throw 2 of 2
1:06.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,87-93,,
1:00.0,,,87-93,,Turnover by K. Faried (bad pass; steal by E. Payton)
0:56.0,A. Nicholson makes 3-pt shot from 25 ft (assist by E. Payton),3,90-93,,
0:56.0,,,90-93,,Denver full timeout
0:56.0,,,90-93,,W. Chandler enters the game for K. Faried
0:56.0,E. Fournier enters the game for A. Nicholson,,90-93,,
0:40.0,,,90-93,,T. Lawson misses 2-pt shot from 18 ft
0:39.0,,,90-93,,Offensive rebound by N. Robinson
0:18.0,,,90-93,,N. Robinson misses 2-pt shot from 18 ft
0:16.0,Defensive rebound by V. Oladipo,,90-93,,
0:02.0,E. Fournier misses 3-pt shot from 26 ft,,90-93,,
0:00.0,Offensive rebound by Team,,90-93,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
