time,LA Clippers,pts.away,score,pts.home,Brooklyn
4:16.0,Shooting foul by J. Jack (drawn by C. Paul),,90-81,,
4:16.0,C. Paul misses free throw 1 of 2,,90-81,,
4:16.0,Offensive rebound by Team,,90-81,,
4:16.0,C. Paul makes free throw 2 of 2,1,91-81,,
3:58.0,,,91-84,3,J. Johnson makes 3-pt shot from 24 ft
3:39.0,J. Crawford misses 2-pt shot from 15 ft,,91-84,,
3:38.0,,,91-84,,Defensive rebound by J. Johnson
3:23.0,,,91-86,2,B. Lopez makes 2-pt shot from 9 ft (assist by J. Jack)
3:00.0,C. Paul makes 2-pt shot from 6 ft,2,93-86,,
2:50.0,,,93-86,,J. Johnson misses 2-pt shot from 1 ft
2:49.0,,,93-86,,Offensive rebound by M. Plumlee
2:48.0,,,93-86,,M. Plumlee misses 2-pt shot from 1 ft
2:47.0,,,93-86,,Offensive rebound by M. Plumlee
2:47.0,,,93-86,,Shooting foul by C. Paul (drawn by M. Plumlee)
2:47.0,LA Clippers full timeout,,93-86,,
2:47.0,,,93-86,,M. Plumlee misses free throw 1 of 2
2:47.0,,,93-86,,Offensive rebound by Team
2:47.0,,,93-87,1,M. Plumlee makes free throw 2 of 2
2:37.0,,,93-87,,Personal foul by B. Lopez (drawn by D. Jordan)
2:34.0,,,93-87,,Personal foul by B. Lopez (drawn by D. Jordan)
2:34.0,D. Jordan makes free throw 1 of 2,1,94-87,,
2:34.0,D. Jordan misses free throw 2 of 2,,94-87,,
2:33.0,,,94-87,,Defensive rebound by J. Johnson
2:31.0,Personal foul by C. Paul (drawn by M. Plumlee),,94-87,,
2:31.0,,,94-87,,M. Plumlee misses free throw 1 of 2
2:31.0,,,94-87,,Offensive rebound by Team
2:31.0,S. Hawes enters the game for D. Jordan,,94-87,,
2:31.0,,,94-87,,M. Plumlee misses free throw 2 of 2
2:30.0,Defensive rebound by C. Paul,,94-87,,
2:14.0,C. Paul misses 3-pt shot from 23 ft,,94-87,,
2:13.0,,,94-87,,Defensive rebound by D. Williams
2:05.0,,,94-87,,J. Jack misses 3-pt shot from 24 ft
2:04.0,Defensive rebound by C. Paul,,94-87,,
1:46.0,M. Barnes makes 2-pt shot from 2 ft (assist by B. Griffin),2,96-87,,
1:46.0,,,96-87,,Brooklyn full timeout
1:46.0,D. Jordan enters the game for S. Hawes,,96-87,,
1:46.0,,,96-87,,A. Anderson enters the game for M. Plumlee
1:34.0,,,96-90,3,A. Anderson makes 3-pt shot from 22 ft (assist by J. Jack)
1:13.0,C. Paul misses 2-pt shot from 5 ft,,96-90,,
1:12.0,Offensive rebound by D. Jordan,,96-90,,
1:11.0,D. Jordan makes 2-pt shot at rim,2,98-90,,
1:05.0,,,98-93,3,D. Williams makes 3-pt shot from 23 ft
0:57.0,Shooting foul by B. Lopez (drawn by B. Griffin),,98-93,,
0:57.0,B. Griffin misses free throw 1 of 2,,98-93,,
0:57.0,Offensive rebound by Team,,98-93,,
0:57.0,B. Griffin misses free throw 2 of 2,,98-93,,
0:56.0,,,98-93,,Defensive rebound by J. Johnson
0:53.0,Personal foul by M. Barnes (drawn by J. Johnson),,98-93,,
0:53.0,,,98-93,,J. Johnson misses free throw 1 of 2
0:53.0,,,98-93,,Offensive rebound by Team
0:53.0,,,98-93,,J. Johnson misses free throw 2 of 2
0:51.0,,,98-93,,Offensive rebound by B. Lopez
0:48.0,,,98-96,3,J. Johnson makes 3-pt shot from 26 ft
0:26.0,C. Paul misses 2-pt shot from 16 ft,,98-96,,
0:25.0,,,98-96,,Defensive rebound by J. Jack
0:23.0,,,98-96,,Brooklyn full timeout
0:15.0,,,98-99,3,A. Anderson makes 3-pt shot from 23 ft (assist by J. Jack)
0:15.0,,,98-99,,Shooting foul by B. Griffin (drawn by A. Anderson)
0:15.0,G. Davis enters the game for B. Griffin,,98-99,,
0:15.0,S. Hawes enters the game for J. Crawford,,98-99,,
0:15.0,,,98-100,1,A. Anderson makes free throw 1 of 1
0:15.0,LA Clippers full timeout,,98-100,,
0:15.0,J. Crawford enters the game for G. Davis,,98-100,,
0:15.0,,,98-100,,K. Garnett enters the game for B. Lopez
0:09.0,C. Paul makes 2-pt shot from 2 ft,2,100-100,,
0:09.0,,,100-100,,Brooklyn full timeout
0:09.0,A. Rivers enters the game for J. Crawford,,100-100,,
0:09.0,D. Jones enters the game for S. Hawes,,100-100,,
0:09.0,,,100-100,,B. Lopez enters the game for K. Garnett
0:01.0,,,100-102,2,J. Jack makes 2-pt shot from 16 ft
0:01.0,LA Clippers full timeout,,100-102,,
0:01.0,J. Crawford enters the game for D. Jones,,100-102,,
0:01.0,S. Hawes enters the game for A. Rivers,,100-102,,
0:01.0,LA Clippers full timeout,,100-102,,
0:01.0,A. Rivers enters the game for D. Jordan,,100-102,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
