time,Cleveland,pts.away,score,pts.home,Dallas
7:09.0,,,111-87,,Offensive rebound by T. Chandler
7:05.0,,,111-89,2,M. Ellis makes 2-pt shot from 13 ft
6:42.0,K. Love makes 3-pt shot from 22 ft (assist by L. James),3,114-89,,
6:38.0,,,114-89,,Turnover by R. Rondo (bad pass; steal by I. Shumpert)
6:33.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Love),2,116-89,,
6:32.0,,,116-89,,Dallas full timeout
6:32.0,J. Smith enters the game for L. James,,116-89,,
6:21.0,,,116-89,,C. Villanueva misses 2-pt shot from 20 ft
6:19.0,Defensive rebound by J. Smith,,116-89,,
5:59.0,K. Love makes 2-pt shot from 10 ft,2,118-89,,
5:48.0,,,118-89,,Turnover by C. Parsons (bad pass; steal by I. Shumpert)
5:43.0,J. Smith misses 3-pt shot from 24 ft,,118-89,,
5:41.0,Offensive rebound by I. Shumpert,,118-89,,
5:41.0,T. Mozgov misses 2-pt shot at rim,,118-89,,
5:37.0,,,118-89,,Defensive rebound by T. Chandler
5:26.0,,,118-89,,C. Villanueva misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by K. Love,,118-89,,
5:07.0,,,118-89,,Personal foul by R. Rondo (drawn by M. Dellavedova)
5:07.0,,,118-89,,R. Felton enters the game for C. Parsons
5:07.0,,,118-89,,B. James enters the game for T. Chandler
5:07.0,,,118-89,,R. Jefferson enters the game for M. Ellis
5:07.0,K. Perkins enters the game for K. Love,,118-89,,
5:07.0,T. Thompson enters the game for T. Mozgov,,118-89,,
4:54.0,K. Perkins makes 2-pt shot from 3 ft (assist by I. Shumpert),2,120-89,,
4:38.0,,,120-89,,Shooting foul by K. Perkins (drawn by C. Villanueva)
4:38.0,,,120-89,,C. Villanueva misses free throw 1 of 2
4:38.0,,,120-89,,Offensive rebound by Team
4:38.0,J. Harris enters the game for J. Smith,,120-89,,
4:38.0,,,120-90,1,C. Villanueva makes free throw 2 of 2
4:25.0,J. Harris misses 3-pt shot from 22 ft,,120-90,,
4:24.0,,,120-90,,Defensive rebound by C. Villanueva
4:11.0,,,120-90,,C. Villanueva misses 3-pt shot from 23 ft
4:10.0,Defensive rebound by J. Harris,,120-90,,
4:02.0,,,120-90,,Personal foul by C. Villanueva (drawn by K. Perkins)
4:02.0,J. Jones enters the game for T. Thompson,,120-90,,
3:46.0,K. Perkins misses 2-pt shot at rim (block by B. James),,120-90,,
3:46.0,Offensive rebound by Team,,120-90,,
3:46.0,Turnover by Team (shot clock),,120-90,,
3:39.0,,,120-90,,R. Felton misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by J. Jones,,120-90,,
3:27.0,J. Jones misses 3-pt shot from 26 ft,,120-90,,
3:26.0,,,120-90,,Defensive rebound by R. Felton
3:21.0,,,120-90,,Turnover by C. Villanueva (lost ball)
3:07.0,J. Jones misses 3-pt shot from 22 ft,,120-90,,
3:06.0,Offensive rebound by I. Shumpert,,120-90,,
2:45.0,J. Harris misses 3-pt shot from 22 ft,,120-90,,
2:43.0,Offensive rebound by Team,,120-90,,
2:43.0,Official timeout,,120-90,,
2:43.0,,,120-90,,J. Barea enters the game for R. Rondo
2:33.0,I. Shumpert misses 3-pt shot from 23 ft,,120-90,,
2:32.0,,,120-90,,Defensive rebound by B. James
2:22.0,,,120-90,,Turnover by B. James (lost ball; steal by I. Shumpert)
2:18.0,I. Shumpert makes 2-pt shot at rim,2,122-90,,
2:01.0,Personal block foul by I. Shumpert (drawn by R. Jefferson),,122-90,,
2:01.0,,,122-90,,R. Jefferson misses free throw 1 of 2
2:01.0,,,122-90,,Offensive rebound by Team
2:01.0,,,122-91,1,R. Jefferson makes free throw 2 of 2
1:47.0,M. Dellavedova misses 2-pt shot from 8 ft (block by R. Felton),,122-91,,
1:46.0,Offensive rebound by M. Dellavedova,,122-91,,
1:45.0,K. Perkins makes 2-pt shot at rim (assist by M. Dellavedova),2,124-91,,
1:36.0,Personal foul by J. Harris (drawn by R. Felton),,124-91,,
1:36.0,,,124-91,,R. Felton misses free throw 1 of 2
1:36.0,,,124-91,,Offensive rebound by Team
1:36.0,,,124-92,1,R. Felton makes free throw 2 of 2
1:19.0,J. Jones makes 3-pt shot from 23 ft (assist by I. Shumpert),3,127-92,,
1:00.0,,,127-94,2,B. James makes 2-pt shot at rim (assist by R. Felton)
0:45.0,M. Dellavedova misses 2-pt shot from 13 ft,,127-94,,
0:43.0,Offensive rebound by M. Dellavedova,,127-94,,
0:36.0,J. Harris misses 2-pt shot from 5 ft,,127-94,,
0:34.0,,,127-94,,Defensive rebound by R. Felton
0:28.0,,,127-94,,Shooting foul by J. Harris (drawn by C. Villanueva)
0:28.0,,,127-94,,C. Villanueva misses free throw 1 of 2
0:28.0,,,127-94,,Offensive rebound by Team
0:28.0,,,127-94,,C. Villanueva misses free throw 2 of 2
0:27.0,Defensive rebound by J. Harris,,127-94,,
0:02.0,Turnover by Team (shot clock),,127-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
