time,San Antonio,pts.away,score,pts.home,Boston
2:52.0,,,100-81,,K. Olynyk enters the game for M. Thornton
2:39.0,,,100-83,2,J. Young makes 2-pt shot from 19 ft (assist by K. Olynyk)
2:24.0,M. Belinelli makes 2-pt shot from 16 ft,2,102-83,,
2:14.0,,,102-83,,J. Young misses 2-pt shot from 18 ft
2:13.0,Defensive rebound by K. Anderson,,102-83,,
2:04.0,Turnover by M. Belinelli (lost ball; steal by D. Powell),,102-83,,
2:00.0,,,102-85,2,D. Powell makes 2-pt shot from 1 ft
1:47.0,A. Daye makes 2-pt shot from 19 ft,2,104-85,,
1:33.0,,,104-85,,Turnover by D. Powell (lost ball; steal by A. Daye)
1:25.0,M. Belinelli makes 3-pt shot from 25 ft,3,107-85,,
1:13.0,,,107-87,2,D. Powell makes 2-pt shot at rim
1:02.0,M. Bonner misses 2-pt shot at rim,,107-87,,
1:01.0,Offensive rebound by M. Bonner,,107-87,,
0:59.0,M. Bonner makes 2-pt shot from 5 ft,2,109-87,,
0:50.0,,,109-87,,J. Young misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by M. Bonner,,109-87,,
0:33.0,J. Ayres makes 2-pt shot at rim (assist by M. Belinelli),2,111-87,,
0:17.0,,,111-89,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Young)
0:00.0,End of 4th quarter,,,,End of 4th quarter
