time,New Orleans,pts.away,score,pts.home,Chicago
1:38.0,T. Evans misses 2-pt shot from 2 ft,,94-104,,
1:37.0,,,94-104,,Defensive rebound by E. Moore
1:19.0,,,94-106,2,J. Butler makes 2-pt shot from 11 ft
1:07.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,96-106,,
0:51.0,,,96-106,,D. Rose misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by A. Davis,,96-106,,
0:45.0,Shooting foul by T. Gibson (drawn by T. Evans),,96-106,,
0:45.0,T. Evans makes free throw 1 of 2,1,97-106,,
0:45.0,T. Evans makes free throw 2 of 2,1,98-106,,
0:26.0,,,98-106,,D. Rose misses 2-pt shot from 20 ft
0:25.0,Defensive rebound by R. Anderson,,98-106,,
0:25.0,New Orleans full timeout,,98-106,,
0:20.0,Turnover by T. Evans (lost ball; steal by T. Gibson),,98-106,,
0:17.0,Personal take foul by T. Evans (drawn by D. Rose),,98-106,,
0:17.0,,,98-107,1,D. Rose makes free throw 1 of 2
0:17.0,,,98-107,,D. Rose misses free throw 2 of 2
0:16.0,Defensive rebound by R. Anderson,,98-107,,
0:08.0,T. Evans misses 2-pt shot from 3 ft,,98-107,,
0:07.0,Offensive rebound by A. Davis,,98-107,,
0:07.0,A. Davis misses 2-pt shot from 1 ft,,98-107,,
0:07.0,Offensive rebound by Team,,98-107,,
0:05.0,A. Rivers misses 2-pt shot from 11 ft,,98-107,,
0:03.0,Offensive rebound by A. Davis,,98-107,,
0:02.0,A. Davis makes 2-pt shot from 5 ft,2,100-107,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
