time,Boston,pts.away,score,pts.home,Sacramento
5:55.0,,,90-92,1,D. Cousins makes free throw 2 of 2
5:40.0,A. Bradley misses 2-pt shot from 16 ft,,90-92,,
5:38.0,,,90-92,,Defensive rebound by O. Casspi
5:18.0,,,90-92,,D. Cousins misses 2-pt shot from 2 ft
5:17.0,,,90-92,,Offensive rebound by O. Casspi
5:14.0,,,90-92,,B. McLemore misses 3-pt shot from 25 ft
5:12.0,,,90-92,,Offensive rebound by O. Casspi
5:12.0,,,90-92,,Shooting foul by J. Young (drawn by O. Casspi)
5:12.0,,,90-93,1,O. Casspi makes free throw 1 of 2
5:12.0,M. Smart enters the game for J. Young,,90-93,,
5:12.0,,,90-93,,O. Casspi misses free throw 2 of 2
5:11.0,,,90-93,,Offensive rebound by O. Casspi
4:56.0,,,90-93,,Turnover by R. McCallum (bad pass; steal by E. Turner)
4:50.0,A. Bradley makes 2-pt shot from 3 ft (assist by E. Turner),2,92-93,,
4:32.0,,,92-93,,A. Miller enters the game for R. McCallum
4:22.0,,,92-95,2,D. Cousins makes 2-pt shot from 4 ft (assist by O. Casspi)
4:02.0,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner),2,94-95,,
3:44.0,Shooting block foul by J. Crowder (drawn by R. Gay),,94-95,,
3:44.0,,,94-96,1,R. Gay makes free throw 1 of 2
3:44.0,B. Bass enters the game for J. Crowder,,94-96,,
3:44.0,,,94-97,1,R. Gay makes free throw 2 of 2
3:28.0,E. Turner misses 2-pt shot from 10 ft,,94-97,,
3:28.0,,,94-97,,Defensive rebound by D. Cousins
3:10.0,,,94-97,,Shooting foul by T. Zeller (drawn by D. Cousins)
3:10.0,,,94-98,1,D. Cousins makes free throw 1 of 2
3:10.0,,,94-99,1,D. Cousins makes free throw 2 of 2
3:06.0,Boston full timeout,,94-99,,
3:02.0,A. Bradley misses 2-pt shot from 3 ft (block by D. Cousins),,94-99,,
3:00.0,,,94-99,,Defensive rebound by O. Casspi
2:46.0,,,94-101,2,R. Gay makes 2-pt shot from 18 ft
2:29.0,Turnover by E. Turner (bad pass; steal by D. Cousins),,94-101,,
2:08.0,,,94-101,,B. McLemore misses 2-pt shot from 17 ft
2:07.0,Defensive rebound by B. Bass,,94-101,,
1:51.0,A. Bradley misses 2-pt shot from 19 ft,,94-101,,
1:51.0,,,94-101,,Defensive rebound by R. Gay
1:43.0,,,94-101,,Sacramento full timeout
1:32.0,,,94-101,,R. Gay misses 3-pt shot from 22 ft
1:31.0,Defensive rebound by B. Bass,,94-101,,
1:30.0,Turnover by B. Bass (lost ball; steal by R. Gay),,94-101,,
1:29.0,Personal foul by E. Turner (drawn by R. Gay),,94-101,,
1:29.0,,,94-102,1,R. Gay makes free throw 1 of 2
1:29.0,,,94-103,1,R. Gay makes free throw 2 of 2
1:29.0,Boston full timeout,,94-103,,
1:29.0,J. Crowder enters the game for T. Zeller,,94-103,,
1:22.0,Offensive charge foul by B. Bass,,94-103,,
1:22.0,Turnover by B. Bass (offensive foul),,94-103,,
1:22.0,T. Zeller enters the game for E. Turner,,94-103,,
1:09.0,,,94-103,,Turnover by R. Gay (bad pass; steal by M. Smart)
1:02.0,M. Smart makes 3-pt shot from 27 ft (assist by T. Zeller),3,97-103,,
0:41.0,,,97-103,,D. Cousins misses 2-pt shot from 2 ft
0:41.0,,,97-103,,Offensive rebound by O. Casspi
0:38.0,Personal take foul by A. Bradley (drawn by A. Miller),,97-103,,
0:38.0,,,97-104,1,A. Miller makes free throw 1 of 2
0:38.0,,,97-105,1,A. Miller makes free throw 2 of 2
0:38.0,Boston full timeout,,97-105,,
0:38.0,E. Turner enters the game for B. Bass,,97-105,,
0:38.0,J. Young enters the game for J. Crowder,,97-105,,
0:30.0,M. Smart misses 3-pt shot from 25 ft (block by R. Gay),,97-105,,
0:29.0,,,97-105,,Defensive rebound by R. Gay
0:24.0,Personal take foul by E. Turner (drawn by B. McLemore),,97-105,,
0:24.0,,,97-105,,B. McLemore misses free throw 1 of 2
0:24.0,,,97-105,,Offensive rebound by Team
0:24.0,,,97-106,1,B. McLemore makes free throw 2 of 2
0:18.0,E. Turner makes 2-pt shot from 12 ft,2,99-106,,
0:16.0,Personal take foul by M. Smart (drawn by D. Cousins),,99-106,,
0:16.0,,,99-107,1,D. Cousins makes free throw 1 of 2
0:16.0,,,99-108,1,D. Cousins makes free throw 2 of 2
0:10.0,E. Turner misses 2-pt shot from 3 ft,,99-108,,
0:09.0,Offensive rebound by T. Zeller,,99-108,,
0:09.0,T. Zeller misses 2-pt shot from 1 ft,,99-108,,
0:08.0,,,99-108,,Defensive rebound by D. Cousins
0:08.0,Personal foul by E. Turner (drawn by D. Cousins),,99-108,,
0:08.0,,,99-109,1,D. Cousins makes free throw 1 of 2
0:08.0,,,99-109,,D. Cousins misses free throw 2 of 2
0:08.0,Defensive rebound by M. Smart,,99-109,,
0:02.0,M. Smart makes 2-pt shot from 2 ft,2,101-109,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
