time,Atlanta,pts.away,score,pts.home,Sacramento
7:08.0,Turnover by P. Millsap (lost ball; steal by R. Evans),,90-86,,
6:52.0,,,90-88,2,J. Thompson makes 2-pt shot from 9 ft (assist by A. Miller)
6:34.0,,,90-88,,B. McLemore enters the game for N. Stauskas
6:29.0,S. Mack makes 3-pt shot from 25 ft (assist by J. Teague),3,93-88,,
6:16.0,Violation by D. Carroll (kicked ball),,93-88,,
6:16.0,M. Muscala enters the game for P. Millsap,,93-88,,
6:05.0,,,93-88,,O. Casspi misses 3-pt shot from 25 ft
6:03.0,Defensive rebound by E. Brand,,93-88,,
5:55.0,J. Teague misses 2-pt shot from 3 ft,,93-88,,
5:54.0,,,93-88,,Defensive rebound by O. Casspi
5:47.0,,,93-88,,Shooting foul by M. Muscala (drawn by R. Evans)
5:47.0,,,93-88,,Sacramento full timeout
5:47.0,,,93-89,1,R. Evans makes free throw 1 of 2
5:47.0,,,93-89,,R. Evans misses free throw 2 of 2
5:44.0,Defensive rebound by D. Carroll,,93-89,,
5:39.0,,,93-89,,Personal foul by A. Miller (drawn by J. Teague)
5:18.0,S. Mack misses 3-pt shot from 30 ft,,93-89,,
5:17.0,,,93-89,,Defensive rebound by R. Evans
5:04.0,,,93-91,2,J. Thompson makes 2-pt shot from 1 ft
4:42.0,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague),3,96-91,,
4:21.0,,,96-93,2,B. McLemore makes 2-pt shot from 8 ft
4:00.0,,,96-93,,Personal foul by R. Evans (drawn by D. Carroll)
4:00.0,P. Millsap enters the game for M. Muscala,,96-93,,
4:00.0,,,96-93,,D. Cousins enters the game for R. Evans
3:50.0,Turnover by J. Teague (bad pass; steal by O. Casspi),,96-93,,
3:35.0,,,96-93,,O. Casspi misses 2-pt shot from 9 ft
3:34.0,,,96-93,,Offensive rebound by O. Casspi
3:18.0,Personal foul by E. Brand (drawn by D. Cousins),,96-93,,
3:18.0,K. Bazemore enters the game for S. Mack,,96-93,,
3:06.0,,,96-95,2,A. Miller makes 2-pt shot from 19 ft (assist by J. Thompson)
3:00.0,Atlanta full timeout,,96-95,,
3:00.0,P. Antic enters the game for E. Brand,,96-95,,
2:49.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Bazemore),3,99-95,,
2:31.0,,,99-95,,Shooting foul by K. Bazemore (drawn by J. Thompson)
2:31.0,,,99-96,1,J. Thompson makes free throw 1 of 2
2:31.0,,,99-97,1,J. Thompson makes free throw 2 of 2
2:20.0,Shooting foul by O. Casspi (drawn by P. Antic),,99-97,,
2:20.0,P. Antic misses free throw 1 of 2,,99-97,,
2:20.0,Offensive rebound by Team,,99-97,,
2:20.0,P. Antic makes free throw 2 of 2,1,100-97,,
2:11.0,,,100-99,2,A. Miller makes 2-pt shot from 4 ft
1:45.0,J. Teague misses 3-pt shot from 24 ft,,100-99,,
1:44.0,,,100-99,,Defensive rebound by B. McLemore
1:36.0,Personal foul by P. Millsap (drawn by D. Cousins),,100-99,,
1:28.0,,,100-99,,A. Miller misses 2-pt shot from 17 ft
1:28.0,Defensive rebound by K. Bazemore,,100-99,,
1:06.0,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap),3,103-99,,
0:53.0,,,103-99,,D. Cousins misses 2-pt shot from 5 ft
0:53.0,Defensive rebound by J. Teague,,103-99,,
0:34.0,J. Teague makes 2-pt shot from 5 ft,2,105-99,,
0:34.0,,,105-99,,Sacramento full timeout
0:25.0,,,105-99,,Shooting foul by P. Millsap (drawn by D. Cousins)
0:25.0,,,105-100,1,D. Cousins makes free throw 1 of 2
0:25.0,,,105-100,,R. McCallum enters the game for A. Miller
0:25.0,,,105-101,1,D. Cousins makes free throw 2 of 2
0:25.0,Atlanta full timeout,,105-101,,
0:25.0,,,105-101,,N. Stauskas enters the game for D. Cousins
0:25.0,S. Mack enters the game for K. Bazemore,,105-101,,
0:23.0,,,105-101,,Personal take foul by B. McLemore (drawn by S. Mack)
0:23.0,S. Mack misses free throw 1 of 2,,105-101,,
0:23.0,Offensive rebound by Team,,105-101,,
0:23.0,,,105-101,,D. Cousins enters the game for N. Stauskas
0:23.0,S. Mack makes free throw 2 of 2,1,106-101,,
0:23.0,,,106-101,,Sacramento full timeout
0:23.0,K. Bazemore enters the game for S. Mack,,106-101,,
0:23.0,,,106-101,,N. Stauskas enters the game for O. Casspi
0:23.0,,,106-101,,A. Miller enters the game for R. McCallum
0:19.0,,,106-101,,Shooting foul by J. Teague (drawn by N. Stauskas)
0:19.0,,,106-102,1,N. Stauskas makes free throw 1 of 3
0:19.0,,,106-102,,N. Stauskas misses free throw 2 of 3
0:19.0,,,106-102,,Offensive rebound by Team
0:19.0,,,106-102,,R. McCallum enters the game for D. Cousins
0:19.0,,,106-102,,O. Casspi enters the game for A. Miller
0:19.0,,,106-103,1,N. Stauskas makes free throw 3 of 3
0:16.0,,,106-103,,Personal foul by R. McCallum (drawn by J. Teague)
0:16.0,J. Teague makes free throw 1 of 2,1,107-103,,
0:16.0,,,107-103,,D. Cousins enters the game for O. Casspi
0:16.0,J. Teague makes free throw 2 of 2,1,108-103,,
0:16.0,,,108-103,,Sacramento full timeout
0:16.0,,,108-103,,A. Miller enters the game for R. McCallum
0:13.0,,,108-103,,D. Cousins misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by Team,,108-103,,
0:11.0,Atlanta full timeout,,108-103,,
0:11.0,,,108-103,,R. McCallum enters the game for D. Cousins
0:11.0,,,108-103,,O. Casspi enters the game for A. Miller
0:11.0,S. Mack enters the game for K. Bazemore,,108-103,,
0:06.0,,,108-103,,Personal take foul by B. McLemore (drawn by J. Teague)
0:06.0,,,108-103,,D. Cousins enters the game for B. McLemore
0:06.0,M. Muscala enters the game for P. Millsap,,108-103,,
0:06.0,J. Teague makes free throw 1 of 2,1,109-103,,
0:06.0,K. Bazemore enters the game for S. Mack,,109-103,,
0:06.0,,,109-103,,A. Miller enters the game for J. Thompson
0:06.0,J. Teague makes free throw 2 of 2,1,110-103,,
0:00.0,,,110-103,,R. McCallum misses 3-pt shot from 23 ft
0:00.0,,,110-103,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
