time,Cleveland,pts.away,score,pts.home,Indiana
1:08.0,,,92-95,,Personal foul by G. Hill (drawn by K. Irving)
0:57.0,L. James misses 3-pt shot from 26 ft,,92-95,,
0:56.0,Offensive rebound by I. Shumpert,,92-95,,
0:54.0,Turnover by I. Shumpert (lost ball; steal by C. Miles),,92-95,,
0:53.0,Personal foul by I. Shumpert (drawn by C. Miles),,92-95,,
0:53.0,,,92-96,1,C. Miles makes free throw 1 of 2
0:53.0,,,92-97,1,C. Miles makes free throw 2 of 2
0:53.0,Cleveland full timeout,,92-97,,
0:50.0,L. James misses 2-pt shot from 13 ft,,92-97,,
0:49.0,Offensive rebound by T. Mozgov,,92-97,,
0:47.0,Shooting foul by D. West (drawn by T. Mozgov),,92-97,,
0:47.0,T. Mozgov makes free throw 1 of 2,1,93-97,,
0:47.0,T. Mozgov misses free throw 2 of 2,,93-97,,
0:47.0,,,93-97,,Defensive rebound by S. Hill
0:28.0,,,93-97,,C. Miles misses 2-pt shot from 21 ft
0:27.0,Defensive rebound by Team,,93-97,,
0:27.0,Cleveland full timeout,,93-97,,
0:24.0,Turnover by L. James (bad pass; steal by G. Hill),,93-97,,
0:24.0,Personal foul by K. Irving (drawn by G. Hill),,93-97,,
0:24.0,,,93-98,1,G. Hill makes free throw 1 of 2
0:24.0,,,93-98,,G. Hill misses free throw 2 of 2
0:23.0,,,93-98,,Offensive rebound by R. Hibbert
0:23.0,,,93-98,,R. Hibbert misses 2-pt shot from 2 ft
0:21.0,,,93-98,,Offensive rebound by G. Hill
0:18.0,Personal take foul by I. Shumpert (drawn by C. Miles),,93-98,,
0:18.0,,,93-98,,C. Miles misses free throw 1 of 2
0:18.0,,,93-98,,Offensive rebound by Team
0:18.0,,,93-99,1,C. Miles makes free throw 2 of 2
0:13.0,J. Smith makes 3-pt shot from 25 ft,3,96-99,,
0:13.0,,,96-99,,Indiana full timeout
0:13.0,,,96-99,,L. Scola enters the game for S. Hill
0:13.0,,,96-99,,C. Watson enters the game for R. Hibbert
0:13.0,,,96-99,,Indiana full timeout
