time,Dallas,pts.away,score,pts.home,Boston
5:50.0,T. Chandler makes free throw 1 of 2,1,100-87,,
5:50.0,T. Chandler makes free throw 2 of 2,1,101-87,,
5:40.0,,,101-87,,A. Bradley misses 2-pt shot from 16 ft
5:38.0,,,101-87,,Offensive rebound by J. Crowder
5:36.0,,,101-87,,J. Crowder misses 2-pt shot from 1 ft
5:35.0,,,101-87,,Offensive rebound by A. Bradley
5:31.0,,,101-90,3,A. Bradley makes 3-pt shot from 24 ft
5:24.0,,,101-90,,Personal foul by M. Smart (drawn by M. Ellis)
5:24.0,D. Nowitzki enters the game for R. Jefferson,,101-90,,
5:19.0,M. Ellis makes 2-pt shot from 16 ft (assist by C. Parsons),2,103-90,,
5:07.0,,,103-90,,Turnover by J. Crowder (lost ball; steal by R. Rondo)
4:45.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,105-90,,
4:45.0,,,105-90,,Boston full timeout
4:45.0,,,105-90,,K. Olynyk enters the game for T. Zeller
4:45.0,,,105-90,,J. Green enters the game for J. Crowder
4:36.0,,,105-90,,J. Sullinger misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by Team,,105-90,,
4:35.0,,,105-90,,Loose ball foul by K. Olynyk (drawn by T. Chandler)
4:16.0,M. Ellis misses 2-pt shot from 20 ft,,105-90,,
4:15.0,,,105-90,,Defensive rebound by A. Bradley
4:06.0,,,105-90,,A. Bradley misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by T. Chandler,,105-90,,
3:56.0,R. Rondo makes 2-pt shot at rim,2,107-90,,
3:46.0,,,107-90,,J. Sullinger misses 3-pt shot from 24 ft
3:45.0,,,107-90,,Offensive rebound by Team
3:45.0,Loose ball foul by D. Nowitzki (drawn by K. Olynyk),,107-90,,
3:40.0,,,107-92,2,J. Green makes 2-pt shot from 21 ft (assist by K. Olynyk)
3:24.0,M. Ellis misses 2-pt shot from 8 ft,,107-92,,
3:23.0,,,107-92,,Defensive rebound by J. Sullinger
3:17.0,,,107-94,2,A. Bradley makes 2-pt shot from 1 ft
2:51.0,R. Rondo makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,110-94,,
2:34.0,,,110-94,,J. Green misses 3-pt shot from 24 ft
2:33.0,Defensive rebound by T. Chandler,,110-94,,
2:12.0,R. Rondo misses 2-pt shot from 21 ft,,110-94,,
2:11.0,,,110-94,,Defensive rebound by J. Green
2:09.0,,,110-94,,Shooting foul by D. Nowitzki (drawn by M. Smart)
2:09.0,,,110-95,1,M. Smart makes free throw 1 of 2
2:09.0,R. Jefferson enters the game for D. Nowitzki,,110-95,,
2:09.0,,,110-96,1,M. Smart makes free throw 2 of 2
2:02.0,,,110-96,,Personal block foul by M. Smart (drawn by M. Ellis)
2:02.0,M. Ellis makes free throw 1 of 2,1,111-96,,
2:02.0,M. Ellis makes free throw 2 of 2,1,112-96,,
1:47.0,,,112-96,,Turnover by K. Olynyk (bad pass; steal by T. Chandler)
1:28.0,M. Ellis makes 3-pt shot from 26 ft,3,115-96,,
1:21.0,Shooting block foul by C. Parsons (drawn by J. Green),,115-96,,
1:21.0,,,115-97,1,J. Green makes free throw 1 of 2
1:21.0,J. Barea enters the game for R. Rondo,,115-97,,
1:21.0,D. Powell enters the game for C. Parsons,,115-97,,
1:21.0,A. Aminu enters the game for T. Chandler,,115-97,,
1:21.0,R. Felton enters the game for M. Ellis,,115-97,,
1:21.0,,,115-97,,P. Pressey enters the game for A. Bradley
1:21.0,,,115-98,1,J. Green makes free throw 2 of 2
1:04.0,R. Jefferson misses 3-pt shot from 25 ft,,115-98,,
1:03.0,Offensive rebound by D. Powell,,115-98,,
1:01.0,R. Felton makes 2-pt shot from 12 ft (assist by D. Powell),2,117-98,,
0:44.0,,,117-98,,J. Green misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by R. Felton,,117-98,,
0:38.0,A. Aminu makes 2-pt shot at rim (assist by R. Jefferson),2,119-98,,
0:27.0,,,119-101,3,J. Green makes 3-pt shot from 24 ft (assist by P. Pressey)
0:03.0,Turnover by Team (shot clock),,119-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
