time,LA Clippers,pts.away,score,pts.home,Indiana
2:12.0,Turnover by J. Crawford (step out of bounds),,98-94,,
2:12.0,Official timeout,,98-94,,
2:00.0,,,98-96,2,L. Allen makes 2-pt shot from 19 ft (assist by R. Stuckey)
1:50.0,J. Crawford makes 2-pt shot from 19 ft (assist by C. Paul),2,100-96,,
1:32.0,,,100-96,,C. Miles misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by B. Griffin,,100-96,,
1:17.0,,,100-96,,Shooting block foul by C. Watson (drawn by B. Griffin)
1:17.0,B. Griffin misses free throw 1 of 2,,100-96,,
1:17.0,Offensive rebound by Team,,100-96,,
1:17.0,B. Griffin makes free throw 2 of 2,1,101-96,,
1:17.0,,,101-96,,Indiana full timeout
1:02.0,,,101-96,,Turnover by C. Miles (bad pass; steal by C. Paul)
0:42.0,C. Paul misses 2-pt shot from 19 ft,,101-96,,
0:41.0,,,101-96,,Defensive rebound by L. Allen
0:27.0,,,101-96,,R. Stuckey misses 2-pt shot from 19 ft
0:25.0,Defensive rebound by C. Paul,,101-96,,
0:23.0,,,101-96,,Personal take foul by C. Miles (drawn by C. Paul)
0:23.0,C. Paul makes free throw 1 of 2,1,102-96,,
0:23.0,C. Paul makes free throw 2 of 2,1,103-96,,
0:23.0,,,103-96,,Indiana full timeout
0:23.0,,,103-96,,C. Copeland enters the game for L. Scola
0:23.0,M. Barnes enters the game for J. Redick,,103-96,,
0:20.0,,,103-96,,C. Watson misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by B. Griffin,,103-96,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
