time,New York,pts.away,score,pts.home,Oklahoma City
2:28.0,,,46-78,,Turnover by R. Jackson (bad pass; steal by T. Hardaway)
2:25.0,T. Hardaway makes 2-pt shot at rim,2,48-78,,
2:06.0,,,48-78,,A. Roberson misses 2-pt shot from 2 ft
2:05.0,,,48-78,,Offensive rebound by N. Collison
2:05.0,,,48-78,,N. Collison misses 2-pt shot from 1 ft
2:03.0,,,48-78,,Offensive rebound by A. Roberson
2:03.0,,,48-78,,A. Roberson misses 2-pt shot at rim
2:01.0,,,48-78,,Offensive rebound by A. Roberson
2:01.0,,,48-78,,A. Roberson misses 2-pt shot from 2 ft
2:00.0,Defensive rebound by T. Hardaway,,48-78,,
1:41.0,Turnover by Q. Acy (bad pass; steal by R. Jackson),,48-78,,
1:38.0,,,48-78,,Shooting foul by T. Hardaway (drawn by R. Jackson)
1:38.0,,,48-78,,Oklahoma City full timeout
1:38.0,,,48-78,,Violation by Team (delay of game)
1:38.0,,,48-78,,J. Lamb enters the game for L. Thomas
1:38.0,,,48-79,1,R. Jackson makes free throw 1 of 2
1:38.0,,,48-80,1,R. Jackson makes free throw 2 of 2
1:19.0,Q. Acy makes 2-pt shot at rim (assist by C. Aldrich),2,50-80,,
0:57.0,,,50-82,2,S. Adams makes 2-pt shot from 12 ft (assist by A. Roberson)
0:41.0,T. Hardaway misses 2-pt shot from 2 ft,,50-82,,
0:40.0,,,50-82,,Defensive rebound by J. Lamb
0:33.0,,,50-82,,J. Lamb misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by Q. Acy,,50-82,,
0:12.0,T. Hardaway misses 3-pt shot from 24 ft,,50-82,,
0:11.0,,,50-82,,Defensive rebound by R. Jackson
0:00.0,,,50-82,,A. Roberson misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by Team,,50-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,50-82,,J. Lamb misses 2-pt shot from 6 ft
11:39.0,Defensive rebound by S. Dalembert,,50-82,,
11:27.0,Turnover by T. Wear (lost ball; steal by A. Morrow),,50-82,,
11:22.0,,,50-84,2,K. Perkins makes 2-pt shot from 4 ft (assist by A. Morrow)
10:57.0,S. Dalembert misses 2-pt shot from 14 ft,,50-84,,
10:57.0,Offensive rebound by S. Larkin,,50-84,,
10:42.0,T. Hardaway misses 3-pt shot from 24 ft,,50-84,,
10:41.0,,,50-84,,Defensive rebound by Team
10:27.0,,,50-84,,N. Collison misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by T. Hardaway,,50-84,,
10:14.0,,,50-84,,Personal foul by J. Lamb (drawn by T. Hardaway)
10:07.0,J. Smith makes 2-pt shot from 14 ft (assist by S. Larkin),2,52-84,,
9:48.0,,,52-84,,Turnover by N. Collison (bad pass)
9:42.0,Offensive foul by J. Smith,,52-84,,
9:42.0,Turnover by J. Smith (offensive foul),,52-84,,
