time,Orlando,pts.away,score,pts.home,Houston
3:32.0,L. Ridnour misses 3-pt shot from 22 ft,,92-97,,
3:30.0,,,92-97,,Defensive rebound by D. Motiejunas
3:07.0,,,92-100,3,C. Brewer makes 3-pt shot from 25 ft (assist by J. Harden)
2:46.0,C. Frye misses 3-pt shot from 25 ft,,92-100,,
2:45.0,,,92-100,,Defensive rebound by J. Harden
2:38.0,,,92-100,,Turnover by J. Harden (bad pass; steal by V. Oladipo)
2:34.0,Turnover by E. Payton (bad pass; steal by J. Harden),,92-100,,
2:33.0,Personal foul by V. Oladipo (drawn by J. Harden),,92-100,,
2:33.0,,,92-100,,Houston full timeout
2:33.0,,,92-100,,J. Smith enters the game for T. Jones
2:17.0,,,92-102,2,P. Beverley makes 2-pt shot from 5 ft (assist by D. Motiejunas)
1:55.0,N. Vucevic misses 2-pt shot from 2 ft (block by J. Smith),,92-102,,
1:54.0,,,92-102,,Defensive rebound by C. Brewer
1:35.0,,,92-105,3,J. Harden makes 3-pt shot from 25 ft
1:35.0,Orlando full timeout,,92-105,,
1:35.0,B. Gordon enters the game for L. Ridnour,,92-105,,
1:23.0,B. Gordon misses 3-pt shot from 26 ft,,92-105,,
1:22.0,,,92-105,,Defensive rebound by C. Brewer
1:00.0,,,92-105,,J. Harden misses 2-pt shot from 13 ft
0:59.0,Defensive rebound by N. Vucevic,,92-105,,
0:51.0,E. Payton misses 2-pt shot from 5 ft (block by P. Beverley),,92-105,,
0:50.0,,,92-105,,Defensive rebound by D. Motiejunas
0:50.0,Personal foul by E. Payton (drawn by D. Motiejunas),,92-105,,
0:50.0,,,92-106,1,D. Motiejunas makes free throw 1 of 2
0:50.0,L. Ridnour enters the game for N. Vucevic,,92-106,,
0:50.0,,,92-106,,K. McDaniels enters the game for P. Beverley
0:50.0,,,92-106,,N. Johnson enters the game for J. Harden
0:50.0,,,92-107,1,D. Motiejunas makes free throw 2 of 2
0:41.0,B. Gordon makes 2-pt shot from 19 ft (assist by V. Oladipo),2,94-107,,
0:22.0,,,94-107,,N. Johnson misses 2-pt shot from 19 ft
0:20.0,,,94-107,,Offensive rebound by K. McDaniels
0:00.0,End of 4th quarter,,,,End of 4th quarter
